lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,e540d_00004,2024-01-10_14-47-11,1704869231,91.67174983024597,91.67174983024597,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,91.67174983024597,1,70966,0.03890538215637207,1,0.08120274543762207,2.0,0.016279153525829315,0.0020470968447625637,0.09156432747840881,0.03444487601518631,0.02933691255748272,0.04524485434568846,0.016279153525829315,0.0020470968447625637,0.09156432747840881,0.03444487601518631,0.02933691255748272,0,0,0,0,0,0.03894805908203125,1,0.37884092330932617,2.0,0.016334205865859985,0.002041787840425968,0.09158547967672348,0.03438231721520424,0.02931981347501278,0.04518614655429215,0.016334205865859985,0.002041787840425968,0.09158547967672348,0.03438231721520424,0.02931981347501278,0,0,0,0,0,91.5928566455841,2000,91.5928566455841,2000.0,8.128749858140946,1.313190691679716,1.516166633784771,0.6986265540719032,0.905962412416935,1.1459453266538138,8.128749858140946,1.313190691679716,1.516166633784771,0.6986265540719032,0.905962412416935,0,0,0,0,0,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[0.01],1,False,2,e540d_00004,2024-01-10_14-48-43,1704869323,92.19580268859863,183.8675525188446,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,183.8675525188446,2,70966,0.03874468803405762,1,0.11994743347167969,3.0,0.008401736617088318,0.0009183601359836757,0.05680582672357559,0.021773045882582664,0.021078387275338173,0.03030445736164361,0.008401736617088318,0.0009183601359836757,0.05680582672357559,0.021773045882582664,0.021078387275338173,0,0,0,0,0,0.0384984016418457,1,0.4173393249511719,3.0,0.008549447171390057,0.0009201809298247099,0.05700144171714783,0.021744247525930405,0.02115117944777012,0.030334484169418637,0.008549447171390057,0.0009201809298247099,0.05700144171714783,0.021744247525930405,0.02115117944777012,0,0,0,0,0,92.11767625808716,2000,183.71053290367126,4000.0,8.099024187326432,1.3047512450218202,1.5114693222045898,0.696591183513403,0.9048721017241478,1.1422570835945034,8.099024187326432,1.3047512450218202,1.5114693222045898,0.696591183513403,0.9048721017241478,0,0,0,0,0,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[0.0025],2,False,3,e540d_00004,2024-01-10_14-50-15,1704869415,91.66826272010803,275.53581523895264,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,275.53581523895264,3,70966,0.03674125671386719,1,0.15668869018554688,4.0,0.010162221267819405,0.0004673567309509963,0.05199231579899788,0.016128145158290863,0.0143958805128932,0.021618434979225398,0.008401736617088318,0.0004673567309509963,0.05199231579899788,0.016128145158290863,0.0143958805128932,1,0,0,0,0,0.037238121032714844,1,0.4545774459838867,4.0,0.010528677143156528,0.00046895930427126586,0.052499737590551376,0.016160648316144943,0.014415077865123749,0.021655468230247662,0.008549447171390057,0.00046895930427126586,0.052499737590551376,0.016160648316144943,0.014415077865123749,1,0,0,0,0,91.5934910774231,2000,275.30402398109436,6000.0,8.086265505552293,1.3049116156697274,1.5102204728126525,0.6966344392001629,0.9052255420684815,1.1423272804541296,8.086265505552293,1.3047512450218202,1.5102204728126525,0.696591183513403,0.9048721017241478,0,1,0,1,1,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[0.0025],3,False,4,e540d_00004,2024-01-10_14-51-44,1704869504,89.17229199409485,364.7081072330475,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,364.7081072330475,4,70966,0.03875303268432617,1,0.19544172286987305,5.0,0.0033525584731251,0.0004336291749496013,0.04178636148571968,0.015817096456885338,0.013544377870857716,0.02082376466803256,0.0033525584731251,0.0004336291749496013,0.04178636148571968,0.015817096456885338,0.013544377870857716,0,0,0,0,0,0.038706064224243164,1,0.4932835102081299,5.0,0.003323986893519759,0.00043472618563100696,0.04183835908770561,0.015791475772857666,0.013614590279757977,0.020850088384249284,0.003323986893519759,0.00043472618563100696,0.04183835908770561,0.015791475772857666,0.013614590279757977,0,0,0,0,0,89.09404110908508,2000,364.39806509017944,8000.0,8.084863902568816,1.3047043400406837,1.5103142852783202,0.696713721960783,0.9050275157094002,1.142236551700515,8.084863902568816,1.3047043400406837,1.5102204728126525,0.696591183513403,0.9048721017241478,0,0,1,2,2,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[0.000625],4,False,5,e540d_00004,2024-01-10_14-53-18,1704869598,94.40079522132874,459.1089024543762,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,459.1089024543762,5,70966,0.04450488090515137,1,0.23994660377502441,6.0,0.0013380084419623017,0.00017807017138693482,0.0255623459815979,0.009815004654228687,0.009040826931595802,0.013344293588906639,0.0013380084419623017,0.00017807017138693482,0.0255623459815979,0.009815004654228687,0.009040826931595802,0,0,0,0,0,0.043857574462890625,1,0.5371410846710205,6.0,0.0013525070389732718,0.0001792759430827573,0.02561679296195507,0.009822801686823368,0.009098856709897518,0.013389396666121938,0.0013525070389732718,0.0001792759430827573,0.02561679296195507,0.009822801686823368,0.009098856709897518,0,0,0,0,0,94.31154990196228,2000,458.7096149921417,10000.0,8.077268447160721,1.3048086523413658,1.5097257264852524,0.6965155624449253,0.9053131132125855,1.1422822122143748,8.077268447160721,1.3047043400406837,1.5097257264852524,0.6965155624449253,0.9048721017241478,0,1,0,0,3,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[0.000625],5,False,6,e540d_00004,2024-01-10_14-54-51,1704869691,93.10346293449402,552.2123653888702,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,552.2123653888702,6,70966,0.03876519203186035,1,0.27871179580688477,7.0,0.001694098231382668,0.00019347235502209514,0.029169898480176926,0.010596614331007004,0.009010259993374348,0.013909434029538913,0.0013380084419623017,0.00017807017138693482,0.0255623459815979,0.009815004654228687,0.009010259993374348,1,1,1,1,0,0.03890347480773926,1,0.5760445594787598,7.0,0.00170541659463197,0.00019171740859746933,0.029198242351412773,0.010559923015534878,0.008955785073339939,0.013846205566777828,0.0013525070389732718,0.0001792759430827573,0.02561679296195507,0.009822801686823368,0.008955785073339939,1,1,1,1,0,93.02496337890625,2000,551.734578371048,12000.0,8.074087773799896,1.3046168053746223,1.5095925806760788,0.6965116631686687,0.9052086880505085,1.1421982338344874,8.074087773799896,1.3046168053746223,1.5095925806760788,0.6965116631686687,0.9048721017241478,0,0,0,0,4,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[0.00015625],6,False,7,e540d_00004,2024-01-10_14-56-21,1704869781,89.6055269241333,641.8178923130035,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,641.8178923130035,7,70966,0.038431644439697266,1,0.31714344024658203,8.0,0.0017897296929731965,0.00015794536739122123,0.025195760652422905,0.009047338739037514,0.008723053149878979,0.012567631733593296,0.0013380084419623017,0.00015794536739122123,0.025195760652422905,0.009047338739037514,0.008723053149878979,2,0,0,0,0,0.03975391387939453,1,0.6157984733581543,8.0,0.0018327238503843546,0.00015983168850652874,0.025415237993001938,0.009063602425158024,0.008813820779323578,0.012642455794129903,0.0013525070389732718,0.00015983168850652874,0.025415237993001938,0.009063602425158024,0.008813820779323578,2,0,0,0,0,89.52645707130432,2000,641.2610354423523,14000.0,8.083383390903473,1.3041234126091004,1.5095318639278412,0.6963363232314587,0.9050888663828373,1.1419822295504867,8.074087773799896,1.3041234126091004,1.5095318639278412,0.6963363232314587,0.9048721017241478,1,0,0,0,5,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[0.00015625],7,False,8,e540d_00004,2024-01-10_14-57-51,1704869871,90.37929892539978,732.1971912384033,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,732.1971912384033,8,70966,0.038817644119262695,1,0.3559610843658447,9.0,0.0005682514747604728,9.605814557289705e-05,0.01490258239209652,0.006407260429114103,0.00741657754406333,0.00980092575081033,0.0005682514747604728,9.605814557289705e-05,0.01490258239209652,0.006407260429114103,0.00741657754406333,0,0,0,0,0,0.03866982460021973,1,0.654468297958374,9.0,0.0005610865191556513,9.635143214836717e-05,0.01497782114893198,0.0064329588785767555,0.007414103019982576,0.009815876534898306,0.0005610865191556513,9.635143214836717e-05,0.01497782114893198,0.0064329588785767555,0.007414103019982576,0,0,0,0,0,90.30094361305237,2000,731.5619790554047,16000.0,8.080754027366638,1.3046198995113374,1.5094146648049354,0.6963830821812153,0.9053308515250683,1.142199588299408,8.074087773799896,1.3041234126091004,1.5094146648049354,0.6963363232314587,0.9048721017241478,2,1,0,1,6,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[3.90625e-05],8,False,9,e540d_00004,2024-01-10_14-59-22,1704869962,90.6795105934143,822.8767018318176,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,822.8767018318176,9,70966,0.038739919662475586,1,0.3947010040283203,10.0,0.006295216269791126,0.00017143446893896908,0.03462018817663193,0.009887252002954483,0.008583550341427326,0.013093298627121016,0.0005682514747604728,9.605814557289705e-05,0.01490258239209652,0.006407260429114103,0.00741657754406333,1,1,1,1,1,0.03926229476928711,1,0.6937305927276611,10.0,0.005880582612007856,0.00016913229774218053,0.03422478586435318,0.009845750406384468,0.008496711030602455,0.013005087379259723,0.0005610865191556513,9.635143214836717e-05,0.01497782114893198,0.0064329588785767555,0.007414103019982576,1,1,1,1,1,90.60068249702454,2000,822.1626615524292,18000.0,8.077233309745788,1.3046927616596222,1.5094462401270867,0.6963731224238873,0.9053807927966118,1.1422314833953853,8.074087773799896,1.3041234126091004,1.5094146648049354,0.6963363232314587,0.9048721017241478,3,2,1,2,7,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
[3.90625e-05],9,False,10,e540d_00004,2024-01-10_15-00-54,1704870054,91.45200324058533,914.328705072403,206920,sepc622.se.cuhk.edu.hk,137.189.58.22,914.328705072403,10,70966,0.03853440284729004,1,0.43323540687561035,11.0,0.0004150978638790548,8.9634871983435e-05,0.014201700687408447,0.006139655597507954,0.0072069368325173855,0.009467569486591318,0.0004150978638790548,8.9634871983435e-05,0.014201700687408447,0.006139655597507954,0.0072069368325173855,0,0,0,0,0,0.03947329521179199,1,0.7332038879394531,11.0,0.00041491203592158854,8.901538967620581e-05,0.01421821303665638,0.006140757352113724,0.007162884809076786,0.009434796748007124,0.00041491203592158854,8.901538967620581e-05,0.01421821303665638,0.006140757352113724,0.007162884809076786,0,0,0,0,0,91.37313556671143,2000,913.5357971191406,20000.0,8.07878981232643,1.304971232712269,1.5096766882538795,0.6964958372712136,0.9054407539963722,1.1423533747104129,8.074087773799896,1.3041234126091004,1.5094146648049354,0.6963363232314587,0.9048721017241478,4,3,2,3,8,0.3398928642272949,1,0.3398928642272949,1.0,9.679817199707031,0.28333398699760437,1.8207097053527832,0.4560851752758026,0.27444660663604736,0.53229126143269,0.04229736328125,1,0.04229736328125,1.0,9.90056037902832,0.28550487756729126,1.843125581741333,0.45810240507125854,0.27504122257232666,0.5343265645345469
