lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,393c7_00005,2024-01-28_03-01-48,1706382108,1174.8211460113525,1174.8211460113525,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,1174.8211460113525,1,53772,0.46883225440979004,1,0.966641902923584,2.0,0.004012216813862324,0.0009191393037326634,0.041832949966192245,0.021746650338172913,0.021124068647623062,0.030317310298452655,0.004012216813862324,0.0009191393037326634,0.041832949966192245,0.021746650338172913,0.021124068647623062,0,0,0,0,0,0.4918086528778076,1,1.2618951797485352,2.0,0.004007246810942888,0.0009158540633507073,0.04177247732877731,0.021710826084017754,0.02108311653137207,0.03026308086349946,0.004007246810942888,0.0009158540633507073,0.04177247732877731,0.021710826084017754,0.02108311653137207,0,0,0,0,0,1173.8552494049072,2000,1173.8552494049072,2000.0,1.758744073987007,0.3825424268245697,0.7375833958983421,0.38981886661052706,0.47794505785405633,0.6185001429462808,1.758744073987007,0.3825424268245697,0.7375833958983421,0.38981886661052706,0.47794505785405633,0,0,0,0,0,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[0.01],1,False,2,393c7_00005,2024-01-28_03-21-18,1706383278,1170.5076622962952,2345.3288083076477,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,2345.3288083076477,2,53772,0.49395251274108887,1,1.4605944156646729,3.0,0.005216744262725115,0.0007001861813478172,0.04276932030916214,0.019223257899284363,0.018183927983045578,0.02646103137347101,0.004012216813862324,0.0007001861813478172,0.041832949966192245,0.019223257899284363,0.018183927983045578,1,0,1,0,0,0.47983241081237793,1,1.741727590560913,3.0,0.0054171704687178135,0.0007027551182545722,0.043155960738658905,0.019291624426841736,0.018182162195444107,0.026509528819927602,0.004007246810942888,0.0007027551182545722,0.04177247732877731,0.019291624426841736,0.018182162195444107,1,0,1,0,0,1169.5265595912933,2000,2343.3818089962006,4000.0,1.7472850285172463,0.3783808059245348,0.7338819397091866,0.387721058011055,0.4773990166038275,0.6151266584407921,1.7472850285172463,0.3783808059245348,0.7338819397091866,0.387721058011055,0.4773990166038275,0,0,0,0,0,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[0.0025],2,False,3,393c7_00005,2024-01-28_03-40-53,1706384453,1174.7964308261871,3520.125239133835,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,3520.125239133835,3,53772,0.48589658737182617,1,1.946491003036499,4.0,0.0011438720393925905,0.00024241168284788728,0.021502919495105743,0.010810044594109058,0.011205160990357399,0.015569575551307982,0.0011438720393925905,0.00024241168284788728,0.021502919495105743,0.010810044594109058,0.011205160990357399,0,0,0,0,0,0.49828338623046875,1,2.240010976791382,4.0,0.0011447874130681157,0.00024264183593913913,0.02147866226732731,0.010830264538526535,0.011195904575288296,0.015576964914229573,0.0011447874130681157,0.00024264183593913913,0.02147866226732731,0.010830264538526535,0.011195904575288296,0,0,0,0,0,1173.807229757309,2000,3517.1890387535095,6000.0,1.7449894248247146,0.3781478184014559,0.7332268591225147,0.3875011535733938,0.47744033516943457,0.6149372475313688,1.7449894248247146,0.3781478184014559,0.7332268591225147,0.3875011535733938,0.4773990166038275,0,0,0,0,1,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[0.0025],3,False,4,393c7_00005,2024-01-28_04-00-18,1706385618,1165.3280620574951,4685.45330119133,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,4685.45330119133,4,53772,0.47831058502197266,1,2.4248015880584717,5.0,0.0014069152530282736,0.0002958377590402961,0.02440241351723671,0.012379642575979233,0.011940828524529934,0.017199934855699196,0.0011438720393925905,0.00024241168284788728,0.021502919495105743,0.010810044594109058,0.011205160990357399,1,1,1,1,1,0.48955202102661133,1,2.729562997817993,5.0,0.0013792661484330893,0.00030038048862479627,0.024394670501351357,0.012379343621432781,0.012129861861467361,0.01733148835572976,0.0011447874130681157,0.00024264183593913913,0.02147866226732731,0.010830264538526535,0.011195904575288296,1,1,1,1,1,1164.35369515419,2000,4681.5427339077,8000.0,1.7449554086327552,0.37806763949990274,0.7331957823634148,0.38747297282516957,0.47736813718080523,0.6148720513244221,1.7449554086327552,0.37806763949990274,0.7331957823634148,0.38747297282516957,0.47736813718080523,0,0,0,0,0,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[0.000625],4,False,5,393c7_00005,2024-01-28_04-19-47,1706386787,1168.4973995685577,5853.950700759888,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,5853.950700759888,5,53772,0.47612500190734863,1,2.9009265899658203,6.0,0.00098307931330055,0.0001660418784013018,0.0185923520475626,0.009050014428794384,0.009172776713967323,0.012885723821396368,0.00098307931330055,0.0001660418784013018,0.0185923520475626,0.009050014428794384,0.009172776713967323,0,0,0,0,0,0.4920642375946045,1,3.2216272354125977,6.0,0.0009888727217912674,0.00016886740922927856,0.018657559528946877,0.009081211872398853,0.0092951450496912,0.012994899354334321,0.0009888727217912674,0.00016886740922927856,0.018657559528946877,0.009081211872398853,0.0092951450496912,0,0,0,0,0,1167.5238721370697,2000,5849.066606044769,10000.0,1.743982571184635,0.3780870662778616,0.732806456208229,0.3873381048440933,0.4775315913707018,0.6148878485365129,1.743982571184635,0.37806763949990274,0.732806456208229,0.3873381048440933,0.47736813718080523,0,1,0,0,1,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[0.000625],5,False,6,393c7_00005,2024-01-28_04-39-08,1706387948,1161.5764968395233,7015.527197599411,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,7015.527197599411,6,53772,0.49735331535339355,1,3.398279905319214,7.0,0.000905607535969466,0.00016833283007144928,0.01865663193166256,0.009151269681751728,0.009197164326906204,0.012974314242820284,0.000905607535969466,0.0001660418784013018,0.0185923520475626,0.009050014428794384,0.009172776713967323,0,1,1,1,1,0.4683663845062256,1,3.6899936199188232,7.0,0.000937019067350775,0.00016758774290792644,0.018726404756307602,0.009150037541985512,0.009157798252999783,0.012945568466001268,0.000937019067350775,0.00016758774290792644,0.018657559528946877,0.009081211872398853,0.009157798252999783,0,0,1,1,0,1160.6051433086395,2000,7009.671749353409,12000.0,1.7421987491846085,0.37772069507837297,0.7325409989356995,0.3872110398709774,0.4772489240914583,0.6145898592381532,1.7421987491846085,0.37772069507837297,0.7325409989356995,0.3872110398709774,0.4772489240914583,0,0,0,0,0,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[0.00015625],6,False,7,393c7_00005,2024-01-28_04-58-28,1706389108,1159.909031867981,8175.436229467392,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,8175.436229467392,7,53772,0.47185254096984863,1,3.8701324462890625,8.0,0.0005324839730747044,0.00011587646440602839,0.014492221176624298,0.007440395187586546,0.007779297884553671,0.010764593090592342,0.0005324839730747044,0.00011587646440602839,0.014492221176624298,0.007440395187586546,0.007779297884553671,0,0,0,0,0,0.4949817657470703,1,4.1849753856658936,8.0,0.0005307553801685572,0.00011513326899148524,0.014416324906051159,0.00742457527667284,0.007746576797217131,0.010730017194370438,0.0005307553801685572,0.00011513326899148524,0.014416324906051159,0.00742457527667284,0.007746576797217131,0,0,0,0,0,1158.9388003349304,2000,8168.610549688339,14000.0,1.7431674076318742,0.3778913633823395,0.7326517594456673,0.38725964987277983,0.47739878222346305,0.6147286908729245,1.7421987491846085,0.37772069507837297,0.7325409989356995,0.3872110398709774,0.4772489240914583,1,1,1,1,1,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[0.00015625],7,False,8,393c7_00005,2024-01-28_05-17-53,1706390273,1164.464187860489,9339.90041732788,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,9339.90041732788,8,53772,0.4999814033508301,1,4.370113849639893,9.0,0.0016014750581234694,0.00015254078607540578,0.020669985562562943,0.008714058436453342,0.008752520196139812,0.0123507403047512,0.0005324839730747044,0.00011587646440602839,0.014492221176624298,0.007440395187586546,0.007779297884553671,1,1,1,1,1,0.5160524845123291,1,4.701027870178223,9.0,0.0015909617068246007,0.00015277188504114747,0.020683178678154945,0.008704546838998795,0.008775156922638416,0.01236009243659397,0.0005307553801685572,0.00011513326899148524,0.014416324906051159,0.00742457527667284,0.007746576797217131,1,1,1,1,1,1163.4429371356964,2000,9332.053486824036,16000.0,1.74346271276474,0.3779425165951252,0.7327081018090248,0.38727264580130577,0.47744092397391796,0.614770295797646,1.7421987491846085,0.37772069507837297,0.7325409989356995,0.3872110398709774,0.4772489240914583,2,2,2,2,2,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[3.90625e-05],8,False,9,393c7_00005,2024-01-28_05-37-19,1706391439,1166.0164461135864,10505.916863441467,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,10505.916863441467,9,53772,0.4872567653656006,1,4.857370615005493,10.0,0.0004768304352182895,9.837251127464697e-05,0.013652734458446503,0.006892207078635693,0.007132348604500294,0.009918291751841491,0.0004768304352182895,9.837251127464697e-05,0.013652734458446503,0.006892207078635693,0.007132348604500294,0,0,0,0,0,0.48824620246887207,1,5.189274072647095,10.0,0.00047728553181514144,0.0001002304270514287,0.013624262064695358,0.006879432592540979,0.007273532450199127,0.010011514723128999,0.00047728553181514144,0.0001002304270514287,0.013624262064695358,0.006879432592540979,0.007273532450199127,0,0,0,0,0,1165.0359733104706,2000,10497.089460134506,18000.0,1.743254419863224,0.37794321225583555,0.7326116144359112,0.38726148127019405,0.4774546979218721,0.6147708615865228,1.7421987491846085,0.37772069507837297,0.7325409989356995,0.3872110398709774,0.4772489240914583,3,3,3,3,3,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
[3.90625e-05],9,False,10,393c7_00005,2024-01-28_05-56-44,1706392604,1165.252001285553,11671.16886472702,6947,sepc622.se.cuhk.edu.hk,137.189.58.22,11671.16886472702,10,53772,0.4817197322845459,1,5.339090347290039,11.0,0.0004058730264659971,9.89328691503033e-05,0.013075483031570911,0.006822172086685896,0.007238181307911873,0.009946500346870918,0.0004058730264659971,9.837251127464697e-05,0.013075483031570911,0.006822172086685896,0.007132348604500294,0,1,0,0,1,0.5015890598297119,1,5.690863132476807,11.0,0.0004090355068910867,9.516070713289082e-05,0.013018538244068623,0.006782447453588247,0.0070113856345415115,0.009755034963181364,0.0004090355068910867,9.516070713289082e-05,0.013018538244068623,0.006782447453588247,0.0070113856345415115,0,0,0,0,0,1164.2641077041626,2000,11661.353567838669,20000.0,1.743090809583664,0.3777925340682268,0.7325302277505398,0.38719911682605745,0.47734761734306813,0.6146483011187999,1.7421987491846085,0.37772069507837297,0.7325302277505398,0.38719911682605745,0.4772489240914583,4,4,0,0,4,0.7700865268707275,1,0.7700865268707275,1.0,2.341132879257202,0.15968984365463257,0.8854888677597046,0.3190882205963135,0.2405681312084198,0.39961211650128,0.49780964851379395,1,0.49780964851379395,1.0,2.3538408279418945,0.1602950245141983,0.8889321684837341,0.31948360800743103,0.24130013585090637,0.4003686108003452
