lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,b47a7_00023,2024-01-31_14-15-00,1706681700,1226.5328092575073,1226.5328092575073,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,1226.5328092575073,1,506892,0.520275354385376,1,1.105921745300293,2.0,0.00556107796728611,0.0009093043045140803,0.042836837470531464,0.02057722955942154,0.02204282023012638,0.030154673012886084,0.00556107796728611,0.0009093043045140803,0.042836837470531464,0.02057722955942154,0.02204282023012638,0,0,0,0,0,0.5613887310028076,1,1.4447813034057617,2.0,0.005406212992966175,0.0008955359226092696,0.04249399155378342,0.020486216992139816,0.021814092993736267,0.029925506221437085,0.005406212992966175,0.0008955359226092696,0.04249399155378342,0.020486216992139816,0.021814092993736267,0,0,0,0,0,1225.4454972743988,2000,1225.4454972743988,2000.0,1.662596457004547,0.42130839195847514,0.7301704322695732,0.3910031403154135,0.47438024063408374,0.6490827312126515,1.662596457004547,0.42130839195847514,0.7301704322695732,0.3910031403154135,0.47438024063408374,0,0,0,0,0,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[0.01],1,False,2,b47a7_00023,2024-01-31_14-35-29,1706682929,1228.8298597335815,2455.362668991089,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,2455.362668991089,2,506892,0.5413708686828613,1,1.6472926139831543,3.0,0.003947691060602665,0.000658795703202486,0.040130164474248886,0.018270863220095634,0.018027031794190407,0.025667015860876503,0.003947691060602665,0.000658795703202486,0.040130164474248886,0.018270863220095634,0.018027031794190407,0,0,0,0,0,0.5495162010192871,1,1.9942975044250488,3.0,0.004032063763588667,0.0006582727655768394,0.040380530059337616,0.01829637959599495,0.017986606806516647,0.025656826880517385,0.004032063763588667,0.0006582727655768394,0.040380530059337616,0.01829637959599495,0.017986606806516647,0,0,0,0,0,1227.733381986618,2000,2453.178879261017,4000.0,1.572199179828167,0.363950808301568,0.7153861891031266,0.38018920035660264,0.46818236806988717,0.6032833565593932,1.572199179828167,0.363950808301568,0.7153861891031266,0.38018920035660264,0.46818236806988717,0,0,0,0,0,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[0.0025],2,False,3,b47a7_00023,2024-01-31_14-55-58,1706684158,1228.987606048584,3684.350275039673,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,3684.350275039673,3,506892,0.5291917324066162,1,2.1764843463897705,4.0,0.002816353924572468,0.000444371544290334,0.032785482704639435,0.015300053171813488,0.01450109202414751,0.021080122017918538,0.002816353924572468,0.000444371544290334,0.032785482704639435,0.015300053171813488,0.01450109202414751,0,0,0,0,0,0.547034502029419,1,2.5413320064544678,4.0,0.002836166648194194,0.0004422184720169753,0.032690610736608505,0.01524792518466711,0.014481746591627598,0.02102899122680342,0.002836166648194194,0.0004422184720169753,0.032690610736608505,0.01524792518466711,0.014481746591627598,0,0,0,0,0,1227.905692577362,2000,3681.084571838379,6000.0,1.5683496084809303,0.36375519444048404,0.7144769411385059,0.3800728507190943,0.4682382636666298,0.603121210405076,1.5683496084809303,0.36375519444048404,0.7144769411385059,0.3800728507190943,0.46818236806988717,0,0,0,0,1,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[0.0025],3,False,4,b47a7_00023,2024-01-31_15-16-13,1706685373,1214.562252521515,4898.912527561188,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,4898.912527561188,4,506892,0.5167834758758545,1,2.693267822265625,5.0,0.0016466745873913169,0.000322270963806659,0.025656675919890404,0.012558852322399616,0.012827608734369278,0.0179519069685273,0.0016466745873913169,0.000322270963806659,0.025656675919890404,0.012558852322399616,0.012827608734369278,0,0,0,0,0,0.5332868099212646,1,3.0746188163757324,5.0,0.001639797119423747,0.00032552130869589746,0.025711987167596817,0.012628198601305485,0.012886090204119682,0.018042209085804804,0.001639797119423747,0.00032552130869589746,0.025711987167596817,0.012628198601305485,0.012886090204119682,0,0,0,0,0,1213.5069477558136,2000,4894.5915195941925,8000.0,1.5691566926836968,0.3638679129332304,0.7146504609286786,0.38009992200136183,0.4683104702234268,0.6032146491367981,1.5683496084809303,0.36375519444048404,0.7144769411385059,0.3800728507190943,0.46818236806988717,1,1,1,1,2,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[0.000625],4,False,5,b47a7_00023,2024-01-31_15-36-14,1706686574,1201.7538862228394,6100.666413784027,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,6100.666413784027,5,506892,0.522322416305542,1,3.215590238571167,6.0,0.0009273776086047292,0.00020451078307814896,0.019597668200731277,0.009989023208618164,0.010233820416033268,0.014300726662591275,0.0009273776086047292,0.00020451078307814896,0.019597668200731277,0.009989023208618164,0.010233820416033268,0,0,0,0,0,0.5443451404571533,1,3.6189639568328857,6.0,0.0009160858462564647,0.00020387703261803836,0.019503839313983917,0.009956438094377518,0.010234610177576542,0.014278551488790394,0.0009160858462564647,0.00020387703261803836,0.019503839313983917,0.009956438094377518,0.010234610177576542,0,0,0,0,0,1200.6818330287933,2000,6095.273352622986,10000.0,1.5678058958649634,0.3637691632509232,0.7142488872110844,0.3799831197708845,0.46835387325286865,0.6031327907276499,1.5678058958649634,0.36375519444048404,0.7142488872110844,0.3799831197708845,0.46818236806988717,0,2,0,0,3,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[0.000625],5,False,6,b47a7_00023,2024-01-31_15-56-15,1706687775,1200.1655976772308,7300.832011461258,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,7300.832011461258,6,506892,0.5298397541046143,1,3.7454299926757812,7.0,0.0010651358170434833,0.0002394559414824471,0.021624434739351273,0.010829061269760132,0.011053887195885181,0.015474364008981018,0.0009273776086047292,0.00020451078307814896,0.019597668200731277,0.009989023208618164,0.010233820416033268,1,1,1,1,1,0.5356564521789551,1,4.154620409011841,7.0,0.0010758580174297094,0.00023977406090125442,0.021580904722213745,0.01081823743879795,0.011078844778239727,0.015484639514733767,0.0009160858462564647,0.00020387703261803836,0.019503839313983917,0.009956438094377518,0.010234610177576542,1,1,1,1,1,1199.0944364070892,2000,7294.367789030075,12000.0,1.5678387036919594,0.3637894058525562,0.7142200103998184,0.3799620300531387,0.4683883033245802,0.6031495717088392,1.5678058958649634,0.36375519444048404,0.7142200103998184,0.3799620300531387,0.46818236806988717,1,3,0,0,4,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[0.00015625],6,False,7,b47a7_00023,2024-01-31_16-16-28,1706688988,1213.5239789485931,8514.355990409851,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,8514.355990409851,7,506892,0.5193092823028564,1,4.264739274978638,8.0,0.0004961100057698786,0.00010905555245699361,0.01430518552660942,0.007221374195069075,0.007543725427240133,0.010442966650190625,0.0004961100057698786,0.00010905555245699361,0.01430518552660942,0.007221374195069075,0.007543725427240133,0,0,0,0,0,0.5383367538452148,1,4.692957162857056,8.0,0.0004967788117937744,0.00010816728899953887,0.014335566200315952,0.007226921152323484,0.007479262538254261,0.010400350426766344,0.0004967788117937744,0.00010816728899953887,0.014335566200315952,0.007226921152323484,0.007479262538254261,0,0,0,0,0,1212.4606323242188,2000,8506.828421354294,14000.0,1.5681291192173958,0.36388889740407465,0.7142036583721638,0.37996492940187454,0.4685096470862627,0.6032320427530974,1.5678058958649634,0.36375519444048404,0.7142036583721638,0.3799620300531387,0.46818236806988717,2,4,0,1,5,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[0.00015625],7,False,8,b47a7_00023,2024-01-31_16-36-22,1706690182,1193.9961957931519,9708.352186203003,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,9708.352186203003,8,506892,0.51493239402771,1,4.779671669006348,9.0,0.0006250371807254851,0.00010248396574752405,0.014971858821809292,0.007061982527375221,0.007253468502312899,0.010123436459400734,0.0004961100057698786,0.00010248396574752405,0.01430518552660942,0.007061982527375221,0.007253468502312899,1,0,1,0,0,0.5382235050201416,1,5.231180667877197,9.0,0.0006104087806306779,0.00010306645708624274,0.014864284545183182,0.007053924258798361,0.007301304955035448,0.010152165142778299,0.0004967788117937744,0.00010306645708624274,0.014335566200315952,0.007053924258798361,0.007301304955035448,1,0,1,0,0,1192.9380927085876,2000,9699.766514062881,16000.0,1.567910339474678,0.3637764769941568,0.7141901023983955,0.37996143521368503,0.4683913465291262,0.6031388538256816,1.5678058958649634,0.36375519444048404,0.7141901023983955,0.37996143521368503,0.46818236806988717,3,5,0,0,6,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[3.90625e-05],8,False,9,b47a7_00023,2024-01-31_16-56-25,1706691385,1202.4417304992676,10910.79391670227,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,10910.79391670227,9,506892,0.513812780380249,1,5.293484449386597,10.0,0.0002944288426078856,6.54024988762103e-05,0.010816819034516811,0.0055031972005963326,0.005926011595875025,0.008087181145257617,0.0002944288426078856,6.54024988762103e-05,0.010816819034516811,0.0055031972005963326,0.005926011595875025,0,0,0,0,0,0.5277836322784424,1,5.75896430015564,10.0,0.00030341630917973816,6.660466169705614e-05,0.010809578001499176,0.005514895543456078,0.006015886086970568,0.008161167912563504,0.00030341630917973816,6.660466169705614e-05,0.010809578001499176,0.005514895543456078,0.006015886086970568,0,0,0,0,0,1201.3949842453003,2000,10901.161498308182,18000.0,1.5672210024595261,0.36379998943209646,0.7140588090717792,0.3799020589888096,0.46847080770134925,0.6031583452395369,1.5672210024595261,0.36375519444048404,0.7140588090717792,0.3799020589888096,0.46818236806988717,0,6,0,0,7,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
[3.90625e-05],9,False,10,b47a7_00023,2024-01-31_17-16-33,1706692593,1208.5293219089508,12119.323238611221,146320,sepc622.se.cuhk.edu.hk,137.189.58.22,12119.323238611221,10,506892,0.5205435752868652,1,5.814028024673462,11.0,0.0002899912651628256,6.396367825800553e-05,0.010572520084679127,0.005318209528923035,0.005973325576633215,0.007997729568946772,0.0002899912651628256,6.396367825800553e-05,0.010572520084679127,0.005318209528923035,0.005926011595875025,0,0,0,0,1,0.5379846096038818,1,6.2969489097595215,11.0,0.00028872370603494346,6.297937943600118e-05,0.010589356534183025,0.005303563550114632,0.005903547629714012,0.007935954853450288,0.00028872370603494346,6.297937943600118e-05,0.010589356534183025,0.005303563550114632,0.005903547629714012,0,0,0,0,0,1207.4657440185547,2000,12108.627242326736,20000.0,1.5674214134812354,0.3637689742445946,0.7140053896307945,0.37987680761516096,0.4684586153328419,0.6031326340404692,1.5672210024595261,0.36375519444048404,0.7140053896307945,0.37987680761516096,0.46818236806988717,1,7,0,0,8,0.8833925724029541,1,0.8833925724029541,1.0,2.3099615573883057,0.17590934038162231,0.9138147234916687,0.33367305994033813,0.2541106045246124,0.4194154746568399,0.585646390914917,1,0.585646390914917,1.0,2.342766284942627,0.17574013769626617,0.9149556159973145,0.3333827257156372,0.2541586756706238,0.4192137136309667
