lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
"[0.01, 0.01, 0.01, 0.01]",0,False,1,4941a_00001,2023-09-09_17-11-51,1694250711,682.8338723182678,682.8338723182678,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,682.8338723182678,1,5404,12.102437734603882,150,25.13950514793396,300.0,0.0005027585399026672,7.055778813082725e-05,0.01794259953002135,0.006343237996722261,0.008399868340088865,0.0005027585399026672,7.055778813082725e-05,0.01794259953002135,0.006343237996722261,0,0,0,0,670.7304263114929,2000,670.7304263114929,2000.0,2.6698475497961045,1.0364411340355872,1.2845199936628342,0.6668988610804081,1.0180575298260837,2.6698475497961045,1.0364411340355872,1.2845199936628342,0.6668988610804081,0,0,0,0,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[0.01, 0.01, 0.01, 0.01]",1,False,2,4941a_00001,2023-09-09_17-23-18,1694251398,686.8455653190613,1369.679437637329,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,1369.679437637329,2,5404,11.755563259124756,150,36.895068407058716,450.0,0.001589256067139407,0.0002479391001785795,0.03511532428363959,0.01312740311647455,0.015746082058041597,0.0005027585399026672,7.055778813082725e-05,0.01794259953002135,0.006343237996722261,1,1,1,1,675.089075088501,2000,1345.819501399994,4000.0,2.6649057772159574,1.0358586782217025,1.2833960522413255,0.6666790002584457,1.017771427296769,2.6649057772159574,1.0358586782217025,1.2833960522413255,0.6666790002584457,0,0,0,0,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[0.0025, 0.0025, 0.0025, 0.0025]",2,False,3,4941a_00001,2023-09-09_17-34-48,1694252088,689.9307856559753,2059.6102232933044,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,2059.6102232933044,3,5404,11.520935297012329,150,48.416003704071045,600.0,0.00012097644896130077,1.9412697268611132e-05,0.008580435818682114,0.0031557076533014574,0.004405984256509677,0.00012097644896130077,1.9412697268611132e-05,0.008580435818682114,0.0031557076533014574,0,0,0,0,678.408961057663,2000,2024.2284624576569,6000.0,2.6648031735420226,1.0361060878932475,1.283381762623787,0.6666972322165966,1.0178929648510435,2.6648031735420226,1.0358586782217025,1.283381762623787,0.6666790002584457,0,1,0,1,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[0.0025, 0.0025, 0.0025, 0.0025]",3,False,4,4941a_00001,2023-09-09_17-46-20,1694252780,691.6449882984161,2751.2552115917206,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,2751.2552115917206,4,5404,11.524348735809326,150,59.94035243988037,750.0,0.000288578310670952,4.098247462631358e-05,0.01381773492321372,0.005002245499442021,0.006401755589392146,0.00012097644896130077,1.9412697268611132e-05,0.008580435818682114,0.0031557076533014574,1,1,1,1,680.1196186542511,2000,2704.348081111908,8000.0,2.6645416194200515,1.0360137741863729,1.2832361787557602,0.6666335640847683,1.0178476183527536,2.6645416194200515,1.0358586782217025,1.2832361787557602,0.6666335640847683,0,2,0,0,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[0.000625, 0.000625, 0.000625, 0.000625]",4,False,5,4941a_00001,2023-09-09_17-57-52,1694253472,692.5514509677887,3443.8066625595093,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,3443.8066625595093,5,5404,11.535739660263062,150,71.47609210014343,900.0,5.056608259716692e-05,9.434846051590284e-06,0.005484347520396113,0.002068034252151847,0.0030716194509721228,5.056608259716692e-05,9.434846051590284e-06,0.005484347520396113,0.002068034252151847,0,0,0,0,681.014778137207,2000,3385.362859249115,10000.0,2.66399049949646,1.0357847949266434,1.2830610675811767,0.6665451436340809,1.0177351300444746,2.66399049949646,1.0357847949266434,1.2830610675811767,0.6665451436340809,0,0,0,0,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[0.000625, 0.000625, 0.000625, 0.000625]",5,False,6,4941a_00001,2023-09-09_18-09-23,1694254163,691.014928817749,4134.821591377258,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,4134.821591377258,6,5404,12.040287017822266,150,83.5163791179657,1050.0,9.283010872119728e-05,2.0265050698071717e-05,0.007274924895415704,0.002949717113127311,0.004501671989169326,5.056608259716692e-05,9.434846051590284e-06,0.005484347520396113,0.002068034252151847,1,1,1,1,678.9737839698792,2000,4064.336643218994,12000.0,2.664224396109581,1.0357260754704476,1.283171599328518,0.6665724169313908,1.017706281532372,2.66399049949646,1.0357260754704476,1.2830610675811767,0.6665451436340809,1,0,1,1,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",6,False,7,4941a_00001,2023-09-09_18-21-14,1694254874,710.8779392242432,4845.6995306015015,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,4845.6995306015015,7,5404,12.943566083908081,150,96.45994520187378,1200.0,3.3351216091735597e-05,4.686000550767252e-06,0.00436594359887143,0.0015372616006061434,0.0021647171987969355,3.3351216091735597e-05,4.686000550767252e-06,0.00436594359887143,0.0015372616006061434,0,0,0,0,697.9332733154297,2000,4762.269916534424,14000.0,2.6643537381887437,1.0359614903330803,1.2832051434516907,0.6666292596161365,1.0178219344920212,2.66399049949646,1.0357260754704476,1.2830610675811767,0.6665451436340809,2,1,2,2,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[0.00015625, 0.00015625, 0.00015625, 0.00015625]",7,False,8,4941a_00001,2023-09-09_18-32-52,1694255572,697.9574255943298,5543.656956195831,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,5543.656956195831,8,5404,11.612969875335693,150,108.07291507720947,1350.0,2.90199510709499e-05,4.046336762257852e-06,0.0042286008968949315,0.0014798813592642546,0.0020115508351164907,2.90199510709499e-05,4.046336762257852e-06,0.0042286008968949315,0.0014798813592642546,0,0,0,0,686.3435716629028,2000,5448.613488197327,16000.0,2.6637895123958586,1.0357180988788606,1.2830517696738244,0.6664954963028431,1.0177023626182955,2.6637895123958586,1.0357180988788606,1.2830517696738244,0.6664954963028431,0,0,0,0,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",8,False,9,4941a_00001,2023-09-09_18-44-24,1694256264,691.8891801834106,6235.546136379242,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,6235.546136379242,9,5404,11.830485582351685,150,119.90340065956116,1500.0,1.642210114368936e-05,2.8041531125685043e-06,0.003058442339921991,0.0011226048755149046,0.0016745605729768344,1.642210114368936e-05,2.8041531125685043e-06,0.003058442339921991,0.0011226048755149046,0,0,0,0,680.0578057765961,2000,6128.671293973923,18000.0,2.663966743707657,1.0359042051434517,1.2830970095396041,0.6665853836834431,1.0177937930364145,2.6637895123958586,1.0357180988788606,1.2830517696738244,0.6664954963028431,1,1,1,1,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
"[3.90625e-05, 3.90625e-05, 3.90625e-05, 3.90625e-05]",9,False,10,4941a_00001,2023-09-09_18-56-00,1694256960,696.1361660957336,6931.682302474976,73189,sepc622.se.cuhk.edu.hk,137.189.58.22,6931.682302474976,10,5404,12.050477266311646,150,131.9538779258728,1650.0,1.795643468843385e-05,2.9658902879721912e-06,0.00321238539647311,0.0011757552965233724,0.001722176032806226,1.642210114368936e-05,2.8041531125685043e-06,0.003058442339921991,0.0011226048755149046,1,1,1,1,684.0847582817078,2000,6812.7560522556305,20000.0,2.66375130546093,1.0357201863527299,1.2830719469189644,0.6665755778551101,1.017703388199494,2.66375130546093,1.0357180988788606,1.2830517696738244,0.6664954963028431,0,2,2,2,13.037067413330078,150,13.037067413330078,150.0,3.6870232804616294,0.3508909046649933,1.7876020828882853,0.5790288885434468,0.592360451638184
