lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,73f45_00000,2023-09-10_00-54-20,1694278460,22.196695566177368,22.196695566177368,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,22.196695566177368,1,1178,0.5595521926879883,150,1.4944941997528076,300.0,0.002446455047465861,0.00027809850541719546,0.03772900320589542,0.012698862788577875,0.01667628572006355,0.002446455047465861,0.00027809850541719546,0.03772900320589542,0.012698862788577875,0,0,0,0,21.636508226394653,2000,21.636508226394653,2000.0,2.67371017408371,1.0354098705947399,1.2854027448296548,0.6666943502128124,1.0175509179371516,2.67371017408371,1.0354098705947399,1.2854027448296548,0.6666943502128124,0,0,0,0,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[0.01],1,False,2,73f45_00000,2023-09-10_00-54-41,1694278481,21.78222131729126,43.97891688346863,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,43.97891688346863,2,1178,0.5507831573486328,150,2.0452773571014404,450.0,0.0009404160567404082,0.0001068499252141919,0.025313092606763045,0.008510163420190413,0.0103368237488211,0.0009404160567404082,0.0001068499252141919,0.025313092606763045,0.008510163420190413,0,0,0,0,21.230820894241333,2000,42.867329120635986,4000.0,2.6656497473716736,1.035742349177599,1.2836462736129761,0.6666701975166798,1.0177142767877432,2.6656497473716736,1.0354098705947399,1.2836462736129761,0.6666701975166798,0,1,0,0,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[0.0025],2,False,3,73f45_00000,2023-09-10_00-55-03,1694278503,21.72089171409607,65.6998085975647,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,65.6998085975647,3,1178,0.5505757331848145,150,2.595853090286255,600.0,0.0006240722824198505,7.306247260809566e-05,0.02110528645416101,0.007139265782510241,0.008547658896335046,0.0006240722824198505,7.306247260809566e-05,0.02110528645416101,0.007139265782510241,0,0,0,0,21.169857025146484,2000,64.03718614578247,6000.0,2.6649310014247893,1.0360134173631668,1.2833376743793488,0.6666351154446601,1.0178474430695235,2.6649310014247893,1.0354098705947399,1.2833376743793488,0.6666351154446601,0,2,0,0,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[0.0025],3,False,4,73f45_00000,2023-09-10_00-55-25,1694278525,21.822011947631836,87.52182054519653,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,87.52182054519653,4,1178,0.5499141216278076,150,3.1457672119140625,750.0,0.0003159395215334371,5.112799165848022e-05,0.014092192134509483,0.005220255767926574,0.007150384021748777,0.0003159395215334371,5.112799165848022e-05,0.014092192134509483,0.005220255767926574,0,0,0,0,21.27158236503601,2000,85.30876851081848,8000.0,2.6644308273792268,1.0358291701674462,1.283306644499302,0.6666280205845833,1.0177569307882144,2.6644308273792268,1.0354098705947399,1.283306644499302,0.6666280205845833,0,3,0,0,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[0.000625],4,False,5,73f45_00000,2023-09-10_00-55-47,1694278547,22.131902933120728,109.65372347831726,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,109.65372347831726,5,1178,0.5490529537200928,150,3.6948201656341553,900.0,0.00018736183478419358,2.678838887125797e-05,0.011005160311857859,0.003946926438560088,0.005175750078129543,0.00018736183478419358,2.678838887125797e-05,0.011005160311857859,0.003946926438560088,0,0,0,0,21.582474946975708,2000,106.89124345779419,10000.0,2.664642930626869,1.0361126424074174,1.2832975264191628,0.666680130571127,1.0178961844939873,2.6644308273792268,1.0354098705947399,1.2832975264191628,0.6666280205845833,1,4,0,1,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[0.000625],5,False,6,73f45_00000,2023-09-10_00-56-09,1694278569,21.765313625335693,131.41903710365295,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,131.41903710365295,6,1178,0.5525641441345215,150,4.247384309768677,1050.0,0.00011224460841428178,1.627679932425963e-05,0.008000611041982969,0.0028721616743132474,0.004034451551854308,0.00011224460841428178,1.627679932425963e-05,0.008000611041982969,0.0028721616743132474,0,0,0,0,21.212371110916138,2000,128.10361456871033,12000.0,2.6646919066905976,1.03605095154047,1.283365006148815,0.6667268544137478,1.0178658809197163,2.6644308273792268,1.0354098705947399,1.2832975264191628,0.6666280205845833,2,5,1,2,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[0.00015625],6,False,7,73f45_00000,2023-09-10_00-56-32,1694278592,23.40517783164978,154.82421493530273,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,154.82421493530273,7,1178,0.6055166721343994,150,4.852900981903076,1200.0,0.00023644820505675548,2.5394704619732994e-05,0.013418572855492432,0.004421919550125797,0.005039315888067843,0.00011224460841428178,1.627679932425963e-05,0.008000611041982969,0.0028721616743132474,1,1,1,1,22.799200773239136,2000,150.90281534194946,14000.0,2.664561150312424,1.036096051812172,1.2832767580151558,0.6666869370937347,1.0178880350078647,2.6644308273792268,1.0354098705947399,1.2832767580151558,0.6666280205845833,3,6,0,3,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[0.00015625],7,False,8,73f45_00000,2023-09-10_00-56-55,1694278615,22.86695408821106,177.6911690235138,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,177.6911690235138,8,1178,0.6070189476013184,150,5.4599199295043945,1350.0,9.06584760620414e-05,1.3607640181968843e-05,0.0076350852971275645,0.0027893120205650726,0.0036888535050837736,9.06584760620414e-05,1.3607640181968843e-05,0.0076350852971275645,0.0027893120205650726,0,0,0,0,22.25946044921875,2000,173.1622757911682,16000.0,2.6645388498306275,1.0361223244667053,1.2832339771389962,0.6666150374114513,1.0179009403997548,2.6644308273792268,1.0354098705947399,1.2832339771389962,0.6666150374114513,4,7,0,0,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[3.90625e-05],8,False,9,73f45_00000,2023-09-10_00-57-18,1694278638,23.007771730422974,200.69894075393677,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,200.69894075393677,9,1178,0.6081647872924805,150,6.068084716796875,1500.0,4.9646449600307585e-05,8.301592855180691e-06,0.0054309841804206374,0.0019965633625785508,0.0028812484889680534,4.9646449600307585e-05,8.301592855180691e-06,0.0054309841804206374,0.0019965633625785508,0,0,0,0,22.399158000946045,2000,195.56143379211426,18000.0,2.664299751520157,1.0360009127259255,1.2831618614792824,0.6666272501647472,1.0178413003636302,2.664299751520157,1.0354098705947399,1.2831618614792824,0.6666150374114513,0,8,0,1,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
[3.90625e-05],9,False,10,73f45_00000,2023-09-10_00-57-41,1694278661,22.92376136779785,223.62270212173462,140319,sepc622.se.cuhk.edu.hk,137.189.58.22,223.62270212173462,10,1178,0.6390259265899658,150,6.707110643386841,1650.0,7.324359602838134e-05,1.1013353941962124e-05,0.007019832981750369,0.0025244588047886886,0.003318637362225967,4.9646449600307585e-05,8.301592855180691e-06,0.0054309841804206374,0.0019965633625785508,1,1,1,1,22.28429627418518,2000,217.84573006629944,20000.0,2.6642593352794646,1.035891011953354,1.2832065908908843,0.6666739247739315,1.017787311747083,2.6642593352794646,1.0354098705947399,1.2831618614792824,0.6666150374114513,0,9,1,2,0.9349420070648193,150,0.9349420070648193,150.0,4.128772637049357,0.40113089203834534,1.9143462880452473,0.6244483967622121,0.6333489496623053
