lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,1ab4f_00000,2023-09-18_19-54-58,1695038098,30.769314527511597,30.769314527511597,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,30.769314527511597,1,1178,0.8301169872283936,150,1.959681749343872,300.0,0.0008872621941069761,0.00011992043893163403,0.024032906529804072,0.008423233106732368,0.010950819098662622,0.0008872621941069761,0.00011992043893163403,0.024032906529804072,0.008423233106732368,0,0,0,0,29.938610315322876,2000,29.938610315322876,2000.0,2.2255808861255644,0.7429002495855093,1.108657242178917,0.514695385158062,0.8619166140558547,2.2255808861255644,0.7429002495855093,1.108657242178917,0.514695385158062,0,0,0,0,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[0.01],1,False,2,1ab4f_00000,2023-09-18_19-55-28,1695038128,29.740861415863037,60.510175943374634,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,60.510175943374634,2,1178,0.8237683773040771,150,2.783450126647949,450.0,0.0005586711158199857,7.514734655463447e-05,0.01797090797374646,0.006282306524614493,0.008668756920956687,0.0005586711158199857,7.514734655463447e-05,0.01797090797374646,0.006282306524614493,0,0,0,0,28.916544198989868,2000,58.855154514312744,4000.0,2.2090763927698136,0.7420827769041062,1.104518604516983,0.5135269843041896,0.8614422655663618,2.2090763927698136,0.7420827769041062,1.104518604516983,0.5135269843041896,0,0,0,0,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[0.0025],2,False,3,1ab4f_00000,2023-09-18_19-55-58,1695038158,29.65796136856079,90.16813731193542,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,90.16813731193542,3,1178,0.828427791595459,150,3.611877918243408,600.0,0.000931853245322903,0.0001255000530121227,0.02551287330687046,0.00901268672818939,0.011202680617250618,0.0005586711158199857,7.514734655463447e-05,0.01797090797374646,0.006282306524614493,1,1,1,1,28.829118251800537,2000,87.68427276611328,6000.0,2.20744088435173,0.741806330293417,1.104002452135086,0.5133517300486564,0.8612817949390414,2.20744088435173,0.741806330293417,1.104002452135086,0.5133517300486564,0,0,0,0,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[0.0025],3,False,4,1ab4f_00000,2023-09-18_19-56-27,1695038187,29.23595118522644,119.40408849716187,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,119.40408849716187,4,1178,0.8221042156219482,150,4.4339821338653564,750.0,0.00035017966855472574,4.558323792783388e-05,0.015047247552623351,0.005237300070002675,0.006751535968047114,0.00035017966855472574,4.558323792783388e-05,0.015047247552623351,0.005237300070002675,0,0,0,0,28.41347908973694,2000,116.09775185585022,8000.0,2.207502528786659,0.7418305540084839,1.104042525291443,0.5133848463892937,0.8612958574197858,2.20744088435173,0.741806330293417,1.104002452135086,0.5133517300486564,1,1,1,1,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[0.000625],4,False,5,1ab4f_00000,2023-09-18_19-56-56,1695038216,29.221046447753906,148.62513494491577,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,148.62513494491577,5,1178,0.8230080604553223,150,5.256990194320679,900.0,0.0001611225420492701,2.3265700134894967e-05,0.009948690241823594,0.003571341920954486,0.004823453133896397,0.0001611225420492701,2.3265700134894967e-05,0.009948690241823594,0.003571341920954486,0,0,0,0,28.39773440361023,2000,144.49548625946045,10000.0,2.2077756628990173,0.742190081089735,1.1040765460133553,0.5134186160564422,0.8615045450197782,2.20744088435173,0.741806330293417,1.104002452135086,0.5133517300486564,2,2,2,2,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[0.000625],5,False,6,1ab4f_00000,2023-09-18_19-57-26,1695038246,29.48042368888855,178.10555863380432,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,178.10555863380432,6,1178,0.8275296688079834,150,6.084519863128662,1050.0,0.00016560796357225626,2.458353342566018e-05,0.010209737233817578,0.0036876341219370563,0.00495817843826341,0.0001611225420492701,2.3265700134894967e-05,0.009948690241823594,0.003571341920954486,1,1,1,1,28.652486562728882,2000,173.14797282218933,12000.0,2.2077432045936582,0.7420009939372539,1.1040748017430306,0.5134111384153366,0.8613947956293061,2.20744088435173,0.741806330293417,1.104002452135086,0.5133517300486564,3,3,3,3,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[0.00015625],6,False,7,1ab4f_00000,2023-09-18_19-57-55,1695038275,29.295585870742798,207.40114450454712,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,207.40114450454712,7,1178,0.8185486793518066,150,6.903068542480469,1200.0,0.00012722524474763,2.0213261789952717e-05,0.008902460324267546,0.0032219767725716036,0.004495916123545091,0.00012722524474763,2.0213261789952717e-05,0.008902460324267546,0.0032219767725716036,0,0,0,0,28.476746559143066,2000,201.6247193813324,14000.0,2.206908629536629,0.7417010323405265,1.1038287327885627,0.5132570306956769,0.861220664139294,2.206908629536629,0.7417010323405265,1.1038287327885627,0.5132570306956769,0,0,0,0,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[0.00015625],7,False,8,1ab4f_00000,2023-09-18_19-58-24,1695038304,29.36027455329895,236.76141905784607,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,236.76141905784607,8,1178,0.8265511989593506,150,7.729619741439819,1350.0,0.00015268641407601536,2.1171246286636838e-05,0.009731159694492817,0.0034342285478487613,0.00460122226007795,0.00012722524474763,2.0213261789952717e-05,0.008902460324267546,0.0032219767725716036,1,1,1,1,28.53338384628296,2000,230.15810322761536,16000.0,2.207437574028969,0.7419534960389137,1.103958281815052,0.5133804572224617,0.8613672248460083,2.206908629536629,0.7417010323405265,1.1038287327885627,0.5132570306956769,1,1,1,1,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[3.90625e-05],8,False,9,1ab4f_00000,2023-09-18_19-58-54,1695038334,29.058082580566406,265.8195016384125,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,265.8195016384125,9,1178,0.8391790390014648,150,8.568798780441284,1500.0,0.00011085933767996418,1.68944729254387e-05,0.008166101214786371,0.002942425689349572,0.004110288666923371,0.00011085933767996418,1.68944729254387e-05,0.008166101214786371,0.002942425689349572,0,0,0,0,28.21853733062744,2000,258.3766405582428,18000.0,2.2073147933483126,0.7419803189635277,1.1040028693079948,0.5134078196883202,0.861382794675821,2.206908629536629,0.7417010323405265,1.1038287327885627,0.5132570306956769,2,2,2,2,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
[3.90625e-05],9,False,10,1ab4f_00000,2023-09-18_19-59-22,1695038362,28.93565607070923,294.7551577091217,213030,sepc622.se.cuhk.edu.hk,137.189.58.22,294.7551577091217,10,1178,0.8191161155700684,150,9.387914896011353,1650.0,0.00010343772873360043,1.6512773084590055e-05,0.007918780154238145,0.0028969567331175007,0.004063591156180707,0.00010343772873360043,1.6512773084590055e-05,0.007918780154238145,0.0028969567331175007,0,0,0,0,28.116212368011475,2000,286.4928529262543,20000.0,2.2073194645643235,0.7419977782964706,1.1039257771968842,0.5133754166662693,0.8613929290959328,2.206908629536629,0.7417010323405265,1.1038287327885627,0.5132570306956769,3,3,3,3,1.1295647621154785,150,1.1295647621154785,150.0,4.128724899291992,0.4011274007956187,1.9143369062741598,0.6244396352767945,0.6333461934800103
