lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,6411b_00010,2023-09-18_20-33-23,1695040403,22.909680604934692,22.909680604934692,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,22.909680604934692,1,98,0.785409688949585,150,1.8810737133026123,300.0,0.005767953591421246,0.0008741339637587468,0.05676022529602051,0.020550123465557894,0.02956575660724323,0.005767953591421246,0.0008741339637587468,0.05676022529602051,0.020550123465557894,0,0,0,0,22.123761415481567,2000,22.123761415481567,2000.0,2.2661683064699174,0.7430039601027966,1.121289039313793,0.5212836657166481,0.8619767746887363,2.2661683064699174,0.7430039601027966,1.121289039313793,0.5212836657166481,0,0,0,0,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[0.01],1,False,2,6411b_00010,2023-09-18_20-33-45,1695040425,22.41620135307312,45.32588195800781,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,45.32588195800781,2,98,0.7882661819458008,150,2.669339895248413,450.0,0.006545619691411654,0.0009187417069915682,0.06315621107816696,0.02264932313313087,0.03031075233298521,0.005767953591421246,0.0008741339637587468,0.05676022529602051,0.020550123465557894,1,1,1,1,21.62750554084778,2000,43.751266956329346,4000.0,2.2131591781377793,0.7395579017102718,1.1093708277344703,0.5176547812223434,0.859975523901856,2.2131591781377793,0.7395579017102718,1.1093708277344703,0.5176547812223434,0,0,0,0,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[0.0025],2,False,3,6411b_00010,2023-09-18_20-34-08,1695040448,22.604412317276,67.93029427528381,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,67.93029427528381,3,98,0.7907130718231201,150,3.460052967071533,600.0,0.005657192698369423,0.0008257428607127319,0.057335034509499866,0.020818875171244144,0.028735741868146224,0.005657192698369423,0.0008257428607127319,0.05676022529602051,0.020550123465557894,0,0,2,2,21.813318967819214,2000,65.56458592414856,6000.0,2.2124704059362412,0.7396268483996391,1.1087075377106665,0.5171823439896107,0.8600156093930151,2.2124704059362412,0.7395579017102718,1.1087075377106665,0.5171823439896107,0,1,0,0,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[0.0025],3,False,4,6411b_00010,2023-09-18_20-34-30,1695040470,22.45629572868347,90.38659000396729,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,90.38659000396729,4,98,0.8051466941833496,150,4.265199661254883,750.0,0.004372691676641504,0.0006891559444678326,0.048217801302671434,0.017813069447875023,0.026251779834286143,0.004372691676641504,0.0006891559444678326,0.048217801302671434,0.017813069447875023,0,0,0,0,21.650787591934204,2000,87.21537351608276,8000.0,2.212743280291557,0.7399125586152077,1.1087252108454704,0.5172111051678657,0.8601817009302207,2.2124704059362412,0.7395579017102718,1.1087075377106665,0.5171823439896107,1,2,1,1,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[0.000625],4,False,5,6411b_00010,2023-09-18_20-34-53,1695040493,22.252490758895874,112.63908076286316,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,112.63908076286316,5,98,0.7934074401855469,150,5.05860710144043,900.0,0.004554792549461126,0.0007017384178470821,0.05054623417556286,0.01853296020378669,0.026490345747971693,0.004372691676641504,0.0006891559444678326,0.048217801302671434,0.017813069447875023,1,1,1,1,21.458716869354248,2000,108.67409038543701,10000.0,2.213432277560234,0.7403361144065856,1.1089361894130707,0.5173579530715943,0.8604278670560279,2.2124704059362412,0.7395579017102718,1.1087075377106665,0.5171823439896107,2,3,2,2,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[0.000625],5,False,6,6411b_00010,2023-09-18_20-35-15,1695040515,22.224640369415283,134.86372113227844,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,134.86372113227844,6,98,0.7897875308990479,150,5.8483946323394775,1050.0,0.004644797987615069,0.000707874121532465,0.050980767558018364,0.018681671135127545,0.026605903884898648,0.004372691676641504,0.0006891559444678326,0.048217801302671434,0.017813069447875023,2,2,2,2,21.43451428413391,2000,130.10860466957092,12000.0,2.2132137476205824,0.740190485805273,1.1088863559365272,0.5173136911094188,0.8603432372055196,2.2124704059362412,0.7395579017102718,1.1087075377106665,0.5171823439896107,3,4,3,3,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[0.00015625],6,False,7,6411b_00010,2023-09-18_20-35-37,1695040537,22.338305473327637,157.20202660560608,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,157.20202660560608,7,98,0.7845394611358643,150,6.632934093475342,1200.0,0.004339127040778597,0.0007033747240590552,0.04871700810889403,0.018078553080558776,0.02652121271848358,0.004339127040778597,0.0006891559444678326,0.048217801302671434,0.017813069447875023,0,3,3,3,21.553388595581055,2000,151.66199326515198,14000.0,2.212556517958641,0.7398722351491451,1.10873323482275,0.5172205009460449,0.8601582616874323,2.2124704059362412,0.7395579017102718,1.1087075377106665,0.5171823439896107,4,5,4,4,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[0.00015625],7,False,8,6411b_00010,2023-09-18_20-35-59,1695040559,21.882142066955566,179.08416867256165,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,179.08416867256165,8,98,0.7822108268737793,150,7.415144920349121,1350.0,0.00443559697518746,0.0006860259648722907,0.050330590009689334,0.018434394026796024,0.02619209737444275,0.004339127040778597,0.0006860259648722907,0.048217801302671434,0.017813069447875023,1,0,4,4,21.09966254234314,2000,172.76165580749512,16000.0,2.212860073804855,0.7399421686828136,1.108797545850277,0.5172546355128288,0.8601989122771625,2.2124704059362412,0.7395579017102718,1.1087075377106665,0.5171823439896107,5,6,5,5,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[3.90625e-05],8,False,9,6411b_00010,2023-09-18_20-36-21,1695040581,22.244877099990845,201.3290457725525,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,201.3290457725525,9,98,0.7870783805847168,150,8.202223300933838,1500.0,0.004362321666752299,0.0006931837240699678,0.04888219080865383,0.018063263172904652,0.026328382481078626,0.004339127040778597,0.0006860259648722907,0.048217801302671434,0.017813069447875023,2,1,5,5,21.45745277404785,2000,194.21910858154297,18000.0,2.2130043349266053,0.7400891868472099,1.1088830280900002,0.5173148261606694,0.8602843639443937,2.2124704059362412,0.7395579017102718,1.1087075377106665,0.5171823439896107,6,7,6,6,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
[3.90625e-05],9,False,10,6411b_00010,2023-09-18_20-36-43,1695040603,22.05005669593811,223.3791024684906,256608,sepc622.se.cuhk.edu.hk,137.189.58.22,223.3791024684906,10,98,0.7877535820007324,150,8.98997688293457,1650.0,0.004548004989822705,0.0007063046679832042,0.05079832596083482,0.01864552391072114,0.026576393058186133,0.004339127040778597,0.0006860259648722907,0.048217801302671434,0.017813069447875023,3,2,6,6,21.26201844215393,2000,215.4811270236969,20000.0,2.212263220310211,0.7399026312232018,1.108632362663746,0.5171929032802581,0.860175930390523,2.212263220310211,0.7395579017102718,1.108632362663746,0.5171823439896107,0,8,0,7,1.0956640243530273,150,1.0956640243530273,150.0,2.4505281337102254,0.2479562257726987,1.3317992401123047,0.43358578463395436,0.4979520315981236
