lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,6411b_00019,2023-09-18_20-55-33,1695041733,32.97161245346069,32.97161245346069,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,32.97161245346069,1,1448,0.8576881885528564,150,2.0888357162475586,300.0,0.0008472146276229371,0.00011319949471120101,0.023506269827485084,0.008210713590184847,0.010639525116808598,0.0008472146276229371,0.00011319949471120101,0.023506269827485084,0.008210713590184847,0,0,0,0,32.11335468292236,2000,32.11335468292236,2000.0,2.2218681523799897,0.7424605702757835,1.107501319050789,0.51410957467556,0.8616615172303934,2.2218681523799897,0.7424605702757835,1.107501319050789,0.51410957467556,0,0,0,0,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[0.01],1,False,2,6411b_00019,2023-09-18_20-56-08,1695041768,34.94666290283203,67.91827535629272,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,67.91827535629272,2,1448,0.8488914966583252,150,2.937727212905884,450.0,0.0015026357863098382,0.0002154910901056913,0.03058851942420006,0.010897902281334002,0.014679614780561897,0.0008472146276229371,0.00011319949471120101,0.023506269827485084,0.008210713590184847,1,1,1,1,34.09699058532715,2000,66.21034526824951,4000.0,2.2087551665306093,0.741882809817791,1.1044258009791375,0.5134546927809716,0.8613261924600871,2.2087551665306093,0.741882809817791,1.1044258009791375,0.5134546927809716,0,0,0,0,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[0.0025],2,False,3,6411b_00019,2023-09-18_20-56-42,1695041802,34.89375901222229,102.81203436851501,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,102.81203436851501,3,1448,0.8575530052185059,150,3.7952802181243896,600.0,0.0005710416182409972,7.212008446610222e-05,0.019312753739456335,0.0067371205271532135,0.008492354471293708,0.0005710416182409972,7.212008446610222e-05,0.019312753739456335,0.0067371205271532135,0,0,0,0,34.03569436073303,2000,100.24603962898254,6000.0,2.207690514564514,0.7418191291689873,1.1040692168474198,0.5133872400820255,0.86128922503941,2.207690514564514,0.7418191291689873,1.1040692168474198,0.5133872400820255,0,0,0,0,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[0.0025],3,False,4,6411b_00019,2023-09-18_20-57-15,1695041835,32.99412298202515,135.80615735054016,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,135.80615735054016,4,1448,0.9464681148529053,150,4.741748332977295,750.0,0.0003785072286458065,6.748475236236118e-05,0.015338479975859324,0.0058626104456683,0.008214910368492232,0.0003785072286458065,6.748475236236118e-05,0.015338479975859324,0.0058626104456683,0,0,0,0,32.04703378677368,2000,132.29307341575623,8000.0,2.2077758692502973,0.7420800769031047,1.1040682316422463,0.5134083222150803,0.8614406984250887,2.207690514564514,0.7418191291689873,1.1040682316422463,0.5133872400820255,1,1,0,1,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[0.000625],4,False,5,6411b_00019,2023-09-18_20-57-49,1695041869,33.30137085914612,169.10752820968628,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,169.10752820968628,5,1448,0.8593823909759521,150,5.601130723953247,900.0,0.0002643141020477439,4.1082673269556836e-05,0.01305812385554115,0.0047847674073030555,0.006409576684115483,0.0002643141020477439,4.1082673269556836e-05,0.01305812385554115,0.0047847674073030555,0,0,0,0,32.44126772880554,2000,164.73434114456177,10000.0,2.207855981707573,0.7420823830366134,1.104099697470665,0.5134180327653884,0.8614420369569931,2.207690514564514,0.7418191291689873,1.1040682316422463,0.5133872400820255,2,2,1,2,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[0.000625],5,False,6,6411b_00019,2023-09-18_20-58-22,1695041902,33.57401204109192,202.6815402507782,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,202.6815402507782,6,1448,0.8564248085021973,150,6.457555532455444,1050.0,0.00021196087152929976,3.0185754537039125e-05,0.011507133990526199,0.0041108493134379386,0.0054941563990333515,0.00021196087152929976,3.0185754537039125e-05,0.011507133990526199,0.0041108493134379386,0,0,0,0,32.717164516448975,2000,197.45150566101074,12000.0,2.2075084300041197,0.7418518359959125,1.1040373022556305,0.5133880698382854,0.8613082119635878,2.2075084300041197,0.7418191291689873,1.1040373022556305,0.5133872400820255,0,3,0,3,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[0.00015625],6,False,7,6411b_00019,2023-09-18_20-58-55,1695041935,33.03082489967346,235.71236515045166,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,235.71236515045166,7,1448,0.8533766269683838,150,7.310932159423828,1200.0,0.00011732745115295984,1.8841968679528993e-05,0.008425369144727786,0.0030738082978253563,0.004340733656829107,0.00011732745115295984,1.8841968679528993e-05,0.008425369144727786,0.0030738082978253563,0,0,0,0,32.17694449424744,2000,229.62845015525818,14000.0,2.2070965783596037,0.7419617871046066,1.10385012447834,0.5132965297400951,0.8613720375683243,2.2070965783596037,0.7418191291689873,1.10385012447834,0.5132965297400951,0,4,0,0,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[0.00015625],7,False,8,6411b_00019,2023-09-18_20-59-30,1695041970,34.70491576194763,270.4172809123993,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,270.4172809123993,8,1448,0.8606517314910889,150,8.171583890914917,1350.0,0.00011137384436248491,1.742156384959041e-05,0.008219233204921086,0.002987533851216237,0.004173914691220989,0.00011137384436248491,1.742156384959041e-05,0.008219233204921086,0.002987533851216237,0,0,0,0,33.843613386154175,2000,263.47206354141235,16000.0,2.2073776025772096,0.7420276131033897,1.1039176343679429,0.5133558550775051,0.8614102466905009,2.2070965783596037,0.7418191291689873,1.10385012447834,0.5132965297400951,1,5,1,1,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[3.90625e-05],8,False,9,6411b_00019,2023-09-18_21-00-04,1695042004,33.96350622177124,304.38078713417053,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,304.38078713417053,9,1448,0.8602468967437744,150,9.031830787658691,1500.0,0.00011280664368920649,1.7488263802079017e-05,0.008389388217280308,0.003046282675738136,0.004181897153455476,0.00011137384436248491,1.742156384959041e-05,0.008219233204921086,0.002987533851216237,1,1,1,1,33.10277819633484,2000,296.5748417377472,18000.0,2.207147208094597,0.7419537519812583,1.1039083095788955,0.5133440684080124,0.8613673734134921,2.2070965783596037,0.7418191291689873,1.10385012447834,0.5132965297400951,2,6,2,2,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
[3.90625e-05],9,False,10,6411b_00019,2023-09-18_21-00-37,1695042037,32.82892894744873,337.20971608161926,287537,sepc622.se.cuhk.edu.hk,137.189.58.22,337.20971608161926,10,1448,0.8782970905303955,150,9.910127878189087,1650.0,0.00010910119730397128,1.656815074966289e-05,0.008157411211480697,0.00293521075664709,0.004070399335404684,0.00010910119730397128,1.656815074966289e-05,0.008157411211480697,0.00293521075664709,0,0,0,0,31.950154781341553,2000,328.52499651908875,20000.0,2.2071466916799545,0.7418880678117276,1.1038689451813697,0.5133330679237843,0.861329244721046,2.2070965783596037,0.7418191291689873,1.10385012447834,0.5132965297400951,3,7,3,3,1.2311475276947021,150,1.2311475276947021,150.0,3.9843745470046996,0.388337065577507,1.8836587874094646,0.6155823783079784,0.6231669644465334
