lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,6411b_00020,2023-09-18_20-56-16,1695041776,29.16877794265747,29.16877794265747,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,29.16877794265747,1,908,0.8338911533355713,150,1.9807207584381104,300.0,0.0006803166889585555,0.00011073290520774512,0.020378402310113113,0.007460830605899294,0.01052297036048972,0.0006803166889585555,0.00011073290520774512,0.020378402310113113,0.007460830605899294,0,0,0,0,28.334445476531982,2000,28.334445476531982,2000.0,2.2297373957633972,0.7437525135576725,1.1094323276877402,0.5148066048622131,0.8624108728197207,2.2297373957633972,0.7437525135576725,1.1094323276877402,0.5148066048622131,0,0,0,0,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[0.01],1,False,2,6411b_00020,2023-09-18_20-56-45,1695041805,28.499282598495483,57.668060541152954,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,57.668060541152954,2,908,0.8476836681365967,150,2.828404426574707,450.0,0.0005606914719101042,8.352296169808445e-05,0.01864351821442445,0.006634879652410746,0.009139089763104664,0.0005606914719101042,8.352296169808445e-05,0.01864351821442445,0.006634879652410746,0,0,0,0,27.651163578033447,2000,55.98560905456543,4000.0,2.2090370416641236,0.7420688262283802,1.1045388814806938,0.5135907063186169,0.8614341682498903,2.2090370416641236,0.7420688262283802,1.1045388814806938,0.5135907063186169,0,0,0,0,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[0.0025],2,False,3,6411b_00020,2023-09-18_20-57-14,1695041834,28.88395380973816,86.55201435089111,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,86.55201435089111,3,908,0.876798152923584,150,3.705202579498291,600.0,0.0010470159320781628,0.00013056050306962182,0.028323279581964015,0.009804896544665098,0.01142630749934649,0.0005606914719101042,8.352296169808445e-05,0.01864351821442445,0.006634879652410746,1,1,1,1,28.0065758228302,2000,83.99218487739563,6000.0,2.207458106994629,0.7419119094014168,1.1040625911355018,0.5134408544301987,0.8613430846076474,2.207458106994629,0.7419119094014168,1.1040625911355018,0.5134408544301987,0,0,0,0,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[0.0025],3,False,4,6411b_00020,2023-09-18_20-57-42,1695041862,27.980473518371582,114.5324878692627,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,114.5324878692627,4,908,0.8454234600067139,150,4.550626039505005,750.0,0.00031740834238007664,4.887711438641418e-05,0.01398538642252485,0.005056370307380954,0.0069912169460269345,0.00031740834238007664,4.887711438641418e-05,0.01398538642252485,0.005056370307380954,0,0,0,0,27.134656190872192,2000,111.12684106826782,8000.0,2.2076041952371597,0.7418785951435566,1.1040740668177604,0.5134163588583469,0.8613237458375083,2.207458106994629,0.7418785951435566,1.1040625911355018,0.5134163588583469,1,0,1,0,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[0.000625],4,False,5,6411b_00020,2023-09-18_20-58-06,1695041886,24.103904962539673,138.63639283180237,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,138.63639283180237,5,908,0.8456470966339111,150,5.396273136138916,900.0,0.0002715964619225512,4.035891322322035e-05,0.01280798760553201,0.004629978900775314,0.0063528665359206425,0.0002715964619225512,4.035891322322035e-05,0.01280798760553201,0.004629978900775314,0,0,0,0,23.257844924926758,2000,134.38468599319458,10000.0,2.2080532009601592,0.7422643588483333,1.1041272733807563,0.5134665903449058,0.8615476532661054,2.207458106994629,0.7418785951435566,1.1040625911355018,0.5134163588583469,2,1,2,1,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[0.000625],5,False,6,6411b_00020,2023-09-18_20-58-33,1695041913,26.859567880630493,165.49596071243286,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,165.49596071243286,6,908,0.8417088985443115,150,6.2379820346832275,1050.0,0.000267298950930126,4.0137319228961135e-05,0.012837029608587423,0.004624852519482374,0.006335402057404182,0.000267298950930126,4.0137319228961135e-05,0.01280798760553201,0.004624852519482374,0,0,1,0,26.017430305480957,2000,160.40211629867554,12000.0,2.2080678410530092,0.7422016842365264,1.104190819978714,0.5135047381520271,0.8615112792276874,2.207458106994629,0.7418785951435566,1.1040625911355018,0.5134163588583469,3,2,3,2,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[0.00015625],6,False,7,6411b_00020,2023-09-18_20-59-02,1695041942,29.033292293548584,194.52925300598145,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,194.52925300598145,7,908,0.8415193557739258,150,7.079501390457153,1200.0,0.00017178759958672647,2.8247060702900245e-05,0.009997870847582817,0.003649878251987199,0.005314796393362613,0.00017178759958672647,2.8247060702900245e-05,0.009997870847582817,0.003649878251987199,0,0,0,0,28.191361665725708,2000,188.59347796440125,14000.0,2.2069580961465833,0.7418626157939434,1.103888885974884,0.5133404443860055,0.861314469746064,2.2069580961465833,0.7418626157939434,1.103888885974884,0.5133404443860055,0,0,0,0,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[0.00015625],7,False,8,6411b_00020,2023-09-18_20-59-32,1695041972,29.75354766845703,224.28280067443848,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,224.28280067443848,8,908,0.8517131805419922,150,7.9312145709991455,1350.0,0.0001821872570629542,2.8750716361779874e-05,0.010128659674276909,0.003703069561161101,0.0053619694480461074,0.00017178759958672647,2.8247060702900245e-05,0.009997870847582817,0.003649878251987199,1,1,1,1,28.901487827301025,2000,217.49496579170227,16000.0,2.207580663204193,0.7420387613475323,1.1040291924476624,0.5134172235131264,0.8614167175923232,2.2069580961465833,0.7418626157939434,1.103888885974884,0.5133404443860055,1,1,1,1,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[3.90625e-05],8,False,9,6411b_00020,2023-09-18_21-00-01,1695042001,29.342238187789917,253.6250388622284,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,253.6250388622284,9,908,0.9200944900512695,150,8.851309061050415,1500.0,0.0001733168285378876,2.709782979460821e-05,0.010088176596909762,0.003648946479273339,0.00520555758729151,0.00017178759958672647,2.709782979460821e-05,0.009997870847582817,0.003648946479273339,2,0,2,0,28.42177700996399,2000,245.91674280166626,18000.0,2.2073763809204103,0.7419782349467278,1.104028192937374,0.5134080174863338,0.861381584982363,2.2069580961465833,0.7418626157939434,1.103888885974884,0.5133404443860055,2,2,2,2,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
[3.90625e-05],9,False,10,6411b_00020,2023-09-18_21-00-30,1695042030,29.3914315700531,283.0164704322815,288858,sepc622.se.cuhk.edu.hk,137.189.58.22,283.0164704322815,10,908,0.8366434574127197,150,9.687952518463135,1650.0,0.000176840568795645,2.82456390899218e-05,0.010232340296109517,0.003746874425560236,0.005314662650622502,0.00017178759958672647,2.709782979460821e-05,0.009997870847582817,0.003648946479273339,3,1,3,1,28.55443572998047,2000,274.47117853164673,20000.0,2.2072118031978607,0.7420463203191757,1.103897826731205,0.5133979079723359,0.8614211051043361,2.2069580961465833,0.7418626157939434,1.103888885974884,0.5133404443860055,3,3,3,3,1.146829605102539,150,1.146829605102539,150.0,3.6776477972666424,0.35344568351904554,1.7971652452150981,0.5839784387747446,0.5945129801098085
