lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,6411b_00025,2023-09-18_21-09-53,1695042593,23.839035749435425,23.839035749435425,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,23.839035749435425,1,368,0.8012688159942627,150,1.9101839065551758,300.0,0.003484473208275934,0.0005161093128845096,0.04439938137928645,0.015794631664951642,0.022718039371488676,0.003484473208275934,0.0005161093128845096,0.04439938137928645,0.015794631664951642,0,0,0,0,23.03731656074524,2000,23.03731656074524,2000.0,2.2363987387418747,0.7434740948379039,1.1127064353823661,0.517233051687479,0.8622494388736383,2.2363987387418747,0.7434740948379039,1.1127064353823661,0.517233051687479,0,0,0,0,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[0.01],1,False,2,6411b_00025,2023-09-18_21-10-17,1695042617,24.6729633808136,48.51199913024902,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,48.51199913024902,2,368,0.8103163242340088,150,2.7205002307891846,450.0,0.0030971700822313626,0.0004584843124030158,0.042118865822752316,0.01496109381938974,0.021412246785496747,0.0030971700822313626,0.0004584843124030158,0.042118865822752316,0.01496109381938974,0,0,0,0,23.86220407485962,2000,46.89952063560486,4000.0,2.2106527158021927,0.7391646365821362,1.1055773965716362,0.5139517110288143,0.8597468444734975,2.2106527158021927,0.7391646365821362,1.1055773965716362,0.5139517110288143,0,0,0,0,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[0.0025],2,False,3,6411b_00025,2023-09-18_21-10-42,1695042642,24.706050634384155,73.21804976463318,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,73.21804976463318,3,368,0.9933075904846191,150,3.7138078212738037,600.0,0.0034957177378237246,0.0005248456840248158,0.04574975041051706,0.01658332737783591,0.022909510776636322,0.0030971700822313626,0.0004584843124030158,0.042118865822752316,0.01496109381938974,1,1,1,1,23.712381839752197,2000,70.61190247535706,6000.0,2.2100040842294693,0.739340769380331,1.1052339010238648,0.5138123768270015,0.859849271314648,2.2100040842294693,0.7391646365821362,1.1052339010238648,0.5138123768270015,0,1,0,0,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[0.0025],3,False,4,6411b_00025,2023-09-18_21-11-07,1695042667,25.23667597770691,98.45472574234009,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,98.45472574234009,4,368,0.8305842876434326,150,4.544392108917236,750.0,0.0031439253020410737,0.00047724687998803954,0.042677985752622286,0.015429149164507787,0.021845980865780313,0.0030971700822313626,0.0004584843124030158,0.042118865822752316,0.01496109381938974,2,2,2,2,24.40571117401123,2000,95.01761364936829,8000.0,2.2100996037721634,0.7392978433072567,1.1051718299388886,0.5137152422368526,0.8598243095582124,2.2100040842294693,0.7391646365821362,1.1051718299388886,0.5137152422368526,1,2,0,0,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[0.000625],4,False,5,6411b_00025,2023-09-18_21-11-32,1695042692,24.56520175933838,123.01992750167847,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,123.01992750167847,5,368,0.8010203838348389,150,5.345412492752075,900.0,0.0030540696997195483,0.00045510479928149533,0.04219337304433187,0.015121990529199441,0.021333185399313795,0.0030540696997195483,0.00045510479928149533,0.042118865822752316,0.01496109381938974,0,0,3,3,23.763769149780273,2000,118.78138279914856,10000.0,2.2101728011369706,0.7395109563469887,1.1052114648222924,0.5137736465930939,0.8599482288760113,2.2100040842294693,0.7391646365821362,1.1051718299388886,0.5137152422368526,2,3,1,1,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[0.000625],5,False,6,6411b_00025,2023-09-18_21-11-56,1695042716,24.582993268966675,147.60292077064514,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,147.60292077064514,6,368,0.802889347076416,150,6.148301839828491,1050.0,0.003235771736751,0.000465683558722958,0.044497868542869884,0.015874362848699093,0.021579702470677347,0.0030540696997195483,0.00045510479928149533,0.042118865822752316,0.01496109381938974,1,1,4,4,23.77967071533203,2000,142.5610535144806,12000.0,2.210417999982834,0.7394238794147968,1.1052370448708535,0.5137508466839791,0.8598975982143436,2.2100040842294693,0.7391646365821362,1.1051718299388886,0.5137152422368526,3,4,2,2,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[0.00015625],6,False,7,6411b_00025,2023-09-18_21-12-21,1695042741,24.561437368392944,172.1643581390381,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,172.1643581390381,7,368,0.801328182220459,150,6.94963002204895,1200.0,0.002875903702030579,0.0004380441709266355,0.03983151336510976,0.014334843537459771,0.020929504794109093,0.002875903702030579,0.0004380441709266355,0.03983151336510976,0.014334843537459771,0,0,0,0,23.75971484184265,2000,166.32076835632324,14000.0,2.2095335866212844,0.7390856872797013,1.1049756144881249,0.5135833488702775,0.8597009289745482,2.2095335866212844,0.7390856872797013,1.1049756144881249,0.5135833488702775,0,0,0,0,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[0.00015625],7,False,8,6411b_00025,2023-09-18_21-12-46,1695042766,24.75149393081665,196.91585206985474,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,196.91585206985474,8,368,0.8050704002380371,150,7.754700422286987,1350.0,0.003148635217609505,0.00045623664181524266,0.04312000622351964,0.015341763452937206,0.021359696669551342,0.002875903702030579,0.0004380441709266355,0.03983151336510976,0.014334843537459771,1,1,1,1,23.94603943824768,2000,190.26680779457092,16000.0,2.2101669228076934,0.7394258752763271,1.1051575329303742,0.5137251706719399,0.8598987587363568,2.2095335866212844,0.7390856872797013,1.1049756144881249,0.5135833488702775,1,1,1,1,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[3.90625e-05],8,False,9,6411b_00025,2023-09-18_21-13-10,1695042790,24.316665410995483,221.23251748085022,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,221.23251748085022,9,368,0.7966268062591553,150,8.551327228546143,1500.0,0.002988430686915914,0.0004433847676652173,0.04083469897508621,0.014634461843719086,0.021056703627710043,0.002875903702030579,0.0004380441709266355,0.03983151336510976,0.014334843537459771,2,2,2,2,23.519675970077515,2000,213.78648376464844,18000.0,2.2098283277750017,0.7394771661162376,1.1050866609811782,0.5137055952548981,0.859928581985875,2.2095335866212844,0.7390856872797013,1.1049756144881249,0.5135833488702775,2,2,2,2,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
[3.90625e-05],9,False,10,6411b_00025,2023-09-18_21-13-35,1695042815,24.462109804153442,245.69462728500366,308503,sepc622.se.cuhk.edu.hk,137.189.58.22,245.69462728500366,10,368,0.8041110038757324,150,9.355438232421875,1650.0,0.0031817626813426614,0.00046592553961090745,0.043159485384821894,0.015448407717049122,0.02158530842056484,0.002875903702030579,0.0004380441709266355,0.03983151336510976,0.014334843537459771,3,3,3,3,23.657691478729248,2000,237.44417524337769,20000.0,2.2096969058513642,0.7392375196516514,1.1049692898988723,0.5136200609505177,0.8597892297834693,2.2095335866212844,0.7390856872797013,1.1049692898988723,0.5135833488702775,3,3,0,3,1.108915090560913,150,1.108915090560913,150.0,3.3461872069040934,0.3030684826771418,1.644622110525767,0.5204461959997813,0.5505165598573233
