lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,6411b_00029,2023-09-18_21-17-03,1695043023,32.33124566078186,32.33124566078186,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,32.33124566078186,1,1178,0.8827230930328369,150,2.027937173843384,300.0,0.000971085773780942,0.00014713290564638253,0.023418068376680215,0.008547505506624779,0.012129835351165429,0.000971085773780942,0.00014713290564638253,0.023418068376680215,0.008547505506624779,0,0,0,0,31.44785737991333,2000,31.44785737991333,2000.0,2.2244601134061814,0.7418756959885359,1.1086279391646385,0.5146269499361515,0.861322062871105,2.2244601134061814,0.7418756959885359,1.1086279391646385,0.5146269499361515,0,0,0,0,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[0.01],1,False,2,6411b_00029,2023-09-18_21-17-35,1695043055,32.06348752975464,64.3947331905365,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,64.3947331905365,2,1178,0.8786964416503906,150,2.9066336154937744,450.0,0.0009527587921669086,0.00015386454751327013,0.02516262111564477,0.009308249646176894,0.012404214909185914,0.0009527587921669086,0.00014713290564638253,0.023418068376680215,0.008547505506624779,0,1,1,1,31.184301137924194,2000,62.632158517837524,4000.0,2.2089456601142885,0.7420154992043972,1.10458422935009,0.5136318878531456,0.8614032152275711,2.2089456601142885,0.7418756959885359,1.10458422935009,0.5136318878531456,0,1,0,0,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[0.0025],2,False,3,6411b_00029,2023-09-18_21-18-08,1695043088,32.29118299484253,96.68591618537903,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,96.68591618537903,3,1178,0.8943305015563965,150,3.800964117050171,600.0,0.0005150719146089007,7.30532042022484e-05,0.016572282388806342,0.00594203711176912,0.00854711671865129,0.0005150719146089007,7.30532042022484e-05,0.016572282388806342,0.00594203711176912,0,0,0,0,31.396399974822998,2000,94.02855849266052,6000.0,2.2074360358715057,0.7417815524041653,1.1040773625969886,0.5134365340471267,0.8612674105085861,2.2074360358715057,0.7417815524041653,1.1040773625969886,0.5134365340471267,0,0,0,0,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[0.0025],3,False,4,6411b_00029,2023-09-18_21-18-40,1695043120,32.20854043960571,128.89445662498474,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,128.89445662498474,4,1178,0.8817389011383057,150,4.682703018188477,750.0,0.00034533581288997083,5.006503352584938e-05,0.01492867390314738,0.005358842772742112,0.007075664882246006,0.00034533581288997083,5.006503352584938e-05,0.01492867390314738,0.005358842772742112,0,0,0,0,31.326151847839355,2000,125.35471034049988,8000.0,2.207454358816147,0.7418175874650479,1.104086266040802,0.5134515681266785,0.8612883300411355,2.2074360358715057,0.7417815524041653,1.1040773625969886,0.5134365340471267,1,1,1,1,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[0.000625],4,False,5,6411b_00029,2023-09-18_21-19-11,1695043151,31.66838836669922,160.56284499168396,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,160.56284499168396,5,1178,0.879791259765625,150,5.562494277954102,900.0,0.0001620000068214722,2.410497999032183e-05,0.009890610153476398,0.003557476137454311,0.004909682269793212,0.0001620000068214722,2.410497999032183e-05,0.009890610153476398,0.003557476137454311,0,0,0,0,30.788135766983032,2000,156.1428461074829,10000.0,2.207763217806816,0.7421877084970474,1.1041200085282326,0.5134742721319199,0.8615031680133552,2.2074360358715057,0.7417815524041653,1.1040773625969886,0.5134365340471267,2,2,2,2,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[0.000625],5,False,6,6411b_00029,2023-09-18_21-19-44,1695043184,32.02507019042969,192.58791518211365,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,192.58791518211365,6,1178,0.8820052146911621,150,6.444499492645264,1050.0,0.0001566022081533447,2.368480341829127e-05,0.009771405669550101,0.0035202171824251613,0.0048667035474015945,0.0001566022081533447,2.368480341829127e-05,0.009771405669550101,0.0035202171824251613,0,0,0,0,31.142585515975952,2000,187.28543162345886,12000.0,2.2077264560461045,0.7420139588713646,1.1041011441349984,0.5134518356621265,0.8614023211434739,2.2074360358715057,0.7417815524041653,1.1040773625969886,0.5134365340471267,3,3,3,3,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[0.00015625],6,False,7,6411b_00029,2023-09-18_21-20-15,1695043215,31.856019735336304,224.44393491744995,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,224.44393491744995,7,1178,0.8708770275115967,150,7.31537652015686,1200.0,0.00015768930345075205,2.3101876249711494e-05,0.00956448952977856,0.003400253903431197,0.004806441121007464,0.0001566022081533447,2.3101876249711494e-05,0.00956448952977856,0.003400253903431197,1,0,0,0,30.984697103500366,2000,218.27012872695923,14000.0,2.2069073280096054,0.7417046625614166,1.1038647127747536,0.5133032342791557,0.8612227717387742,2.2069073280096054,0.7417046625614166,1.1038647127747536,0.5133032342791557,0,0,0,0,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[0.00015625],7,False,8,6411b_00029,2023-09-18_21-20-47,1695043247,31.799514293670654,256.2434492111206,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,256.2434492111206,8,1178,0.8784182071685791,150,8.19379472732544,1350.0,0.00014948680453623334,2.1080061269458384e-05,0.009415975150962671,0.00331918196597447,0.004591302785643568,0.00014948680453623334,2.1080061269458384e-05,0.009415975150962671,0.00331918196597447,0,0,0,0,30.92069959640503,2000,249.19082832336426,16000.0,2.207430780172348,0.7419557210505009,1.103986287534237,0.5134167785942555,0.8613685164031135,2.2069073280096054,0.7417046625614166,1.1038647127747536,0.5133032342791557,1,1,1,1,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[3.90625e-05],8,False,9,6411b_00029,2023-09-18_21-21-19,1695043279,31.830665349960327,288.07411456108093,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,288.07411456108093,9,1178,0.8893489837646484,150,9.083143711090088,1500.0,0.0001130761535023339,1.8405225867657765e-05,0.008214461958656709,0.002974974615499377,0.004290131217999954,0.0001130761535023339,1.8405225867657765e-05,0.008214461958656709,0.002974974615499377,0,0,0,0,30.940732955932617,2000,280.1315612792969,18000.0,2.207315389275551,0.7419831712245941,1.1040306529402732,0.5134429324567318,0.8613844503034601,2.2069073280096054,0.7417046625614166,1.1038647127747536,0.5133032342791557,2,2,2,2,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
[3.90625e-05],9,False,10,6411b_00029,2023-09-18_21-21-51,1695043311,32.08966279029846,320.1637773513794,319297,sepc622.se.cuhk.edu.hk,137.189.58.22,320.1637773513794,10,1178,0.8792471885681152,150,9.962390899658203,1650.0,0.00011844113760162145,1.8879735168108407e-05,0.00843664754802982,0.0030719359886522096,0.004345081721683541,0.0001130761535023339,1.8405225867657765e-05,0.008214461958656709,0.002974974615499377,1,1,1,1,31.209986925125122,2000,311.341548204422,20000.0,2.2073201241493225,0.742010773062706,1.1039513347148895,0.5134093385636807,0.8614004719424677,2.2069073280096054,0.7417046625614166,1.1038647127747536,0.5133032342791557,3,3,3,3,1.1452140808105469,150,1.1452140808105469,150.0,3.8183724037806193,0.36868419508139294,1.8357288519541421,0.5974448716640473,0.6071937047445345
