lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,6411b_00043,2023-09-18_21-55-01,1695045301,28.292757987976074,28.292757987976074,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,28.292757987976074,1,908,0.8368532657623291,150,1.9717583656311035,300.0,0.003927243536648651,0.0006142103551731755,0.04718282200396061,0.017057014591991902,0.02478326764519109,0.003927243536648651,0.0006142103551731755,0.04718282200396061,0.017057014591991902,0,0,0,0,27.455315589904785,2000,27.455315589904785,2000.0,2.234724849820137,0.7423674955070019,1.1119283944368363,0.5164962379336357,0.8616075066449931,2.234724849820137,0.7423674955070019,1.1119283944368363,0.5164962379336357,0,0,0,0,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[0.01],1,False,2,6411b_00043,2023-09-18_21-55-29,1695045329,28.185126304626465,56.47788429260254,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,56.47788429260254,2,908,0.8363499641418457,150,2.808108329772949,450.0,0.003966320343315601,0.0006212147003194938,0.04735199590524038,0.017362150189777215,0.024924179030000042,0.003927243536648651,0.0006142103551731755,0.04718282200396061,0.017057014591991902,1,1,1,1,27.348236560821533,2000,54.80355215072632,4000.0,2.2121777948141097,0.7397148663103581,1.1061601192355155,0.5144192705750465,0.8600667801457966,2.2121777948141097,0.7397148663103581,1.1061601192355155,0.5144192705750465,0,0,0,0,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[0.0025],2,False,3,6411b_00043,2023-09-18_21-55-58,1695045358,28.701355934143066,85.1792402267456,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,85.1792402267456,3,908,0.8810245990753174,150,3.6891329288482666,600.0,0.0036869634967297317,0.0005942864626801263,0.04735101245343685,0.01760706456998984,0.024377991358603076,0.0036869634967297317,0.0005942864626801263,0.04718282200396061,0.017057014591991902,0,0,2,2,27.8198721408844,2000,82.62342429161072,6000.0,2.2108234473466872,0.739489481896162,1.1057625832557678,0.5142563320994377,0.8599357428878986,2.2108234473466872,0.739489481896162,1.1057625832557678,0.5142563320994377,0,0,0,0,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[0.0025],3,False,4,6411b_00043,2023-09-18_21-56-26,1695045386,28.598122119903564,113.77736234664917,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,113.77736234664917,4,908,0.8304405212402344,150,4.519573450088501,750.0,0.0031436616756642857,0.0004771547968266532,0.041491233383615815,0.014862384088337422,0.021843873210276907,0.0031436616756642857,0.0004771547968266532,0.041491233383615815,0.014862384088337422,0,0,0,0,27.767249584197998,2000,110.39067387580872,8000.0,2.210794278502464,0.7394435388445855,1.1055532128810883,0.5140389136373996,0.8599090294005439,2.210794278502464,0.7394435388445855,1.1055532128810883,0.5140389136373996,0,0,0,0,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[0.000625],4,False,5,6411b_00043,2023-09-18_21-56-55,1695045415,28.28372049331665,142.06108283996582,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,142.06108283996582,5,908,0.8328149318695068,150,5.352388381958008,900.0,0.002829980344201128,0.0004421447463876878,0.039718465159336726,0.014447049808998903,0.021027238201620484,0.002829980344201128,0.0004421447463876878,0.039718465159336726,0.014447049808998903,0,0,0,0,27.4505558013916,2000,137.84122967720032,10000.0,2.211230709671974,0.7398920630216599,1.1052127746343612,0.5136807252466679,0.8601697873220495,2.210794278502464,0.7394435388445855,1.1052127746343612,0.5136807252466679,1,1,0,0,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[0.000625],5,False,6,6411b_00043,2023-09-18_21-57-23,1695045443,28.346976041793823,170.40805888175964,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,170.40805888175964,6,908,0.8345904350280762,150,6.186978816986084,1050.0,0.003436842365190387,0.0005267301166895777,0.045421598255634306,0.016560477030773957,0.022950601662910228,0.002829980344201128,0.0004421447463876878,0.039718465159336726,0.014447049808998903,1,1,1,1,27.511818885803223,2000,165.35304856300354,12000.0,2.211133116006851,0.7397836061120033,1.10520812189579,0.5136600938141346,0.8601067411153126,2.210794278502464,0.7394435388445855,1.10520812189579,0.5136600938141346,2,2,0,0,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[0.00015625],6,False,7,6411b_00043,2023-09-18_21-57-52,1695045472,28.600057363510132,199.00811624526978,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,199.00811624526978,7,908,0.8385443687438965,150,7.0255231857299805,1200.0,0.0028044085049380857,0.0004553138196934015,0.03779952538510164,0.013938476592302322,0.021338083786821192,0.0028044085049380857,0.0004421447463876878,0.03779952538510164,0.013938476592302322,0,2,0,0,27.761183261871338,2000,193.11423182487488,14000.0,2.209991306066513,0.7394660527706146,1.1049206022024154,0.5135139252245426,0.8599221201775278,2.209991306066513,0.7394435388445855,1.1049206022024154,0.5135139252245426,0,3,0,0,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[0.00015625],7,False,8,6411b_00043,2023-09-18_21-58-20,1695045500,28.445273637771606,227.45338988304138,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,227.45338988304138,8,908,0.8366694450378418,150,7.862192630767822,1350.0,0.00299445038040479,0.0004642185978203391,0.04026327647268772,0.014704213421791791,0.021545732705580915,0.0028044085049380857,0.0004421447463876878,0.03779952538510164,0.013938476592302322,1,3,1,1,27.60823631286621,2000,220.7224681377411,16000.0,2.2106138747930526,0.7396454887092113,1.105090025305748,0.5136234674751758,0.8600264465173215,2.209991306066513,0.7394435388445855,1.1049206022024154,0.5135139252245426,1,4,1,1,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[3.90625e-05],8,False,9,6411b_00043,2023-09-18_21-58-48,1695045528,28.42366886138916,255.87705874443054,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,255.87705874443054,9,908,0.8415191173553467,150,8.703711748123169,1500.0,0.002859482451652487,0.0004523754835827276,0.03833982949455579,0.01407996917143464,0.021269120423344442,0.0028044085049380857,0.0004421447463876878,0.03779952538510164,0.013938476592302322,2,4,2,2,27.581755876541138,2000,248.30422401428223,18000.0,2.210400925278664,0.7395718165636063,1.1050791329741478,0.513600202947855,0.8599836141250636,2.209991306066513,0.7394435388445855,1.1049206022024154,0.5135139252245426,2,5,2,2,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
[3.90625e-05],9,False,10,6411b_00043,2023-09-18_21-59-17,1695045557,28.382741689682007,284.25980043411255,371616,sepc622.se.cuhk.edu.hk,137.189.58.22,284.25980043411255,10,908,0.838796854019165,150,9.542508602142334,1650.0,0.0029938192075739303,0.0004685170797165483,0.04044017049173514,0.014813044543067614,0.021645255362701274,0.0028044085049380857,0.0004421447463876878,0.03779952538510164,0.013938476592302322,3,5,3,3,27.543477058410645,2000,275.84770107269287,20000.0,2.210249119758606,0.7396494380831719,1.1049637113809585,0.5136061940193176,0.8600287425912996,2.209991306066513,0.7394435388445855,1.1049206022024154,0.5135139252245426,3,6,3,3,1.1349050998687744,150,1.1349050998687744,150.0,3.127454285621643,0.28626686573028565,1.605020259221395,0.5111875971158345,0.5350391254200815
