lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,bc897_00000,2023-12-03_23-08-40,1701616120,38.62663507461548,38.62663507461548,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,38.62663507461548,1,10858,0.007731199264526367,1,0.016130685806274414,2.0,0.002764649223536253,0.000339116231771186,0.044709037989377975,0.015369744971394539,0.010143372230231762,0.018415108790642155,0.002764649223536253,0.000339116231771186,0.044709037989377975,0.015369744971394539,0.010143372230231762,0,0,0,0,0,0.00816488265991211,1,0.3206369876861572,2.0,0.0027436744421720505,0.00033746776171028614,0.04454556480050087,0.01533213909715414,0.010118997655808926,0.018370295634809096,0.0027436744421720505,0.00033746776171028614,0.04454556480050087,0.01533213909715414,0.010118997655808926,0,0,0,0,0,38.60978960990906,2000,38.60978960990906,2000.0,2.669869874596596,1.0356761100590228,1.2846974249482155,0.666772404819727,0.7686519929766655,1.0176817331852934,2.669869874596596,1.0356761100590228,1.2846974249482155,0.666772404819727,0.7686519929766655,0,0,0,0,0,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[0.01],1,False,2,bc897_00000,2023-12-03_23-09-17,1701616157,36.947243213653564,75.57387828826904,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,75.57387828826904,2,10858,0.007493257522583008,1,0.023623943328857422,3.0,0.0010243847500532866,0.0001403407077305019,0.025495674461126328,0.00907911453396082,0.0076099177822470665,0.011846548346691617,0.0010243847500532866,0.0001403407077305019,0.025495674461126328,0.00907911453396082,0.0076099177822470665,0,0,0,0,0,0.007689714431762695,1,0.3283267021179199,3.0,0.0010271487990394235,0.00014072399062570184,0.025524722412228584,0.009083570912480354,0.007629760075360537,0.01186271430262492,0.0010271487990394235,0.00014072399062570184,0.025524722412228584,0.009083570912480354,0.007629760075360537,0,0,0,0,0,36.93143391609192,2000,75.54122352600098,4000.0,2.6660697482824327,1.0358569111227989,1.2837197275161742,0.6667317581772805,0.7688885270357132,1.0177705591747086,2.6660697482824327,1.0356761100590228,1.2837197275161742,0.6667317581772805,0.7686519929766655,0,1,0,0,1,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[0.0025],2,False,3,bc897_00000,2023-12-03_23-09-54,1701616194,36.54933142662048,112.12320971488953,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,112.12320971488953,3,10858,0.007800579071044922,1,0.031424522399902344,4.0,0.0005003780242986977,7.628015009686351e-05,0.017790600657463074,0.006545059382915497,0.005782960914075375,0.008733850817186169,0.0005003780242986977,7.628015009686351e-05,0.017790600657463074,0.006545059382915497,0.005782960914075375,0,0,0,0,0,0.007956266403198242,1,0.33628296852111816,4.0,0.0005002226680517197,7.620870019309223e-05,0.017814211547374725,0.006550082005560398,0.005771083757281303,0.008729759457917052,0.0005002226680517197,7.620870019309223e-05,0.017814211547374725,0.006550082005560398,0.005771083757281303,0,0,0,0,0,36.532928466796875,2000,112.07415199279785,6000.0,2.6648196450471877,1.0359416735470295,1.283327353835106,0.6666537270545959,0.7690800517499446,1.0178121995471607,2.6648196450471877,1.0356761100590228,1.283327353835106,0.6666537270545959,0.7686519929766655,0,2,0,0,2,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[0.0025],3,False,4,bc897_00000,2023-12-03_23-10-31,1701616231,37.535133600234985,149.6583433151245,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,149.6583433151245,4,10858,0.007723093032836914,1,0.03914761543273926,5.0,0.00028978195041418076,3.966952135669999e-05,0.013045698404312134,0.00458920281380415,0.004313801880925894,0.0062983745011471,0.00028978195041418076,3.966952135669999e-05,0.013045698404312134,0.00458920281380415,0.004313801880925894,0,0,0,0,0,0.007871389389038086,1,0.34415435791015625,5.0,0.00029600298148579895,4.080743747181259e-05,0.013147133402526379,0.004623972810804844,0.004407547879964113,0.006388069933228079,0.00029600298148579895,4.080743747181259e-05,0.013147133402526379,0.004623972810804844,0.004407547879964113,0,0,0,0,0,37.51891088485718,2000,149.59306287765503,8000.0,2.664826845407486,1.0358702276945113,1.2833757969737052,0.6666515969336033,0.7690284473598004,1.0177771011840024,2.6648196450471877,1.0356761100590228,1.283327353835106,0.6666515969336033,0.7686519929766655,1,3,1,0,3,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[0.000625],4,False,5,bc897_00000,2023-12-03_23-11-08,1701616268,36.34060311317444,185.99894642829895,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,185.99894642829895,5,10858,0.007710456848144531,1,0.04685807228088379,6.0,0.00023361464263871312,3.505153290461749e-05,0.012042934074997902,0.004408732056617737,0.00395154906436801,0.005920433506477164,0.00023361464263871312,3.505153290461749e-05,0.012042934074997902,0.004408732056617737,0.00395154906436801,0,0,0,0,0,0.007924795150756836,1,0.3520791530609131,6.0,0.00023194277309812605,3.493819895084016e-05,0.011982675641775131,0.004386893939226866,0.003961501643061638,0.0059108543334140924,0.00023194277309812605,3.493819895084016e-05,0.011982675641775131,0.004386893939226866,0.003961501643061638,0,0,0,0,0,36.32436180114746,2000,185.9174246788025,10000.0,2.6642918729782106,1.0359834495782851,1.2831997373104096,0.666621633708477,0.769145479619503,1.0178327218056438,2.6642918729782106,1.0356761100590228,1.2831997373104096,0.666621633708477,0.7686519929766655,0,4,0,0,4,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[0.000625],5,False,6,bc897_00000,2023-12-03_23-11-46,1701616306,37.971227407455444,223.9701738357544,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,223.9701738357544,6,10858,0.007760763168334961,1,0.05461883544921875,7.0,0.00025897950399667025,3.601970092859119e-05,0.012698661535978317,0.004571424797177315,0.0038886889815330505,0.00600164151950041,0.00023361464263871312,3.505153290461749e-05,0.012042934074997902,0.004408732056617737,0.0038886889815330505,1,1,1,1,0,0.008028745651245117,1,0.3601078987121582,7.0,0.00025676205405034125,3.56436321453657e-05,0.012648303061723709,0.004546572454273701,0.0038694224786013365,0.005970228818509865,0.00023194277309812605,3.493819895084016e-05,0.011982675641775131,0.004386893939226866,0.0038694224786013365,1,1,1,1,0,37.95482516288757,2000,223.87224984169006,12000.0,2.664765874147415,1.0360378143191338,1.2833293135762214,0.6666909324228764,0.7691205780208111,1.0178594275827748,2.6642918729782106,1.0356761100590228,1.2831997373104096,0.666621633708477,0.7686519929766655,1,5,1,1,5,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[0.00015625],6,False,7,bc897_00000,2023-12-03_23-12-23,1701616343,37.62653303146362,261.596706867218,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,261.596706867218,7,10858,0.007480621337890625,1,0.062099456787109375,8.0,0.00010779852163977921,1.337399135081796e-05,0.008081238716840744,0.002810418838635087,0.0023399966303259134,0.0036570468073047627,0.00010779852163977921,1.337399135081796e-05,0.008081238716840744,0.002810418838635087,0.0023399966303259134,0,0,0,0,0,0.007672309875488281,1,0.3677802085876465,8.0,0.00010746197949629277,1.3323268831300084e-05,0.0080739576369524,0.002812575316056609,0.0023265283089131117,0.0036501053178367446,0.00010746197949629277,1.3323268831300084e-05,0.0080739576369524,0.002812575316056609,0.0023265283089131117,0,0,0,0,0,37.61085391044617,2000,261.48310375213623,14000.0,2.663770532846451,1.0357580489516258,1.2830738227963447,0.6665493170022965,0.7690660926103592,1.0177219900108407,2.663770532846451,1.0356761100590228,1.2830738227963447,0.6665493170022965,0.7686519929766655,0,6,0,0,6,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[0.00015625],7,False,8,bc897_00000,2023-12-03_23-13-02,1701616382,38.50575828552246,300.1024651527405,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,300.1024651527405,8,10858,0.00808572769165039,1,0.07018518447875977,9.0,7.990315498318523e-05,9.796138328965753e-06,0.006915539037436247,0.0023882773239165545,0.0020229448564350605,0.0031298783249458363,7.990315498318523e-05,9.796138328965753e-06,0.006915539037436247,0.0023882773239165545,0.0020229448564350605,0,0,0,0,0,0.008260488510131836,1,0.3760406970977783,9.0,7.994852057890967e-05,9.98864652501652e-06,0.006897483486682177,0.0023862787056714296,0.0020722828339785337,0.0031604820083361526,7.994852057890967e-05,9.98864652501652e-06,0.006897483486682177,0.0023862787056714296,0.0020722828339785337,0,0,0,0,0,38.4887261390686,2000,299.97182989120483,16000.0,2.6645234080553055,1.0359889985322952,1.2832434420585632,0.6666340893507003,0.7691425888836384,1.0178354476693643,2.663770532846451,1.0356761100590228,1.2830738227963447,0.6665493170022965,0.7686519929766655,1,7,1,1,7,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[3.90625e-05],8,False,9,bc897_00000,2023-12-03_23-13-39,1701616419,37.56205677986145,337.66452193260193,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,337.66452193260193,9,10858,0.007537841796875,1,0.07772302627563477,10.0,2.7571479222388007e-05,4.4393727876013145e-06,0.004024935886263847,0.001476832083426416,0.001502783503383398,0.00210698191439825,2.7571479222388007e-05,4.4393727876013145e-06,0.004024935886263847,0.001476832083426416,0.001502783503383398,0,0,0,0,0,0.0076313018798828125,1,0.38367199897766113,10.0,2.7073599994764663e-05,4.3701888898795005e-06,0.00398932583630085,0.0014599545393139124,0.0014962420100346208,0.0020904996746901206,2.7073599994764663e-05,4.3701888898795005e-06,0.00398932583630085,0.0014599545393139124,0.0014962420100346208,0,0,0,0,0,37.54632544517517,2000,337.51815533638,18000.0,2.6644347920417784,1.0360875079631806,1.2832599605321884,0.6666760146021843,0.7691721186339855,1.0178838381481359,2.663770532846451,1.0356761100590228,1.2830738227963447,0.6665493170022965,0.7686519929766655,2,8,2,2,8,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
[3.90625e-05],9,False,10,bc897_00000,2023-12-03_23-14-16,1701616456,36.21816539764404,373.882687330246,81070,sepc622.se.cuhk.edu.hk,137.189.58.22,373.882687330246,10,10858,0.0075168609619140625,1,0.08523988723754883,11.0,3.5982371628051624e-05,4.79910477224621e-06,0.004694393835961819,0.00163731025531888,0.0014554507797583938,0.0021906859136458174,2.7571479222388007e-05,4.4393727876013145e-06,0.004024935886263847,0.001476832083426416,0.0014554507797583938,1,1,1,1,0,0.00789952278137207,1,0.3915715217590332,11.0,3.570097760530189e-05,4.907249604002573e-06,0.004659309983253479,0.001627915189601481,0.0015023847809061408,0.0022152312755111085,2.7073599994764663e-05,4.3701888898795005e-06,0.00398932583630085,0.0014599545393139124,0.0014962420100346208,1,1,1,1,1,36.20218873023987,2000,373.7203440666199,20000.0,2.664067753791809,1.0358978361487388,1.2831064954400062,0.6665845264494419,0.7691279188394546,1.0177906642078904,2.663770532846451,1.0356761100590228,1.2830738227963447,0.6665493170022965,0.7686519929766655,3,9,3,3,9,0.3124721050262451,1,0.3124721050262451,1.0,4.12204647064209,0.4029666781425476,1.919627070426941,0.6278371214866638,0.09374114871025085,0.6347965643751923,0.008399486541748047,1,0.008399486541748047,1.0,4.11075496673584,0.40259137749671936,1.9170070886611938,0.6275702714920044,0.09352564066648483,0.6345008884916705
