lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,0228b_00001,2023-10-25_21-37-46,1698241066,282.55207204818726,282.55207204818726,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,282.55207204818726,1,26319,0.1270616054534912,1,0.5014731884002686,2.0,0.008168661966919899,0.0007287624175660312,0.053479380905628204,0.020113276317715645,0.01800607331097126,0.02699559996677294,0.008168661966919899,0.0007287624175660312,0.053479380905628204,0.020113276317715645,0.01800607331097126,0,0,0,0,0,282.42417335510254,2000,282.42417335510254,2000.0,4.867000685930252,0.9146008287668228,1.206053328514099,0.5722254920005798,0.76496338352561,0.9563476505783987,4.867000685930252,0.9146008287668228,1.206053328514099,0.5722254920005798,0.76496338352561,0,0,0,0,0,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[0.01],1,False,2,0228b_00001,2023-10-25_21-42-28,1698241348,282.5427029132843,565.0947749614716,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,565.0947749614716,2,26319,0.130845308303833,1,0.6323184967041016,3.0,0.007372040301561356,0.0009688460268080235,0.05831475183367729,0.02340596728026867,0.020518451929092407,0.031126291568512036,0.007372040301561356,0.0007287624175660312,0.053479380905628204,0.020113276317715645,0.01800607331097126,0,1,1,1,1,282.41009306907654,2000,564.8342664241791,4000.0,4.852037796974182,0.9122205153405666,1.203455265700817,0.5711094690859317,0.7652602614462376,0.9551023585671677,4.852037796974182,0.9122205153405666,1.203455265700817,0.5711094690859317,0.76496338352561,0,0,0,0,1,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[0.0025],2,False,3,0228b_00001,2023-10-25_21-47-11,1698241631,282.69725918769836,847.7920341491699,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,847.7920341491699,3,26319,0.12704873085021973,1,0.7593672275543213,4.0,0.008494982495903969,0.0006723948172293603,0.05075007677078247,0.018698232248425484,0.017965828999876976,0.025930576878067334,0.007372040301561356,0.0006723948172293603,0.05075007677078247,0.018698232248425484,0.017965828999876976,1,0,0,0,0,282.5695459842682,2000,847.4038124084473,6000.0,4.84491764497757,0.9119561803042888,1.2024305618405342,0.5709884397387505,0.7653893575370312,0.9549639680659626,4.84491764497757,0.9119561803042888,1.2024305618405342,0.5709884397387505,0.76496338352561,0,0,0,0,2,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[0.0025],3,False,4,0228b_00001,2023-10-25_21-51-54,1698241914,282.6514024734497,1130.4434366226196,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,1130.4434366226196,4,26319,0.12475705146789551,1,0.8841242790222168,5.0,0.015175532549619675,0.0004653447540476918,0.05582384020090103,0.015381669625639915,0.015124453231692314,0.021571850964803456,0.007372040301561356,0.0004653447540476918,0.05075007677078247,0.015381669625639915,0.015124453231692314,2,0,1,0,0,282.52388858795166,2000,1129.927700996399,8000.0,4.845683082103729,0.9118694575130939,1.202569807112217,0.571026852041483,0.7652762332260609,0.954918560670539,4.84491764497757,0.9118694575130939,1.2024305618405342,0.5709884397387505,0.76496338352561,1,0,1,1,3,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[0.000625],4,False,5,0228b_00001,2023-10-25_21-56-36,1698242196,282.62795305252075,1413.0713896751404,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,1413.0713896751404,5,26319,0.12811946868896484,1,1.0122437477111816,6.0,0.007822146639227867,0.0003237946948502213,0.042232364416122437,0.012832637876272202,0.012614204548299313,0.0179942961754613,0.007372040301561356,0.0003237946948502213,0.042232364416122437,0.012832637876272202,0.012614204548299313,3,0,0,0,0,282.499192237854,2000,1412.426893234253,10000.0,4.846437235593796,0.9124933420717716,1.2026440142989159,0.5711183072328567,0.7656783047020436,0.9552451738018736,4.84491764497757,0.9118694575130939,1.2024305618405342,0.5709884397387505,0.76496338352561,2,1,2,2,4,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[0.000625],5,False,6,0228b_00001,2023-10-25_22-01-19,1698242479,282.304452419281,1695.3758420944214,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,1695.3758420944214,6,26319,0.12682175636291504,1,1.1390655040740967,7.0,0.013681959360837936,0.0004085148684680462,0.05077755078673363,0.014174881391227245,0.014407903887331486,0.02021175075217499,0.007372040301561356,0.0003237946948502213,0.042232364416122437,0.012832637876272202,0.012614204548299313,4,1,1,1,1,282.17694449424744,2000,1694.6038377285004,12000.0,4.845362095355988,0.9124260332882405,1.2026238841414452,0.571099526822567,0.7656454460620881,0.955209941996125,4.84491764497757,0.9118694575130939,1.2024305618405342,0.5709884397387505,0.76496338352561,3,2,3,3,5,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[0.00015625],6,False,7,0228b_00001,2023-10-25_22-06-01,1698242761,282.3517413139343,1977.7275834083557,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,1977.7275834083557,7,26319,0.12760400772094727,1,1.266669511795044,8.0,0.01737249083817005,0.00044955092016607523,0.056300390511751175,0.015202519483864307,0.014779527671635151,0.021202615880265226,0.007372040301561356,0.0003237946948502213,0.042232364416122437,0.012832637876272202,0.012614204548299313,5,2,2,2,2,282.22346901893616,2000,1976.8273067474365,14000.0,4.844237671613693,0.9119497780203819,1.2021947825551034,0.5708616652190686,0.7655241249799728,0.9549606159525019,4.844237671613693,0.9118694575130939,1.2021947825551034,0.5708616652190686,0.76496338352561,0,3,0,0,6,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[0.00015625],7,False,8,0228b_00001,2023-10-25_22-10-44,1698243044,282.3793489933014,2260.106932401657,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,2260.106932401657,8,26319,0.12763476371765137,1,1.3943042755126953,9.0,0.016207316890358925,0.0004536145424935967,0.05576267093420029,0.014489405788481236,0.015609989874064922,0.021298228623376093,0.007372040301561356,0.0003237946948502213,0.042232364416122437,0.012832637876272202,0.012614204548299313,6,3,3,3,3,282.2491490840912,2000,2259.0764558315277,16000.0,4.843517611026764,0.9121674960851669,1.2022252448797226,0.5709035191535949,0.7656361998617649,0.9550746023663109,4.843517611026764,0.9118694575130939,1.2021947825551034,0.5708616652190686,0.76496338352561,0,4,1,1,7,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[3.90625e-05],8,False,9,0228b_00001,2023-10-25_22-15-26,1698243326,282.538871049881,2542.645803451538,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,2542.645803451538,9,26319,0.12225508689880371,1,1.516559362411499,10.0,0.01178662944585085,0.00033231658744625747,0.04712324216961861,0.012755531817674637,0.013023557141423225,0.018229552584917093,0.007372040301561356,0.0003237946948502213,0.042232364416122437,0.012755531817674637,0.012614204548299313,7,4,4,0,4,282.41567635536194,2000,2541.4921321868896,18000.0,4.846273588657379,0.9126059981584549,1.2024919453263283,0.5710618606209755,0.7658077498972415,0.9553041390878901,4.843517611026764,0.9118694575130939,1.2021947825551034,0.5708616652190686,0.76496338352561,1,5,2,2,8,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
[3.90625e-05],9,False,10,0228b_00001,2023-10-25_22-20-09,1698243609,282.59604001045227,2825.2418434619904,124636,sepc622.se.cuhk.edu.hk,137.189.58.22,2825.2418434619904,10,26319,0.12755489349365234,1,1.6441142559051514,11.0,0.010431956499814987,0.00034438600414432585,0.04753882810473442,0.013519855216145515,0.012712182477116585,0.018557640047816584,0.007372040301561356,0.0003237946948502213,0.042232364416122437,0.012755531817674637,0.012614204548299313,8,5,5,1,5,282.4676971435547,2000,2823.9598293304443,20000.0,4.847224843263626,0.9122344692647457,1.2022889013290405,0.5708738365471363,0.7657062550485134,0.9551096634757423,4.843517611026764,0.9118694575130939,1.2021947825551034,0.5708616652190686,0.76496338352561,2,6,3,3,9,0.37441158294677734,1,0.37441158294677734,1.0,6.165266990661621,0.2541898488998413,1.5134004354476929,0.43081048130989075,0.2619010806083679,0.5041724396472316
