lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,b709f_00000,2023-10-14_21-53-59,1697291639,160.16075325012207,160.16075325012207,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,160.16075325012207,1,10932,8.631661176681519,150,18.624913454055786,300.0,0.0626544572164615,0.014082943797111511,0.20738515476385752,0.09708587631583214,0.06824391012390454,0.1186715795677782,0.0626544572164615,0.014082943797111511,0.20738515476385752,0.09708587631583214,0.06824391012390454,0,0,0,0,0,151.52848267555237,2000,151.52848267555237,2000.0,0.6660925018787384,0.1478638518974185,0.44602181285619735,0.199500869885087,0.3283573357462883,0.38453069044930405,0.6660925018787384,0.1478638518974185,0.44602181285619735,0.199500869885087,0.3283573357462883,0,0,0,0,0,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.01],1,False,2,b709f_00000,2023-10-14_21-56-30,1697291790,150.61868858337402,310.7794418334961,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,310.7794418334961,2,10932,8.548515558242798,150,27.173429012298584,450.0,0.0742090026040872,0.015019078155358632,0.2304219455520312,0.10288215388854345,0.06659038364887238,0.12255234863256857,0.0626544572164615,0.014082943797111511,0.20738515476385752,0.09708587631583214,0.06659038364887238,1,1,1,1,0,142.0696258544922,2000,293.59810853004456,4000.0,0.660965962588787,0.14696904180198908,0.4409201121926308,0.19711405749619007,0.32875039364397524,0.383365415500654,0.660965962588787,0.14696904180198908,0.4409201121926308,0.19711405749619007,0.3283573357462883,0,0,0,0,1,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.0025],2,False,3,b709f_00000,2023-10-14_21-59-02,1697291942,152.33857464790344,463.11801648139954,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,463.11801648139954,3,10932,8.799538135528564,150,35.97296714782715,600.0,0.05895207310716311,0.01369026607523362,0.1994817923506101,0.09461160868406296,0.06883940994739532,0.11700541045282316,0.05895207310716311,0.01369026607523362,0.1994817923506101,0.09461160868406296,0.06659038364887238,0,0,0,0,1,143.5382649898529,2000,437.13637351989746,6000.0,0.6586284315288067,0.1467002501487732,0.4379951581656933,0.19604963475465775,0.32901431362330913,0.38301468659670634,0.6586284315288067,0.1467002501487732,0.4379951581656933,0.19604963475465775,0.3283573357462883,0,0,0,0,2,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.0025],3,False,4,b709f_00000,2023-10-14_22-01-33,1697292093,150.3509120941162,613.4689285755157,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,613.4689285755157,4,10932,8.650069236755371,150,44.62303638458252,750.0,0.06217701201637586,0.013615080794940393,0.2063595950603485,0.0946598822871844,0.06822417522470156,0.11668367835708811,0.05895207310716311,0.013615080794940393,0.1994817923506101,0.09461160868406296,0.06659038364887238,1,0,1,1,2,141.7002191543579,2000,578.8365926742554,8000.0,0.658723258793354,0.14663854669034482,0.4381571251899004,0.1960308238491416,0.32893072631955145,0.38293412839592245,0.6586284315288067,0.14663854669034482,0.4379951581656933,0.1960308238491416,0.3283573357462883,1,0,1,0,3,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.000625],4,False,5,b709f_00000,2023-10-14_22-04-05,1697292245,152.16863775253296,765.6375663280487,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,765.6375663280487,5,10932,9.092812538146973,150,53.71584892272949,900.0,0.05867920396228631,0.013319118128468593,0.1994934806227684,0.09317545612653097,0.06809857740998268,0.11540848378030358,0.05867920396228631,0.013319118128468593,0.1994817923506101,0.09317545612653097,0.06659038364887238,0,0,2,0,3,143.075190782547,2000,721.9117834568024,10000.0,0.6583396847844124,0.14659501565247773,0.4370656911432743,0.19561065763235091,0.32912387941777704,0.3828772853702316,0.6583396847844124,0.14659501565247773,0.4370656911432743,0.19561065763235091,0.3283573357462883,0,0,0,0,4,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.000625],5,False,6,b709f_00000,2023-10-14_22-06-40,1697292400,154.68987774848938,920.3274440765381,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,920.3274440765381,6,10932,9.060426950454712,150,62.776275873184204,1050.0,0.06271959364414215,0.013828065892060598,0.20747627943754196,0.09599462568759919,0.06791935404141744,0.11759279693952601,0.05867920396228631,0.013319118128468593,0.1994817923506101,0.09317545612653097,0.06659038364887238,1,1,3,1,4,145.62888598442078,2000,867.5406694412231,12000.0,0.6587907575666905,0.14664789751172067,0.43711000138521194,0.19558258102834225,0.3292204628586769,0.38294633763978037,0.6583396847844124,0.14659501565247773,0.4370656911432743,0.19558258102834225,0.3283573357462883,1,1,1,0,5,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.00015625],6,False,7,b709f_00000,2023-10-14_22-09-08,1697292548,148.49039936065674,1068.8178434371948,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,1068.8178434371948,7,10932,9.142632007598877,150,71.91890788078308,1200.0,0.06309319453934828,0.013774793911725283,0.20595680097738903,0.09499286045630773,0.06892817283670108,0.11736606797420318,0.05867920396228631,0.013319118128468593,0.1994817923506101,0.09317545612653097,0.06659038364887238,2,2,4,2,5,139.34713578224182,2000,1006.887805223465,14000.0,0.6583974878191948,0.14662546142190694,0.436655034288764,0.19538781351596118,0.3293057526051998,0.38291704248036146,0.6583396847844124,0.14659501565247773,0.436655034288764,0.19538781351596118,0.3283573357462883,2,2,0,0,6,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[0.00015625],7,False,8,b709f_00000,2023-10-14_22-11-44,1697292704,155.31839561462402,1224.1362390518188,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,1224.1362390518188,8,10932,9.1051025390625,150,81.02401041984558,1350.0,0.06280765975515047,0.01375963524604837,0.2061455598473549,0.09507633810242017,0.06870291317502658,0.11730147162780341,0.05867920396228631,0.013319118128468593,0.1994817923506101,0.09317545612653097,0.06659038364887238,3,3,5,3,6,146.21266436576843,2000,1153.1004695892334,16000.0,0.6585614218711853,0.14665536519885064,0.4366290015131235,0.19538856030255555,0.3293498202562332,0.38295608782058893,0.6583396847844124,0.14659501565247773,0.4366290015131235,0.19538781351596118,0.3283573357462883,3,3,0,1,7,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[3.90625e-05],8,False,9,b709f_00000,2023-10-14_22-14-19,1697292859,155.02987360954285,1379.1661126613617,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,1379.1661126613617,9,10932,9.098465919494629,150,90.12247633934021,1500.0,0.0635725877682368,0.013679847493767739,0.20619032204151153,0.09480226104458173,0.0685006787876288,0.11696088018550364,0.05867920396228631,0.013319118128468593,0.1994817923506101,0.09317545612653097,0.06659038364887238,4,4,6,4,7,145.93080830574036,2000,1299.0312778949738,18000.0,0.6579359708726407,0.14653548692911864,0.43643037739396096,0.19529976061731577,0.32922298336029054,0.3827995388308594,0.6579359708726407,0.14653548692911864,0.43643037739396096,0.19529976061731577,0.3283573357462883,0,0,0,0,8,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
[3.90625e-05],9,False,10,b709f_00000,2023-10-14_22-16-55,1697293015,156.1200888156891,1535.2862014770508,396011,sepc622.se.cuhk.edu.hk,137.189.58.22,1535.2862014770508,10,10932,9.246992111206055,150,99.36946845054626,1650.0,0.06324198221166928,0.013535699316610892,0.20385873039563496,0.09331144645810127,0.06948835626244546,0.11634302435733263,0.05867920396228631,0.013319118128468593,0.1994817923506101,0.09317545612653097,0.06659038364887238,5,5,7,5,8,146.87244701385498,2000,1445.9037249088287,20000.0,0.6582949565649032,0.14658203615248203,0.4364616646468639,0.1953155452311039,0.3292838037610054,0.38286033504723627,0.6579359708726407,0.14653548692911864,0.43643037739396096,0.19529976061731577,0.3283573357462883,1,1,1,1,9,9.993252277374268,150,9.993252277374268,150.0,3.7919491958618163,0.2738011113802592,1.4327299165725709,0.47182274421056114,0.22623968770106634,0.5232600800560455
