lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,44f44_00002,2023-11-08_11-54-42,1699415682,3116.0812244415283,3116.0812244415283,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,3116.0812244415283,1,25972,1.4403679370880127,1,2.91599702835083,2.0,0.005134399980306625,0.0005340690840967,0.03794239088892937,0.015664344653487206,0.01699116639792919,0.02310993474886288,0.005134399980306625,0.0005340690840967,0.03794239088892937,0.015664344653487206,0.01699116639792919,0,0,0,0,0,2.169450044631958,1,3.9249532222747803,2.0,0.005236005410552025,0.0005342439981177449,0.038333576172590256,0.015694167464971542,0.016968781128525734,0.02311371882925257,0.005236005410552025,0.0005342439981177449,0.038333576172590256,0.015694167464971542,0.016968781128525734,0,0,0,0,0,3112.470402956009,2000,3112.470402956009,2000.0,0.5760420142114162,0.1407211633697152,0.365687071993947,0.18862565156072378,0.32034576760232447,0.37512819591403046,0.5760420142114162,0.1407211633697152,0.365687071993947,0.18862565156072378,0.32034576760232447,0,0,0,0,0,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[0.01],1,False,2,44f44_00002,2023-11-08_12-47-05,1699418825,3143.6570377349854,6259.738262176514,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,6259.738262176514,2,25972,1.7022278308868408,1,4.618224859237671,3.0,0.004536341410130262,0.0006403205334208906,0.042331043630838394,0.01807609759271145,0.017708130180835724,0.0253045555863147,0.004536341410130262,0.0005340690840967,0.03794239088892937,0.015664344653487206,0.01699116639792919,0,1,1,1,1,1.7310845851898193,1,5.6560378074646,3.0,0.004486373625695705,0.0006374618387781084,0.04207925125956535,0.01805596984922886,0.017647845670580864,0.025248006629793734,0.004486373625695705,0.0005342439981177449,0.038333576172590256,0.015694167464971542,0.016968781128525734,0,1,1,1,1,3140.2229464054108,2000,6252.69334936142,4000.0,0.5667226093709469,0.13638205338642,0.35928118851780894,0.1844250017926097,0.31986691008508206,0.36929940886280876,0.5667226093709469,0.13638205338642,0.35928118851780894,0.1844250017926097,0.31986691008508206,0,0,0,0,0,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[0.0025],2,False,3,44f44_00002,2023-11-08_13-41-43,1699422103,3277.3687307834625,9537.106992959976,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,9537.106992959976,3,25972,1.6346104145050049,1,6.252835273742676,4.0,0.0009187829564325511,0.0002045481523964554,0.01904241181910038,0.009199857711791992,0.010950423777103424,0.014302033156039578,0.0009187829564325511,0.0002045481523964554,0.01904241181910038,0.009199857711791992,0.010950423777103424,0,0,0,0,0,1.872342824935913,1,7.528380632400513,4.0,0.0009465610492043197,0.00020547970780171454,0.018975408747792244,0.009228678420186043,0.010968690738081932,0.014334563397666304,0.0009465610492043197,0.00020547970780171454,0.018975408747792244,0.009228678420186043,0.010968690738081932,0,0,0,0,0,3273.861005783081,2000,9526.5543551445,6000.0,0.5653424155414104,0.13624834779649972,0.35679199497401715,0.18339879064261913,0.32030095818638804,0.36911833847222997,0.5653424155414104,0.13624834779649972,0.35679199497401715,0.18339879064261913,0.31986691008508206,0,0,0,0,1,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[0.0025],3,False,4,44f44_00002,2023-11-08_14-38-43,1699425523,3420.4274067878723,12957.534399747849,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,12957.534399747849,4,25972,1.8983099460601807,1,8.151145219802856,5.0,0.0016229711472988129,0.00023639050778001547,0.023293791338801384,0.010260747745633125,0.011450269259512424,0.01537499618796751,0.0009187829564325511,0.0002045481523964554,0.01904241181910038,0.009199857711791992,0.010950423777103424,1,1,1,1,1,1.4472694396972656,1,8.975650072097778,5.0,0.0016305404715240002,0.00023666159540880471,0.023317188024520874,0.010270608589053154,0.011453265324234962,0.015383809521987871,0.0009465610492043197,0.00020547970780171454,0.018975408747792244,0.009228678420186043,0.010968690738081932,1,1,1,1,1,3417.080843925476,2000,12943.635199069977,8000.0,0.5650340774953365,0.13609755302220583,0.3568092008084059,0.1832874244377017,0.32011921471357346,0.36891401846799726,0.5650340774953365,0.13609755302220583,0.35679199497401715,0.1832874244377017,0.31986691008508206,0,0,1,0,2,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[0.000625],4,False,5,44f44_00002,2023-11-08_15-37-17,1699429037,3513.7811048030853,16471.315504550934,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,16471.315504550934,5,25972,2.3634064197540283,1,10.514551639556885,6.0,0.00032261430169455707,9.290789603255689e-05,0.011464020237326622,0.006073000840842724,0.007485120091587305,0.009638874209810858,0.00032261430169455707,9.290789603255689e-05,0.011464020237326622,0.006073000840842724,0.007485120091587305,0,0,0,0,0,1.9309048652648926,1,10.906554937362671,6.0,0.00031921983463689685,9.229900024365634e-05,0.011426991783082485,0.006039781961590052,0.007471311371773481,0.009607236868301746,0.00031921983463689685,9.229900024365634e-05,0.011426991783082485,0.006039781961590052,0.007471311371773481,0,0,0,0,0,3509.4855587482452,2000,16453.120757818222,10000.0,0.5647228220701218,0.13610611380636692,0.35587412284314635,0.18287088683992625,0.32039398507773875,0.368925620967651,0.5647228220701218,0.13609755302220583,0.35587412284314635,0.18287088683992625,0.31986691008508206,0,1,0,0,3,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[0.000625],5,False,6,44f44_00002,2023-11-08_16-32-02,1699432322,3285.3022916316986,19756.617796182632,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,19756.617796182632,6,25972,1.5107924938201904,1,12.025344133377075,7.0,0.0002702202182263136,7.770680531393737e-05,0.009899350814521313,0.005251157563179731,0.007080435752868652,0.008815146358055399,0.0002702202182263136,7.770680531393737e-05,0.009899350814521313,0.005251157563179731,0.007080435752868652,0,0,0,0,0,1.5367810726165771,1,12.443336009979248,7.0,0.00026985007571056485,7.755027036182582e-05,0.009932519868016243,0.0052588582038879395,0.0070636458694934845,0.00880626313267017,0.00026985007571056485,7.755027036182582e-05,0.009932519868016243,0.0052588582038879395,0.0070636458694934845,0,0,0,0,0,3282.253823518753,2000,19735.374581336975,12000.0,0.5645575197935104,0.1360517689883709,0.35579960538446903,0.18281979137659074,0.32033895784616473,0.3688519608032075,0.5645575197935104,0.1360517689883709,0.35579960538446903,0.18281979137659074,0.31986691008508206,0,0,0,0,4,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[0.00015625],6,False,7,44f44_00002,2023-11-08_17-24-50,1699435490,3168.030382871628,22924.64817905426,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,22924.64817905426,7,25972,1.4719271659851074,1,13.497271299362183,8.0,0.0002247103984700516,6.485568155767396e-05,0.009115822613239288,0.0048185670748353004,0.006452708039432764,0.008053302524907031,0.0002247103984700516,6.485568155767396e-05,0.009115822613239288,0.0048185670748353004,0.006452708039432764,0,0,0,0,0,1.46372389793396,1,13.907059907913208,8.0,0.00022702172282151878,6.538147135870531e-05,0.009125437587499619,0.004817405249923468,0.006494184024631977,0.008085880988408456,0.00022702172282151878,6.538147135870531e-05,0.009125437587499619,0.004817405249923468,0.006494184024631977,0,0,0,0,0,3165.093876838684,2000,22900.46845817566,14000.0,0.5642490863204003,0.13607420917600394,0.3554239944666624,0.18266476583480834,0.32046823109686373,0.36888237851109656,0.5642490863204003,0.1360517689883709,0.3554239944666624,0.18266476583480834,0.31986691008508206,0,1,0,0,5,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[0.00015625],7,False,8,44f44_00002,2023-11-08_18-16-07,1699438567,3076.5681800842285,26001.21635913849,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,26001.21635913849,8,25972,1.4640564918518066,1,14.96132779121399,9.0,0.00016134207544382662,5.889576277695596e-05,0.007858152501285076,0.004362062085419893,0.006314151454716921,0.007674357483005073,0.00016134207544382662,5.889576277695596e-05,0.007858152501285076,0.004362062085419893,0.006314151454716921,0,0,0,0,0,1.2765767574310303,1,15.183636665344238,9.0,0.0001612205960555002,5.842002065037377e-05,0.007812697440385818,0.004343403968960047,0.006289291195571423,0.007643299068489586,0.0001612205960555002,5.842002065037377e-05,0.007812697440385818,0.004343403968960047,0.006289291195571423,0,0,0,0,0,3073.8268704414368,2000,25974.295328617096,16000.0,0.5643165168762208,0.13597917127609252,0.35529434333741666,0.18256172930449246,0.3203792416602373,0.36875353730654914,0.5642490863204003,0.13597917127609252,0.35529434333741666,0.18256172930449246,0.31986691008508206,1,0,0,0,6,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[3.90625e-05],8,False,9,44f44_00002,2023-11-08_19-03-42,1699441422,2854.8750445842743,28856.091403722763,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,28856.091403722763,9,25972,1.2613914012908936,1,16.222719192504883,10.0,0.00014819319767411798,4.9079815653385594e-05,0.007564258761703968,0.004032326862215996,0.005728912074118853,0.007005698798363058,0.00014819319767411798,4.9079815653385594e-05,0.007564258761703968,0.004032326862215996,0.005728912074118853,0,0,0,0,0,1.2751221656799316,1,16.45875883102417,10.0,0.00015667757543269545,4.8147558118216693e-05,0.007548708003014326,0.004012510180473328,0.005661058705300093,0.006938844148575229,0.00015667757543269545,4.8147558118216693e-05,0.007548708003014326,0.004012510180473328,0.005661058705300093,0,0,0,0,0,2852.33785200119,2000,28826.633180618286,18000.0,0.5643487741053105,0.13603551261872054,0.3552427713125944,0.1825540231242776,0.32047349014878274,0.36882992370294543,0.5642490863204003,0.13597917127609252,0.3552427713125944,0.1825540231242776,0.31986691008508206,2,1,0,0,7,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
[3.90625e-05],9,False,10,44f44_00002,2023-11-08_19-51-35,1699444295,2872.5607302188873,31728.65213394165,106843,sepc622.se.cuhk.edu.hk,137.189.58.22,31728.65213394165,10,25972,1.2848877906799316,1,17.507606983184814,11.0,0.00035292241955175996,5.826038614031859e-05,0.010431953705847263,0.004754591733217239,0.005971142090857029,0.007632849149584877,0.00014819319767411798,4.9079815653385594e-05,0.007564258761703968,0.004032326862215996,0.005728912074118853,1,1,1,1,1,1.4311485290527344,1,17.889907360076904,11.0,0.000346872751833871,5.774377495981753e-05,0.010389079339802265,0.004733627196401358,0.005944480653852224,0.007598932488173423,0.00015667757543269545,4.8147558118216693e-05,0.007548708003014326,0.004012510180473328,0.005661058705300093,1,1,1,1,1,2869.843908071518,2000,31696.477088689804,20000.0,0.5642972572743893,0.13604274436831473,0.35523161533474923,0.1825536559522152,0.32048510777950284,0.36883972720995595,0.5642490863204003,0.13597917127609252,0.35523161533474923,0.1825536559522152,0.31986691008508206,3,2,0,0,8,1.7555031776428223,1,1.7555031776428223,1.0,2.215407371520996,0.15858027338981628,0.8770270943641663,0.3197057843208313,0.23742146790027618,0.39822138740883356,1.4756290912628174,1,1.4756290912628174,1.0,2.2099571228027344,0.15774193406105042,0.873060405254364,0.31822970509529114,0.2376389354467392,0.39716738796262013
