lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,44f44_00003,2023-11-09_14-23-35,1699511015,3268.061238050461,3268.061238050461,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,3268.061238050461,1,38732,1.8472931385040283,1,3.8367223739624023,2.0,0.003105486510321498,0.0006288323784247041,0.03388507664203644,0.016682200133800507,0.01872269995510578,0.025076530430358665,0.003105486510321498,0.0006288323784247041,0.03388507664203644,0.016682200133800507,0.01872269995510578,0,0,0,0,0,3266.2131667137146,2000,3266.2131667137146,2000.0,0.5739743433892727,0.1397660272344947,0.3643190560042858,0.18759504023939372,0.3200813366919756,0.37385294867700947,0.5739743433892727,0.1397660272344947,0.3643190560042858,0.18759504023939372,0.3200813366919756,0,0,0,0,0,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[0.01],1,False,2,44f44_00003,2023-11-09_15-20-11,1699514411,3395.472693681717,6663.533931732178,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,6663.533931732178,2,38732,1.5439720153808594,1,5.380694389343262,3.0,0.0014447446446865797,0.0002713734866119921,0.02428734116256237,0.011365214362740517,0.011925041675567627,0.016473417575354306,0.0014447446446865797,0.0002713734866119921,0.02428734116256237,0.011365214362740517,0.011925041675567627,0,0,0,0,0,3393.9281289577484,2000,6660.141295671463,4000.0,0.5666064283251763,0.13641727497801184,0.35903071796894076,0.18430740172415971,0.3199882865846157,0.3693470928246381,0.5666064283251763,0.13641727497801184,0.35903071796894076,0.18430740172415971,0.3199882865846157,0,0,0,0,0,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[0.0025],2,False,3,44f44_00003,2023-11-09_16-14-55,1699517695,3283.980631351471,9947.514563083649,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,9947.514563083649,3,38732,1.323695182800293,1,6.704389572143555,4.0,0.000786428339779377,0.00022932494175620377,0.017755379900336266,0.009272650815546513,0.011972639709711075,0.015143478522327813,0.000786428339779377,0.00022932494175620377,0.017755379900336266,0.009272650815546513,0.011925041675567627,0,0,0,0,1,3282.656110525131,2000,9942.797406196594,6000.0,0.5651657961010933,0.13616361088305712,0.3565094882696867,0.18324988312274218,0.32026003357768057,0.36900353776496114,0.5651657961010933,0.13616361088305712,0.3565094882696867,0.18324988312274218,0.3199882865846157,0,0,0,0,1,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[0.0025],3,False,4,44f44_00003,2023-11-09_17-04-55,1699520695,3000.3285863399506,12947.8431494236,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,12947.8431494236,4,38732,1.3817672729492188,1,8.086156845092773,5.0,0.0008227540529333055,0.00020099767425563186,0.018284408375620842,0.009222515858709812,0.010767722502350807,0.014177364855840872,0.000786428339779377,0.00020099767425563186,0.017755379900336266,0.009222515858709812,0.010767722502350807,1,0,1,0,0,2998.9461085796356,2000,12941.74351477623,8000.0,0.5650931268334388,0.1361351796016097,0.35665608301758767,0.18326829035580158,0.3201983884125948,0.3689650113514962,0.5650931268334388,0.1361351796016097,0.3565094882696867,0.18324988312274218,0.3199882865846157,0,0,1,1,2,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[0.000625],4,False,5,44f44_00003,2023-11-09_17-57-12,1699523832,3136.8120300769806,16084.65517950058,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,16084.65517950058,5,38732,1.4034194946289062,1,9.48957633972168,6.0,0.00030974423862062395,8.421592792728916e-05,0.010835863649845123,0.005549964495003223,0.007308505941182375,0.009176923663586243,0.00030974423862062395,8.421592792728916e-05,0.010835863649845123,0.005549964495003223,0.007308505941182375,0,0,0,0,0,3135.407952785492,2000,16077.151467561722,10000.0,0.5644578124582768,0.13597734125703573,0.3556974541991949,0.18280889043956994,0.3202308134436607,0.3687510559402315,0.5644578124582768,0.13597734125703573,0.3556974541991949,0.18280889043956994,0.3199882865846157,0,0,0,0,3,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[0.000625],5,False,6,44f44_00003,2023-11-09_18-47-30,1699526850,3018.429686307907,19103.084865808487,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,19103.084865808487,6,38732,1.3656668663024902,1,10.85524320602417,7.0,0.0004122724640183151,8.581943257013336e-05,0.012174881063401699,0.005886630155146122,0.0071531422436237335,0.009263877836529008,0.00030974423862062395,8.421592792728916e-05,0.010835863649845123,0.005549964495003223,0.0071531422436237335,1,1,1,1,0,3017.06320643425,2000,19094.21467399597,12000.0,0.5647016443610191,0.13604437731206417,0.3557582792788744,0.182791625097394,0.3203447080850601,0.3688419408256932,0.5644578124582768,0.13597734125703573,0.3556974541991949,0.182791625097394,0.3199882865846157,1,1,1,0,4,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[0.00015625],6,False,7,44f44_00003,2023-11-09_19-36-16,1699529776,2925.8670415878296,22028.951907396317,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,22028.951907396317,7,38732,1.3474647998809814,1,12.202708005905151,8.0,0.00016440756735391915,5.5761425755918026e-05,0.008040305227041245,0.004369928035885096,0.006055201403796673,0.00746735734754391,0.00016440756735391915,5.5761425755918026e-05,0.008040305227041245,0.004369928035885096,0.006055201403796673,0,0,0,0,0,2924.5186896324158,2000,22018.733363628387,14000.0,0.5644885826408863,0.1360751597583294,0.355401522397995,0.1826489052772522,0.3204801281243563,0.36888366697148495,0.5644578124582768,0.13597734125703573,0.355401522397995,0.1826489052772522,0.3199882865846157,2,2,0,0,5,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[0.00015625],7,False,8,44f44_00003,2023-11-09_20-24-41,1699532681,2905.0138218402863,24933.965729236603,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,24933.965729236603,8,38732,1.3623380661010742,1,13.565046072006226,9.0,0.00015572624397464097,5.5602398788323626e-05,0.008036406710743904,0.004427298437803984,0.006000143941491842,0.007456701602473015,0.00015572624397464097,5.5602398788323626e-05,0.008036406710743904,0.004369928035885096,0.006000143941491842,0,0,0,1,0,2903.650826215744,2000,24922.38418984413,16000.0,0.5646385836601258,0.13607305851578713,0.3553729614019394,0.18262837629020215,0.32048714844882487,0.3688808188504617,0.5644578124582768,0.13597734125703573,0.3553729614019394,0.18262837629020215,0.3199882865846157,3,3,0,0,6,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[3.90625e-05],8,False,9,44f44_00003,2023-11-09_21-13-34,1699535614,2932.3437972068787,27866.30952644348,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,27866.30952644348,9,38732,1.471372365951538,1,15.036418437957764,10.0,0.00033775842166505754,5.122354195918888e-05,0.009668798185884953,0.004351496230810881,0.005682278890162706,0.0071570623833517675,0.00015572624397464097,5.122354195918888e-05,0.008036406710743904,0.004351496230810881,0.005682278890162706,1,0,1,0,0,2930.8718371391296,2000,27853.25602698326,18000.0,0.5644998997747898,0.13601587849855423,0.3552610829770565,0.18255268181860446,0.320443530112505,0.3688033059756301,0.5644578124582768,0.13597734125703573,0.3552610829770565,0.18255268181860446,0.3199882865846157,4,4,0,0,7,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
[3.90625e-05],9,False,10,44f44_00003,2023-11-09_22-00-45,1699538445,2831.079112768173,30697.388639211655,318614,sepc622.se.cuhk.edu.hk,137.189.58.22,30697.388639211655,10,38732,1.26179838180542,1,16.298216819763184,11.0,0.00011299584730295464,4.325252302805893e-05,0.006206469610333443,0.003512020455673337,0.005560440011322498,0.00657666503845672,0.00011299584730295464,4.325252302805893e-05,0.006206469610333443,0.003512020455673337,0.005560440011322498,0,0,0,0,0,2829.8167724609375,2000,30683.0727994442,20000.0,0.5646029226779937,0.13601958745718,0.3552397889792919,0.18250903556495904,0.32047455537319186,0.3688083343108992,0.5644578124582768,0.13597734125703573,0.3552397889792919,0.18250903556495904,0.3199882865846157,5,5,0,0,8,1.989429235458374,1,1.989429235458374,1.0,2.521538734436035,0.16855491697788239,0.8991631865501404,0.3065861761569977,0.27305763959884644,0.4105544019711424
