lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,8f991_00002,2023-10-22_00-50-24,1697907024,581.410959482193,581.410959482193,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,581.410959482193,1,48798,0.22575759887695312,1,0.7621698379516602,2.0,0.00276526203379035,0.0005357572808861732,0.03129859268665314,0.015464430674910545,0.01722240075469017,0.02314643127754629,0.00276526203379035,0.0005357572808861732,0.03129859268665314,0.015464430674910545,0.01722240075469017,0,0,0,0,0,581.1813027858734,2000,581.1813027858734,2000.0,1.2150362760424613,0.3017190763503313,0.6313353168666362,0.3388885645121336,0.4270570354163647,0.5492896106338907,1.2150362760424613,0.3017190763503313,0.6313353168666362,0.3388885645121336,0.4270570354163647,0,0,0,0,0,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[0.01],1,False,2,8f991_00002,2023-10-22_01-00-08,1697907608,583.4655063152313,1164.8764657974243,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,1164.8764657974243,2,48798,0.23098015785217285,1,0.993149995803833,3.0,0.002523329807445407,0.0004255215171724558,0.030900824815034866,0.014491883106529713,0.014680212363600731,0.020628172899519136,0.002523329807445407,0.0004255215171724558,0.030900824815034866,0.014491883106529713,0.014680212363600731,0,0,0,0,0,583.2308356761932,2000,1164.4121384620667,4000.0,1.2004447737932205,0.29450320748984815,0.626467381566763,0.33558560654520986,0.426346515506506,0.5426814972798024,1.2004447737932205,0.29450320748984815,0.626467381566763,0.33558560654520986,0.426346515506506,0,0,0,0,0,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[0.0025],2,False,3,8f991_00002,2023-10-22_01-09-52,1697908192,584.1625418663025,1749.0390076637268,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,1749.0390076637268,3,48798,0.22846484184265137,1,1.2216148376464844,4.0,0.0015733488835394382,0.0003631775616668165,0.027397844940423965,0.013737636618316174,0.013208192773163319,0.019057218098841616,0.0015733488835394382,0.0003631775616668165,0.027397844940423965,0.013737636618316174,0.013208192773163319,0,0,0,0,0,583.9300193786621,2000,1748.3421578407288,6000.0,1.1989887610673904,0.29428969414532186,0.6259276064932346,0.33548401652276516,0.4262735055834055,0.5424847409331638,1.1989887610673904,0.29428969414532186,0.6259276064932346,0.33548401652276516,0.4262735055834055,0,0,0,0,0,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[0.0025],3,False,4,8f991_00002,2023-10-22_01-19-35,1697908775,583.1574988365173,2332.196506500244,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,2332.196506500244,4,48798,0.2293386459350586,1,1.450953483581543,5.0,0.0006739342934451997,0.00018755828205030411,0.01665021851658821,0.008976520039141178,0.010343174450099468,0.01369519193185346,0.0006739342934451997,0.00018755828205030411,0.01665021851658821,0.008976520039141178,0.010343174450099468,0,0,0,0,0,582.9240460395813,2000,2331.26620388031,8000.0,1.1988740785121919,0.29426078002154826,0.6258480876982212,0.33540128499269484,0.4262956392765045,0.5424580905669564,1.1988740785121919,0.29426078002154826,0.6258480876982212,0.33540128499269484,0.4262735055834055,0,0,0,0,1,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[0.000625],4,False,5,8f991_00002,2023-10-22_01-29-21,1697909361,585.6979722976685,2917.8944787979126,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,2917.8944787979126,5,48798,0.2327413558959961,1,1.683694839477539,6.0,0.000506770156789571,0.000125094797112979,0.014653487130999565,0.007664014585316181,0.008146055974066257,0.011184578539801086,0.000506770156789571,0.000125094797112979,0.014653487130999565,0.007664014585316181,0.008146055974066257,0,0,0,0,0,585.4613046646118,2000,2916.727508544922,10000.0,1.1984802924990654,0.2942618416249752,0.6256714825928211,0.3353355685323477,0.4263766269534826,0.5424590690780045,1.1984802924990654,0.29426078002154826,0.6256714825928211,0.3353355685323477,0.4262735055834055,0,1,0,0,2,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[0.000625],5,False,6,8f991_00002,2023-10-22_01-39-03,1697909943,582.1139900684357,3500.0084688663483,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,3500.0084688663483,6,48798,0.22684788703918457,1,1.9105427265167236,7.0,0.0006498261936940253,0.00011813688615802675,0.015291637741029263,0.007322878576815128,0.008031990379095078,0.010869079361106291,0.000506770156789571,0.00011813688615802675,0.014653487130999565,0.007322878576815128,0.008031990379095078,1,0,1,0,0,581.8837351799011,2000,3498.611243724823,12000.0,1.1990135499238967,0.2942920174747706,0.6257101466357708,0.3353509205579758,0.4263986889272928,0.5424868823066329,1.1984802924990654,0.29426078002154826,0.6256714825928211,0.3353355685323477,0.4262735055834055,1,2,1,1,3,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[0.00015625],6,False,7,8f991_00002,2023-10-22_01-48-47,1697910527,583.8618500232697,4083.870318889618,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,4083.870318889618,7,48798,0.22896170616149902,1,2.1395044326782227,8.0,0.00027593265986070037,7.457409083144739e-05,0.010864771902561188,0.005729536525905132,0.006461180746555328,0.008635629150875308,0.00027593265986070037,7.457409083144739e-05,0.010864771902561188,0.005729536525905132,0.006461180746555328,0,0,0,0,0,583.6283781528473,2000,4082.2396218776703,14000.0,1.198787279188633,0.2942252484411001,0.6255458644926548,0.33525655211508276,0.42640368893742564,0.5424253390477809,1.1984802924990654,0.2942252484411001,0.6255458644926548,0.33525655211508276,0.4262735055834055,2,0,0,0,4,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[0.00015625],7,False,8,8f991_00002,2023-10-22_01-58-32,1697911112,585.4373297691345,4669.307648658752,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,4669.307648658752,8,48798,0.23138999938964844,1,2.370894432067871,9.0,0.000306395988445729,7.473385630873963e-05,0.010923697613179684,0.005621644202619791,0.0065674446523189545,0.00864487456871062,0.00027593265986070037,7.457409083144739e-05,0.010864771902561188,0.005621644202619791,0.006461180746555328,1,1,1,0,1,585.2015309333801,2000,4667.44115281105,16000.0,1.1988956779837607,0.29438628679513934,0.6256602817475796,0.3353038409054279,0.4265538496375084,0.5425737616169246,1.1984802924990654,0.2942252484411001,0.6255458644926548,0.33525655211508276,0.4262735055834055,3,1,1,1,5,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[3.90625e-05],8,False,9,8f991_00002,2023-10-22_02-08-15,1697911695,582.5562829971313,5251.863931655884,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,5251.863931655884,9,48798,0.23603558540344238,1,2.6069300174713135,10.0,0.00023337303719017655,5.48520874872338e-05,0.009466893970966339,0.004796415101736784,0.005643292795866728,0.0074062195138433345,0.00023337303719017655,5.48520874872338e-05,0.009466893970966339,0.004796415101736784,0.005643292795866728,0,0,0,0,0,582.3159644603729,2000,5249.757117271423,18000.0,1.1983860409259797,0.2942666693329811,0.6255134392082691,0.3352611370831728,0.4264503457993269,0.5424635188959541,1.1983860409259797,0.2942252484411001,0.6255134392082691,0.33525655211508276,0.4262735055834055,0,2,0,2,6,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
[3.90625e-05],9,False,10,8f991_00002,2023-10-22_02-18-02,1697912282,587.0581548213959,5838.92208647728,164443,sepc622.se.cuhk.edu.hk,137.189.58.22,5838.92208647728,10,48798,0.22940540313720703,1,2.8363354206085205,11.0,0.0002025375288212672,5.3520114306593314e-05,0.00890772882848978,0.004691422451287508,0.0056134602054953575,0.007315744275642316,0.0002025375288212672,5.3520114306593314e-05,0.00890772882848978,0.004691422451287508,0.0056134602054953575,0,0,0,0,0,586.8240261077881,2000,5836.581143379211,20000.0,1.1979070717692375,0.29420071198046205,0.6254400254786014,0.33521391269564627,0.4264098131656647,0.5424027212141013,1.1979070717692375,0.29420071198046205,0.6254400254786014,0.33521391269564627,0.4262735055834055,0,0,0,0,7,0.536412239074707,1,0.536412239074707,1.0,1.814513087272644,0.1485586017370224,0.8204149603843689,0.31320834159851074,0.22463206946849823,0.3854330055107144
