lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,1ad38_00002,2023-10-17_10-04-30,1697508270,596.0384755134583,596.0384755134583,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,596.0384755134583,1,51878,0.23663687705993652,1,0.8233692646026611,2.0,0.010824614204466343,0.0009762896224856377,0.07926717400550842,0.023786429315805435,0.02026076801121235,0.031245633654730667,0.010824614204466343,0.0009762896224856377,0.07926717400550842,0.023786429315805435,0.02026076801121235,0,0,0,0,0,595.7979984283447,2000,595.7979984283447,2000.0,1.9895531213879585,0.3249286672025919,0.9442036940157413,0.3327299892306328,0.4611965528130531,0.5700251461142674,1.9895531213879585,0.3249286672025919,0.9442036940157413,0.3327299892306328,0.4611965528130531,0,0,0,0,0,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[0.01],1,False,2,1ad38_00002,2023-10-17_10-14-29,1697508869,598.8406174182892,1194.8790929317474,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,1194.8790929317474,2,51878,0.2426280975341797,1,1.0659973621368408,3.0,0.013481811620295048,0.0008260505273938179,0.08655925840139389,0.022944815456867218,0.01730862259864807,0.028741094749397036,0.010824614204466343,0.0008260505273938179,0.07926717400550842,0.022944815456867218,0.01730862259864807,1,0,1,0,0,598.5939424037933,2000,1194.391940832138,4000.0,1.9675062354207038,0.3213100246489048,0.9368310159742832,0.3303474453538656,0.46053939321637155,0.5668421514398032,1.9675062354207038,0.3213100246489048,0.9368310159742832,0.3303474453538656,0.46053939321637155,0,0,0,0,0,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[0.0025],2,False,3,1ad38_00002,2023-10-17_10-24-20,1697509460,590.8831946849823,1785.7622876167297,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,1785.7622876167297,3,51878,0.23175859451293945,1,1.2977559566497803,4.0,0.00437386566773057,0.00030729162972420454,0.038035646080970764,0.011411300860345364,0.013306965120136738,0.01752973558626041,0.00437386566773057,0.00030729162972420454,0.038035646080970764,0.011411300860345364,0.013306965120136738,0,0,0,0,0,590.6471416950226,2000,1785.0390825271606,6000.0,1.9625824436545372,0.32074841704964635,0.934747489720583,0.32979186810553074,0.4603895886987448,0.5663465520771238,1.9625824436545372,0.32074841704964635,0.934747489720583,0.32979186810553074,0.4603895886987448,0,0,0,0,0,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[0.0025],3,False,4,1ad38_00002,2023-10-17_10-34-13,1697510053,593.1306688785553,2378.892956495285,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,2378.892956495285,4,51878,0.23273301124572754,1,1.5304889678955078,5.0,0.012499180622398853,0.0003507166402414441,0.0463736318051815,0.011748249642550945,0.014584136195480824,0.018727430155828752,0.00437386566773057,0.00030729162972420454,0.038035646080970764,0.011411300860345364,0.013306965120136738,1,1,1,1,1,592.8937656879425,2000,2377.932848215103,8000.0,1.9631091890335084,0.32076438567042354,0.9347241566479206,0.3297373416721821,0.46044169817864894,0.5663606498252006,1.9625824436545372,0.32074841704964635,0.9347241566479206,0.3297373416721821,0.4603895886987448,1,1,0,0,1,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[0.000625],4,False,5,1ad38_00002,2023-10-17_10-44-05,1697510645,592.2839589118958,2971.176915407181,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,2971.176915407181,5,51878,0.22992706298828125,1,1.760416030883789,6.0,0.0018674619495868683,0.000145861049531959,0.02565830759704113,0.007881426252424717,0.009151223115622997,0.01207729479361827,0.0018674619495868683,0.000145861049531959,0.02565830759704113,0.007881426252424717,0.009151223115622997,0,0,0,0,0,592.0499267578125,2000,2969.9827749729156,10000.0,1.9613191372156142,0.3206066906452179,0.934043749988079,0.329589384585619,0.46039150495827197,0.5662214148592561,1.9613191372156142,0.3206066906452179,0.934043749988079,0.329589384585619,0.4603895886987448,0,0,0,0,2,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[0.000625],5,False,6,1ad38_00002,2023-10-17_10-53-55,1697511235,589.6839601993561,3560.860875606537,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,3560.860875606537,6,51878,0.23340559005737305,1,1.993821620941162,7.0,0.0015535041457042098,0.00014473417832050472,0.025007043033838272,0.007733681704849005,0.009215478785336018,0.01203055187098683,0.0015535041457042098,0.00014473417832050472,0.025007043033838272,0.007733681704849005,0.009151223115622997,0,0,0,0,1,589.4454879760742,2000,3559.42826294899,12000.0,1.9612228476405145,0.3205778718739748,0.9340251145064831,0.3295848697423935,0.46036188043653964,0.5661959659640599,1.9612228476405145,0.3205778718739748,0.9340251145064831,0.3295848697423935,0.46036188043653964,0,0,0,0,0,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[0.00015625],6,False,7,1ad38_00002,2023-10-17_11-03-48,1697511828,592.5741708278656,4153.4350464344025,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,4153.4350464344025,7,51878,0.22838854789733887,1,2.222210168838501,8.0,0.0015896520344540477,0.00010138028301298618,0.021710628643631935,0.006284770555794239,0.007866539992392063,0.010068777632512608,0.0015535041457042098,0.00010138028301298618,0.021710628643631935,0.006284770555794239,0.007866539992392063,1,0,0,0,0,592.3417775630951,2000,4151.770040512085,14000.0,1.9605044897198678,0.32048378050327303,0.933781508654356,0.32947725196182726,0.46034293577075003,0.5661128690493381,1.9605044897198678,0.32048378050327303,0.933781508654356,0.32947725196182726,0.46034293577075003,0,0,0,0,0,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[0.00015625],7,False,8,1ad38_00002,2023-10-17_11-13-41,1697512421,592.9289088249207,4746.363955259323,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,4746.363955259323,8,51878,0.2312779426574707,1,2.4534881114959717,9.0,0.0013216547667980194,0.00010840674076462165,0.021127069368958473,0.00650137010961771,0.00813261792063713,0.010411855779092488,0.0013216547667980194,0.00010138028301298618,0.021127069368958473,0.006284770555794239,0.007866539992392063,0,1,0,1,1,592.6933722496033,2000,4744.463412761688,16000.0,1.9615009102225303,0.3206791059821844,0.9339799838960171,0.32954077968001366,0.4605092797130346,0.5662853573792849,1.9605044897198678,0.32048378050327303,0.933781508654356,0.32947725196182726,0.46034293577075003,1,1,1,1,1,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[3.90625e-05],8,False,9,1ad38_00002,2023-10-17_11-23-33,1697513013,592.1360716819763,5338.500026941299,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,5338.500026941299,9,51878,0.23374509811401367,1,2.6872332096099854,10.0,0.0009902266319841146,8.396980410907418e-05,0.017476428300142288,0.005364187527447939,0.00742938369512558,0.009163503920939531,0.0009902266319841146,8.396980410907418e-05,0.017476428300142288,0.005364187527447939,0.00742938369512558,0,0,0,0,0,591.8978912830353,2000,5336.3613040447235,18000.0,1.9600144334435463,0.3205178385823965,0.933643626242876,0.32943901035189627,0.46040899616479875,0.566142948894002,1.9600144334435463,0.32048378050327303,0.933643626242876,0.32943901035189627,0.46034293577075003,0,2,0,0,2,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
[3.90625e-05],9,False,10,1ad38_00002,2023-10-17_11-33-21,1697513601,588.5097074508667,5927.009734392166,447324,sepc622.se.cuhk.edu.hk,137.189.58.22,5927.009734392166,10,51878,0.23114323616027832,1,2.9183764457702637,11.0,0.0011253131087869406,8.801164949545637e-05,0.018654068931937218,0.005662457551807165,0.007479885593056679,0.009381452419292887,0.0009902266319841146,8.396980410907418e-05,0.017476428300142288,0.005364187527447939,0.00742938369512558,1,1,1,1,1,588.2740802764893,2000,5924.635384321213,20000.0,1.9603945048451423,0.32045590747892855,0.9336971380710601,0.32943824894726276,0.46034237891435625,0.5660882506102105,1.9600144334435463,0.32045590747892855,0.933643626242876,0.32943824894726276,0.46034237891435625,1,0,1,0,0,0.5867323875427246,1,0.5867323875427246,1.0,9.512741088867188,0.3737570643424988,2.5143728256225586,0.5743278861045837,0.20953509211540222,0.6113567406535229
