lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,f5cfa_00001,2023-10-17_17-13-07,1697533987,605.0727112293243,605.0727112293243,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,605.0727112293243,1,55728,0.23641347885131836,1,0.7988626956939697,2.0,0.009743019007146358,0.0006274401675909758,0.07339762896299362,0.01961902342736721,0.01557356957346201,0.02504875580924082,0.009743019007146358,0.0006274401675909758,0.07339762896299362,0.01961902342736721,0.01557356957346201,0,0,0,0,0,604.8327009677887,2000,604.8327009677887,2000.0,1.9888994432687759,0.32479798175394536,0.9434899189472199,0.332598712593317,0.4611659396290779,0.569910503284459,1.9888994432687759,0.32479798175394536,0.9434899189472199,0.332598712593317,0.4611659396290779,0,0,0,0,0,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[0.01],1,False,2,f5cfa_00001,2023-10-17_17-23-09,1697534589,602.1795098781586,1207.252221107483,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,1207.252221107483,2,55728,0.24063444137573242,1,1.0394971370697021,3.0,0.01117138285189867,0.00046429241774603724,0.06350959092378616,0.015995929017663002,0.014436911791563034,0.021547445736004006,0.009743019007146358,0.00046429241774603724,0.06350959092378616,0.015995929017663002,0.014436911791563034,1,0,0,0,0,601.9350414276123,2000,1206.767742395401,4000.0,1.9657096828818321,0.32109324702620506,0.9357454307973385,0.3300655040889978,0.46051428639888764,0.5666509040195781,1.9657096828818321,0.32109324702620506,0.9357454307973385,0.3300655040889978,0.46051428639888764,0,0,0,0,0,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[0.0025],2,False,3,f5cfa_00001,2023-10-17_17-33-11,1697535191,601.9972431659698,1809.2494642734528,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,1809.2494642734528,3,55728,0.23888063430786133,1,1.2783777713775635,4.0,0.005552052520215511,0.00023924570996314287,0.042720817029476166,0.01110584381967783,0.01076600607484579,0.015467569620439497,0.005552052520215511,0.00023924570996314287,0.042720817029476166,0.01110584381967783,0.01076600607484579,0,0,0,0,0,601.754471540451,2000,1808.522213935852,6000.0,1.96131790214777,0.3205841667354107,0.9339833538234233,0.3296204259991646,0.46033532756567,0.5662015248437703,1.96131790214777,0.3205841667354107,0.9339833538234233,0.3296204259991646,0.46033532756567,0,0,0,0,0,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[0.0025],3,False,4,f5cfa_00001,2023-10-17_17-43-09,1697535789,598.4071090221405,2407.6565732955933,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,2407.6565732955933,4,55728,0.2382800579071045,1,1.516657829284668,5.0,0.002974835690110922,0.00022305556922219694,0.03527425229549408,0.01061892881989479,0.010502135381102562,0.014935045002349238,0.002974835690110922,0.00022305556922219694,0.03527425229549408,0.01061892881989479,0.010502135381102562,0,0,0,0,0,598.16490483284,2000,2406.687118768692,8000.0,1.961440255343914,0.32056288577616215,0.9340622193813324,0.3295736961662769,0.4603406555652618,0.5661827317890948,1.96131790214777,0.32056288577616215,0.9339833538234233,0.3295736961662769,0.46033532756567,1,0,1,0,1,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[0.000625],4,False,5,f5cfa_00001,2023-10-17_17-53-09,1697536389,599.7830512523651,3007.4396245479584,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,3007.4396245479584,5,55728,0.23635053634643555,1,1.7530083656311035,6.0,0.0011238654842600226,0.00010762971214717254,0.02203982323408127,0.006861709989607334,0.007781205233186483,0.010374474066051374,0.0011238654842600226,0.00010762971214717254,0.02203982323408127,0.006861709989607334,0.007781205233186483,0,0,0,0,0,599.5427784919739,2000,3006.229897260666,10000.0,1.960598649919033,0.3205640607923269,0.9336268911361695,0.32950680509209634,0.4604033075720072,0.5661837694532817,1.960598649919033,0.32056288577616215,0.9336268911361695,0.32950680509209634,0.46033532756567,0,1,0,0,2,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[0.000625],5,False,6,f5cfa_00001,2023-10-17_18-03-08,1697536988,598.7707397937775,3606.210364341736,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,3606.210364341736,6,55728,0.2357487678527832,1,1.9887571334838867,7.0,0.0012886794283986092,9.763039270183071e-05,0.02338162064552307,0.006795728579163551,0.00717278802767396,0.009880809314111406,0.0011238654842600226,9.763039270183071e-05,0.02203982323408127,0.006795728579163551,0.00717278802767396,1,0,1,0,0,598.53111743927,2000,3604.761014699936,12000.0,1.96051670140028,0.320627852216363,0.9335851790904999,0.329501504778862,0.4604754906892776,0.5662401012082798,1.96051670140028,0.32056288577616215,0.9335851790904999,0.329501504778862,0.46033532756567,0,2,0,0,3,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[0.00015625],6,False,7,f5cfa_00001,2023-10-17_18-13-09,1697537589,600.7081637382507,4206.918528079987,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,4206.918528079987,7,55728,0.2351830005645752,1,2.223940134048462,8.0,0.0006112725241109729,6.441044388338923e-05,0.016740726307034492,0.005262867081910372,0.006059122737497091,0.008025611745118824,0.0006112725241109729,6.441044388338923e-05,0.016740726307034492,0.005262867081910372,0.006059122737497091,0,0,0,0,0,600.4691700935364,2000,4205.230184793472,14000.0,1.9599071370363235,0.32050342828035355,0.9333318277597428,0.32938927701115606,0.46042739431560037,0.5661302220164134,1.9599071370363235,0.32050342828035355,0.9333318277597428,0.32938927701115606,0.46033532756567,0,0,0,0,4,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[0.00015625],7,False,8,f5cfa_00001,2023-10-17_18-23-04,1697538184,595.8982501029968,4802.816778182983,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,4802.816778182983,8,55728,0.2316596508026123,1,2.455599784851074,9.0,0.0011950928019359708,6.847507756901905e-05,0.021199703216552734,0.005748500116169453,0.005952320992946625,0.008274966922533229,0.0006112725241109729,6.441044388338923e-05,0.016740726307034492,0.005262867081910372,0.005952320992946625,1,1,1,1,0,595.6628465652466,2000,4800.893031358719,16000.0,1.9603786581158638,0.3205396197587252,0.9334278850853444,0.32939710082113743,0.4604604414701462,0.5661621850306899,1.9599071370363235,0.32050342828035355,0.9333318277597428,0.32938927701115606,0.46033532756567,1,1,1,1,5,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[3.90625e-05],8,False,9,f5cfa_00001,2023-10-17_18-33-00,1697538780,595.720025062561,5398.536803245544,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,5398.536803245544,9,55728,0.23431682586669922,1,2.6899166107177734,10.0,0.0005279389442875981,4.559392255032435e-05,0.013706040568649769,0.004247906617820263,0.005248756147921085,0.0067523271951471925,0.0005279389442875981,4.559392255032435e-05,0.013706040568649769,0.004247906617820263,0.005248756147921085,0,0,0,0,0,595.48175573349,2000,5396.374787092209,18000.0,1.9597783686518668,0.32043848863244057,0.9332149251401425,0.3293216404020786,0.46040637110173704,0.5660728651264257,1.9597783686518668,0.32043848863244057,0.9332149251401425,0.3293216404020786,0.46033532756567,0,0,0,0,6,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[3.90625e-05],9,False,10,f5cfa_00001,2023-10-17_18-42-54,1697539374,593.3408675193787,5991.877670764923,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,5991.877670764923,10,55728,0.2367570400238037,1,2.926673650741577,11.0,0.0004482769581954926,4.975605770596303e-05,0.013358430936932564,0.0043846615590155125,0.005525491666048765,0.007053797396152163,0.0004482769581954926,4.559392255032435e-05,0.013358430936932564,0.004247906617820263,0.005248756147921085,0,1,0,1,1,593.0992670059204,2000,5989.474054098129,20000.0,1.959561833024025,0.32033869850635527,0.9331748023331166,0.3293022972494364,0.46031187984347344,0.5659847157886467,1.959561833024025,0.32033869850635527,0.9331748023331166,0.3293022972494364,0.46031187984347344,0,0,0,0,0,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[9.765625e-06],10,False,11,f5cfa_00001,2023-10-17_18-52-51,1697539971,597.6988112926483,6589.576482057571,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,6589.576482057571,11,55728,0.23050451278686523,1,3.1571781635284424,12.0,0.00041815327131189406,4.7851855924818665e-05,0.012973252683877945,0.004237304907292128,0.00546784745529294,0.006917503590517222,0.00041815327131189406,4.559392255032435e-05,0.012973252683877945,0.004237304907292128,0.005248756147921085,0,2,0,0,2,597.4644186496735,2000,6586.938472747803,22000.0,1.9598540437221528,0.32045984345674516,0.9332306571900845,0.3293271463364363,0.4604266646206379,0.5660917270696907,1.959561833024025,0.32033869850635527,0.9331748023331166,0.3293022972494364,0.46031187984347344,1,1,1,1,1,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
[9.765625e-06],11,False,12,f5cfa_00001,2023-10-17_19-02-55,1697540575,604.2058489322662,7193.782330989838,21339,sepc622.se.cuhk.edu.hk,137.189.58.22,7193.782330989838,12,55728,0.24262309074401855,1,3.399801254272461,13.0,0.0005462030530907214,4.577697109198198e-05,0.013823574408888817,0.004218903835862875,0.0052894288673996925,0.006765868095963886,0.00041815327131189406,4.559392255032435e-05,0.012973252683877945,0.004218903835862875,0.005248756147921085,1,3,1,0,3,603.9593379497528,2000,7190.8978106975555,24000.0,1.9598123098015785,0.3203454305380583,0.9332451722621917,0.3293133100569248,0.46031164269149305,0.5659906629424715,1.959561833024025,0.32033869850635527,0.9331748023331166,0.3293022972494364,0.46031164269149305,2,2,2,2,0,0.5624492168426514,1,0.5624492168426514,1.0,6.875509738922119,0.28623679280281067,2.145578622817993,0.500166118144989,0.18992352485656738,0.5350110211975176
