lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,da9e6_00002,2023-10-18_01-11-39,1697562699,586.985880613327,586.985880613327,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,586.985880613327,1,53418,0.23079609870910645,1,0.7742860317230225,2.0,0.0049328552559018135,0.0005150450160726905,0.051133301109075546,0.016094869002699852,0.01600007340312004,0.022694603236732086,0.0049328552559018135,0.0005150450160726905,0.051133301109075546,0.016094869002699852,0.01600007340312004,0,0,0,0,0,586.7517123222351,2000,586.7517123222351,2000.0,1.98565550416708,0.32410817743837833,0.9426878063976765,0.33222913582623004,0.4610644898116589,0.5693049950934721,1.98565550416708,0.32410817743837833,0.9426878063976765,0.33222913582623004,0.4610644898116589,0,0,0,0,0,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[0.01],1,False,2,da9e6_00002,2023-10-18_01-21-27,1697563287,587.5984039306641,1174.584284543991,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,1174.584284543991,2,53418,0.23749470710754395,1,1.0117807388305664,3.0,0.00632597366347909,0.00037138830521143973,0.05104043707251549,0.01397108007222414,0.013273986987769604,0.019271437549166895,0.0049328552559018135,0.00037138830521143973,0.05104043707251549,0.01397108007222414,0.013273986987769604,1,0,0,0,0,587.3575820922852,2000,1174.1092944145203,4000.0,1.9660845312476158,0.321197217002511,0.9357868877351284,0.33007250720262526,0.46061270813643934,0.5667426373606551,1.9660845312476158,0.321197217002511,0.9357868877351284,0.33007250720262526,0.46061270813643934,0,0,0,0,0,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[0.0025],2,False,3,da9e6_00002,2023-10-18_01-31-15,1697563875,588.6563396453857,1763.2406241893768,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,1763.2406241893768,3,53418,0.23621344566345215,1,1.2479941844940186,4.0,0.00196007639169693,0.00020536110969260335,0.031632911413908005,0.01002020388841629,0.010244876146316528,0.014330426012251114,0.00196007639169693,0.00020536110969260335,0.031632911413908005,0.01002020388841629,0.010244876146316528,0,0,0,0,0,588.416187286377,2000,1762.5254817008972,6000.0,1.9615205155611037,0.3207870661318302,0.9340321542322636,0.329602436542511,0.4605668366402388,0.5663806724561055,1.9615205155611037,0.3207870661318302,0.9340321542322636,0.329602436542511,0.4605668366402388,0,0,0,0,0,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[0.0025],3,False,4,da9e6_00002,2023-10-18_01-41-02,1697564462,586.6899015903473,2349.930525779724,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,2349.930525779724,4,53418,0.23089218139648438,1,1.478886365890503,5.0,0.002724159276112914,0.00023299618624150753,0.03541507199406624,0.010804325342178345,0.010782564990222454,0.015264212598149553,0.00196007639169693,0.00020536110969260335,0.031632911413908005,0.01002020388841629,0.010244876146316528,1,1,1,1,1,586.4542000293732,2000,2348.9796817302704,8000.0,1.9617164049148559,0.320683992639184,0.934068209707737,0.3295635866969824,0.4604771402180195,0.5662896720223529,1.9615205155611037,0.320683992639184,0.9340321542322636,0.3295635866969824,0.4604771402180195,1,0,1,0,0,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[0.000625],4,False,5,da9e6_00002,2023-10-18_01-50-52,1697565052,589.5798335075378,2939.510359287262,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,2939.510359287262,5,53418,0.23178863525390625,1,1.7106750011444092,6.0,0.0009558805613778532,0.00011248807277297601,0.021436816081404686,0.006988460198044777,0.007978096604347229,0.010606039448020925,0.0009558805613778532,0.00011248807277297601,0.021436816081404686,0.006988460198044777,0.007978096604347229,0,0,0,0,0,589.3434643745422,2000,2938.3231461048126,10000.0,1.96076474994421,0.32056734210252763,0.9336555070281028,0.3294920142143965,0.4604172931909561,0.5661866671889472,1.96076474994421,0.32056734210252763,0.9336555070281028,0.3294920142143965,0.4604172931909561,0,0,0,0,0,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[0.000625],5,False,6,da9e6_00002,2023-10-18_02-00-39,1697565639,587.7406866550446,3527.2510459423065,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,3527.2510459423065,6,53418,0.234144926071167,1,1.9448199272155762,7.0,0.0017911925679072738,0.0001271683577215299,0.027284037321805954,0.007825830020010471,0.008119437843561172,0.011276894861686435,0.0009558805613778532,0.00011248807277297601,0.021436816081404686,0.006988460198044777,0.007978096604347229,1,1,1,1,1,587.5019209384918,2000,3525.8250670433044,12000.0,1.9612404599189759,0.3205841567367315,0.9336813350021839,0.3294811857640743,0.4604424865245819,0.5662015160141586,1.96076474994421,0.32056734210252763,0.9336555070281028,0.3294811857640743,0.4604172931909561,1,1,1,0,1,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[0.00015625],6,False,7,da9e6_00002,2023-10-18_02-10-26,1697566226,586.9599483013153,4114.210994243622,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,4114.210994243622,7,53418,0.23058772087097168,1,2.175407648086548,8.0,0.0007432001293636858,7.001656194915995e-05,0.01737775094807148,0.005375911481678486,0.006412212736904621,0.00836758997257633,0.0007432001293636858,7.001656194915995e-05,0.01737775094807148,0.005375911481678486,0.006412212736904621,0,0,0,0,0,586.724983215332,2000,4112.5500502586365,14000.0,1.960779481112957,0.3205317143648863,0.9334740906953811,0.32938335110247136,0.460460868999362,0.5661552034247203,1.96076474994421,0.3205317143648863,0.9334740906953811,0.32938335110247136,0.4604172931909561,2,0,0,0,2,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[0.00015625],7,False,8,da9e6_00002,2023-10-18_02-20-13,1697566813,586.0524225234985,4700.26341676712,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,4700.26341676712,8,53418,0.23367691040039062,1,2.4090845584869385,9.0,0.0006668100832030177,7.06537757650949e-05,0.01757539063692093,0.00544391805306077,0.006404519081115723,0.008405580037397473,0.0006668100832030177,7.001656194915995e-05,0.01737775094807148,0.005375911481678486,0.006404519081115723,0,1,1,1,0,585.8141615390778,2000,4698.364211797714,16000.0,1.9609187099933625,0.32060221745073797,0.9334747108817101,0.32939312687516215,0.46053050862252715,0.5662174648054739,1.96076474994421,0.3205317143648863,0.9334740906953811,0.32938335110247136,0.4604172931909561,3,1,1,1,3,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[3.90625e-05],8,False,9,da9e6_00002,2023-10-18_02-30-02,1697567402,589.2412097454071,5289.5046265125275,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,5289.5046265125275,9,53418,0.23021674156188965,1,2.639301300048828,10.0,0.0006436427938751876,6.29640999250114e-05,0.01677895337343216,0.0051132431253790855,0.006067877635359764,0.007934992118774372,0.0006436427938751876,6.29640999250114e-05,0.01677895337343216,0.0051132431253790855,0.006067877635359764,0,0,0,0,0,589.0065546035767,2000,5287.370766401291,18000.0,1.959703003168106,0.32042830634117125,0.9332812665700913,0.32933226037025454,0.46038757936656477,0.5660638712558603,1.959703003168106,0.32042830634117125,0.9332812665700913,0.32933226037025454,0.46038757936656477,0,0,0,0,0,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
[3.90625e-05],9,False,10,da9e6_00002,2023-10-18_02-39-50,1697567990,587.7016582489014,5877.206284761429,65217,sepc622.se.cuhk.edu.hk,137.189.58.22,5877.206284761429,10,53418,0.22731781005859375,1,2.866619110107422,11.0,0.0006344659486785531,6.888846110086888e-05,0.01825469173491001,0.005737250670790672,0.005997725762426853,0.008299907294715338,0.0006344659486785531,6.29640999250114e-05,0.01677895337343216,0.0051132431253790855,0.005997725762426853,0,1,1,1,0,587.4699785709381,2000,5874.840744972229,20000.0,1.9601774594187737,0.3204427590072155,0.933294189542532,0.3293199422955513,0.46041086438298223,0.566076637044151,1.959703003168106,0.32042830634117125,0.9332812665700913,0.3293199422955513,0.46038757936656477,1,1,1,0,1,0.543489933013916,1,0.543489933013916,1.0,7.2117018699646,0.2955563962459564,2.193387031555176,0.5084307789802551,0.19249628484249115,0.5436509875333222
