lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,41a93_00002,2023-10-22_12-15-33,1697948133,588.9160153865814,588.9160153865814,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,588.9160153865814,1,58528,0.23287367820739746,1,0.49445366859436035,2.0,0.006183172110468149,0.0006594622391276062,0.04032609984278679,0.017726734280586243,0.01858031377196312,0.02567999686774915,0.006183172110468149,0.0006594622391276062,0.04032609984278679,0.017726734280586243,0.01858031377196312,0,0,0,0,0,588.6799058914185,2000,588.6799058914185,2000.0,1.2144608579277991,0.3024003807604313,0.6310182155966759,0.33889193697273734,0.4269989804774523,0.5499094295976669,1.2144608579277991,0.3024003807604313,0.6310182155966759,0.33889193697273734,0.4269989804774523,0,0,0,0,0,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[0.01],1,False,2,41a93_00002,2023-10-22_12-25-20,1697948720,587.0919284820557,1176.007943868637,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,1176.007943868637,2,58528,0.22770190238952637,1,0.7221555709838867,3.0,0.0017067455919459462,0.0003103090275544673,0.025018855929374695,0.012442706152796745,0.012469540350139141,0.017615590468515876,0.0017067455919459462,0.0003103090275544673,0.025018855929374695,0.012442706152796745,0.012469540350139141,0,0,0,0,0,586.8609707355499,2000,1175.5408766269684,4000.0,1.2004823073148727,0.2945325245261192,0.6265428356826306,0.3357268612086773,0.4262856758385897,0.5427085078807216,1.2004823073148727,0.2945325245261192,0.6265428356826306,0.3357268612086773,0.4262856758385897,0,0,0,0,0,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[0.0025],2,False,3,41a93_00002,2023-10-22_12-35-07,1697949307,587.5491414070129,1763.55708527565,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,1763.55708527565,3,58528,0.25447511672973633,1,0.976630687713623,4.0,0.003126016817986965,0.0002490390033926815,0.02733844704926014,0.0112013453617692,0.011116201058030128,0.01578096965945634,0.0017067455919459462,0.0002490390033926815,0.025018855929374695,0.0112013453617692,0.011116201058030128,1,0,1,0,0,587.2909126281738,2000,1762.8317892551422,6000.0,1.1988594039082527,0.2943120236694813,0.625911171078682,0.3355098796784878,0.42628699605166914,0.5425053213282625,1.1988594039082527,0.2943120236694813,0.625911171078682,0.3355098796784878,0.4262856758385897,0,0,0,0,1,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[0.0025],3,False,4,41a93_00002,2023-10-22_12-45-02,1697949902,594.6496729850769,2358.206758260727,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,2358.206758260727,4,58528,0.22957372665405273,1,1.2062044143676758,5.0,0.0014182399027049541,0.00018176062440034002,0.01987534947693348,0.009298249147832394,0.009762375615537167,0.013481862794152002,0.0014182399027049541,0.00018176062440034002,0.01987534947693348,0.009298249147832394,0.009762375615537167,0,0,0,0,0,594.4163608551025,2000,2357.2481501102448,8000.0,1.1991734713315965,0.29427913604676725,0.6258798539936542,0.33543421468138696,0.4262978855967522,0.542475009605758,1.1988594039082527,0.29427913604676725,0.6258798539936542,0.33543421468138696,0.4262856758385897,1,0,0,0,2,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[0.000625],4,False,5,41a93_00002,2023-10-22_12-54-51,1697950491,588.9243977069855,2947.1311559677124,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,2947.1311559677124,5,58528,0.23021650314331055,1,1.4364209175109863,6.0,0.000511805759742856,0.00010481879871804267,0.014023439958691597,0.0071410867385566235,0.007336492650210857,0.010238105230854128,0.000511805759742856,0.00010481879871804267,0.014023439958691597,0.0071410867385566235,0.007336492650210857,0,0,0,0,0,588.6905612945557,2000,2945.9387114048004,10000.0,1.1984567278623581,0.29416267448663713,0.6255934831798077,0.3352936209589243,0.42629414692521095,0.5423676561951654,1.1984567278623581,0.29416267448663713,0.6255934831798077,0.3352936209589243,0.4262856758385897,0,0,0,0,3,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[0.000625],5,False,6,41a93_00002,2023-10-22_13-04-36,1697951076,584.6746649742126,3531.805820941925,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,3531.805820941925,6,58528,0.24388718605041504,1,1.6803081035614014,7.0,0.0006673375028185546,9.91279084701091e-05,0.015136372298002243,0.007133177947252989,0.00694594020023942,0.009956299938737739,0.000511805759742856,9.91279084701091e-05,0.014023439958691597,0.007133177947252989,0.00694594020023942,1,0,1,0,0,584.4267737865448,2000,3530.365485191345,12000.0,1.1989431087970734,0.29422395512461663,0.6256677700579166,0.3353214855790138,0.4263414672613144,0.5424241468856421,1.1984567278623581,0.29416267448663713,0.6255934831798077,0.3352936209589243,0.4262856758385897,1,1,1,1,4,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[0.00015625],6,False,7,41a93_00002,2023-10-22_13-14-22,1697951662,586.427907705307,4118.233728647232,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,4118.233728647232,7,58528,0.23131656646728516,1,1.9116246700286865,8.0,0.00047826688387431204,5.4992986406432465e-05,0.010370365343987942,0.004931713920086622,0.0055381800048053265,0.007415725615638194,0.00047826688387431204,5.4992986406432465e-05,0.010370365343987942,0.004931713920086622,0.0055381800048053265,0,0,0,0,0,586.1922669410706,2000,4116.557752132416,14000.0,1.1985064747333527,0.2941737698465586,0.6255354764759541,0.33526065066456795,0.4263403371423483,0.5423778847321843,1.1984567278623581,0.29416267448663713,0.6255354764759541,0.33526065066456795,0.4262856758385897,2,2,0,0,5,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[0.00015625],7,False,8,41a93_00002,2023-10-22_13-24-04,1697952244,581.7757635116577,4700.00949215889,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,4700.00949215889,8,58528,0.2265465259552002,1,2.1381711959838867,9.0,0.0002688529493752867,5.5012464144965634e-05,0.0097677456215024,0.005026074126362801,0.0054544745944440365,0.007417038771974004,0.0002688529493752867,5.4992986406432465e-05,0.0097677456215024,0.004931713920086622,0.0054544745944440365,0,1,0,1,0,581.5452136993408,2000,4698.102965831757,16000.0,1.1986173105239868,0.29422377760708335,0.6255361203849316,0.3352508039176464,0.4264064199477434,0.5424239832521082,1.1984567278623581,0.29416267448663713,0.6255354764759541,0.3352508039176464,0.4262856758385897,3,3,1,0,6,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[3.90625e-05],8,False,9,41a93_00002,2023-10-22_13-33-50,1697952830,585.7628061771393,5285.772298336029,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,5285.772298336029,9,58528,0.22788310050964355,1,2.3660542964935303,10.0,0.00016378112195525318,3.166797250742093e-05,0.007406673394143581,0.003662476083263755,0.004272515885531902,0.0056274303645110465,0.00016378112195525318,3.166797250742093e-05,0.007406673394143581,0.003662476083263755,0.004272515885531902,0,0,0,0,0,585.5306839942932,2000,5283.63364982605,18000.0,1.1983251719474792,0.2942216595858336,0.6254898447394371,0.33523753920197485,0.4264167973101139,0.5424220308817053,1.1983251719474792,0.29416267448663713,0.6254898447394371,0.33523753920197485,0.4262856758385897,0,4,0,0,7,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
[3.90625e-05],9,False,10,41a93_00002,2023-10-22_13-43-30,1697953410,580.3577423095703,5866.130040645599,211136,sepc622.se.cuhk.edu.hk,137.189.58.22,5866.130040645599,10,58528,0.22367238998413086,1,2.589726686477661,11.0,9.803802095120773e-05,2.9868988349335268e-05,0.006493413355201483,0.0035217523109167814,0.004179281648248434,0.005465252816598265,9.803802095120773e-05,2.9868988349335268e-05,0.006493413355201483,0.0035217523109167814,0.004179281648248434,0,0,0,0,0,580.1299278736115,2000,5863.763577699661,20000.0,1.1981888720393181,0.2941893101632595,0.6254451011121273,0.33522980283200743,0.42638458213210106,0.5423922106402889,1.1981888720393181,0.29416267448663713,0.6254451011121273,0.33522980283200743,0.4262856758385897,0,5,0,0,8,0.2615799903869629,1,0.2615799903869629,1.0,1.0191659927368164,0.18893980979919434,0.7258478403091431,0.367045521736145,0.23284724354743958,0.4346720715656739
