lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,ecd0d_00001,2023-11-07_23-50-14,1699372214,600.7972354888916,600.7972354888916,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,600.7972354888916,1,72583,0.24698400497436523,1,0.48816537857055664,2.0,0.003414409002289176,0.0006691291928291321,0.033711206167936325,0.016856784000992775,0.01962094008922577,0.025867531633867426,0.003414409002289176,0.0006691291928291321,0.033711206167936325,0.016856784000992775,0.01962094008922577,0,0,0,0,0,0.23248767852783203,1,0.7692420482635498,2.0,0.0034494223073124886,0.0006611758726648986,0.033503834158182144,0.01677282340824604,0.019489776343107224,0.025713340363805296,0.0034494223073124886,0.0006611758726648986,0.033503834158182144,0.01677282340824604,0.019489776343107224,0,0,0,0,0,600.3135113716125,2000,600.3135113716125,2000.0,1.2143921349048614,0.3019936776906252,0.6312695516645909,0.33887677524983884,0.4269636222422123,0.549539514221339,1.2143921349048614,0.3019936776906252,0.6312695516645909,0.33887677524983884,0.4269636222422123,0,0,0,0,0,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[0.01],1,False,2,ecd0d_00001,2023-11-08_00-01-55,1699372915,701.6284153461456,1302.4256508350372,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,1302.4256508350372,2,72583,0.2809762954711914,1,0.769141674041748,3.0,0.002471054205670953,0.0004720808065030724,0.029219867661595345,0.014691111631691456,0.01600794307887554,0.021727420613203777,0.002471054205670953,0.0004720808065030724,0.029219867661595345,0.014691111631691456,0.01600794307887554,0,0,0,0,0,0.2622969150543213,1,1.031538963317871,3.0,0.0024432619102299213,0.0004832527774851769,0.029380030930042267,0.01481382641941309,0.016242090612649918,0.021983011110518435,0.0024432619102299213,0.0004832527774851769,0.029380030930042267,0.01481382641941309,0.016242090612649918,0,0,0,0,0,701.0804300308228,2000,1301.3939414024353,4000.0,1.201866836309433,0.2946631800085306,0.6271528268456459,0.33598337161540986,0.4262382182776928,0.5428288680685015,1.201866836309433,0.2946631800085306,0.6271528268456459,0.33598337161540986,0.4262382182776928,0,0,0,0,0,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[0.0025],2,False,3,ecd0d_00001,2023-11-08_00-13-13,1699373593,677.3988740444183,1979.8245248794556,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,1979.8245248794556,3,72583,0.27455592155456543,1,1.0436975955963135,4.0,0.00294309388846159,0.0004743971221614629,0.031251128762960434,0.015101969242095947,0.015694893896579742,0.021780659360117242,0.002471054205670953,0.0004720808065030724,0.029219867661595345,0.014691111631691456,0.015694893896579742,1,1,1,1,0,0.25370168685913086,1,1.285240650177002,4.0,0.0030613611452281475,0.0004662318096961826,0.03150737285614014,0.015145058743655682,0.015390287153422832,0.021592401665775453,0.0024432619102299213,0.0004662318096961826,0.029380030930042267,0.01481382641941309,0.015390287153422832,1,0,1,1,0,676.864287853241,2000,1978.2582292556763,6000.0,1.199656155228615,0.2943968673199415,0.6263573191761971,0.3356699531376362,0.42625787560641765,0.5425835118393679,1.199656155228615,0.2943968673199415,0.6263573191761971,0.3356699531376362,0.4262382182776928,0,0,0,0,1,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[0.0025],3,False,4,ecd0d_00001,2023-11-08_00-23-28,1699374208,614.7553951740265,2594.579920053482,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,2594.579920053482,4,72583,0.25214123725891113,1,1.2958388328552246,5.0,0.0015191215788945556,0.00026391720166429877,0.021381309255957603,0.010389399714767933,0.012489150278270245,0.016245528666814717,0.0015191215788945556,0.00026391720166429877,0.021381309255957603,0.010389399714767933,0.012489150278270245,0,0,0,0,0,0.2400074005126953,1,1.5252480506896973,5.0,0.0014928560703992844,0.0002629779919516295,0.021321171894669533,0.010339593514800072,0.012492882087826729,0.01621659618883166,0.0014928560703992844,0.0002629779919516295,0.021321171894669533,0.010339593514800072,0.012492882087826729,0,0,0,0,0,614.2566723823547,2000,2592.514901638031,8000.0,1.199686155438423,0.2942902936190367,0.6262822249233723,0.3356168352663517,0.4261649474054575,0.5424852934587597,1.199656155228615,0.2942902936190367,0.6262822249233723,0.3356168352663517,0.4261649474054575,1,0,0,0,0,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[0.000625],4,False,5,ecd0d_00001,2023-11-08_00-33-33,1699374813,605.6535227298737,3200.2334427833557,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,3200.2334427833557,5,72583,0.24125170707702637,1,1.537090539932251,6.0,0.0016339011490345001,0.00021299834770616144,0.01744401454925537,0.008276022039353848,0.012021105736494064,0.01459446291256247,0.0015191215788945556,0.00021299834770616144,0.01744401454925537,0.008276022039353848,0.012021105736494064,1,0,0,0,0,0.2341327667236328,1,1.75938081741333,6.0,0.0015293846372514963,0.00019014018471352756,0.017234761267900467,0.008142982609570026,0.011128030717372894,0.013789132848498037,0.0014928560703992844,0.00019014018471352756,0.017234761267900467,0.008142982609570026,0.011128030717372894,1,0,0,0,0,605.1738307476044,2000,3197.6887323856354,10000.0,1.1996052271723747,0.29441218765079974,0.6261504547297955,0.33556241911649703,0.4263745255768299,0.542597629603005,1.1996052271723747,0.2942902936190367,0.6261504547297955,0.33556241911649703,0.4261649474054575,0,1,0,0,1,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[0.000625],5,False,6,ecd0d_00001,2023-11-08_00-43-41,1699375421,607.1873834133148,3807.4208261966705,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,3807.4208261966705,6,72583,0.24603033065795898,1,1.78312087059021,7.0,0.001298854360356927,0.00019866472575813532,0.01937173865735531,0.00949658453464508,0.010415399447083473,0.014094847489708262,0.001298854360356927,0.00019866472575813532,0.01744401454925537,0.008276022039353848,0.010415399447083473,0,0,1,1,0,0.23707056045532227,1,1.9964513778686523,7.0,0.0012748789740726352,0.0001943616516655311,0.019315963611006737,0.009472353383898735,0.010229225270450115,0.013941364770549945,0.0012748789740726352,0.00019014018471352756,0.017234761267900467,0.008142982609570026,0.010229225270450115,0,1,1,1,0,606.7004501819611,2000,3804.3891825675964,12000.0,1.1993635931015014,0.29437266397476197,0.6260669145584107,0.3355339374542236,0.42635079702734946,0.5425612075837729,1.1993635931015014,0.2942902936190367,0.6260669145584107,0.3355339374542236,0.4261649474054575,0,2,0,0,2,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[0.00015625],6,False,7,ecd0d_00001,2023-11-08_00-53-53,1699376033,612.1128652095795,4419.53369140625,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,4419.53369140625,7,72583,0.24318790435791016,1,2.02630877494812,8.0,0.0009800830157473683,0.00014709380047861487,0.01623733900487423,0.007540466263890266,0.009499259293079376,0.012128223302636494,0.0009800830157473683,0.00014709380047861487,0.01623733900487423,0.007540466263890266,0.009499259293079376,0,0,0,0,0,0.2504444122314453,1,2.2468957901000977,8.0,0.0010228623868897557,0.00014801835641264915,0.01636362262070179,0.007586529012769461,0.00951123982667923,0.012166279481117025,0.0010228623868897557,0.00014801835641264915,0.01636362262070179,0.007586529012769461,0.00951123982667923,0,0,0,0,0,611.6142048835754,2000,4416.003387451172,14000.0,1.1994922971725464,0.2943698876798153,0.6259452819526196,0.33543979981541633,0.4264289370328188,0.5425586490692185,1.1993635931015014,0.2942902936190367,0.6259452819526196,0.33543979981541633,0.4261649474054575,1,3,0,0,3,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[0.00015625],7,False,8,ecd0d_00001,2023-11-08_01-04-07,1699376647,614.0191171169281,5033.552808523178,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,5033.552808523178,8,72583,0.2401714324951172,1,2.2664802074432373,9.0,0.0010282286675646901,0.00014497248048428446,0.014984122477471828,0.006934721022844315,0.009842912666499615,0.012040451838875667,0.0009800830157473683,0.00014497248048428446,0.014984122477471828,0.006934721022844315,0.009499259293079376,1,0,0,0,1,0.23574161529541016,1,2.482637405395508,9.0,0.0010628248564898968,0.0001433368888683617,0.015157257206737995,0.006945569533854723,0.009751756675541401,0.011972338487879538,0.0010228623868897557,0.0001433368888683617,0.015157257206737995,0.006945569533854723,0.00951123982667923,1,0,0,0,1,613.5360584259033,2000,5029.539445877075,16000.0,1.199447351872921,0.2944100728482008,0.6260277559161186,0.33548014277219773,0.42644381484389304,0.5425956808233925,1.1993635931015014,0.2942902936190367,0.6259452819526196,0.33543979981541633,0.4261649474054575,2,4,1,1,4,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[3.90625e-05],8,False,9,ecd0d_00001,2023-11-08_01-14-05,1699377245,598.5619821548462,5632.114790678024,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,5632.114790678024,9,72583,0.23694539070129395,1,2.5034255981445312,10.0,0.0008337140316143632,0.00011567923502298072,0.01254927646368742,0.005849319510161877,0.009025816805660725,0.010755428165488379,0.0008337140316143632,0.00011567923502298072,0.01254927646368742,0.005849319510161877,0.009025816805660725,0,0,0,0,0,0.2346487045288086,1,2.7172861099243164,10.0,0.0007943027303554118,0.00011828532296931371,0.012392077594995499,0.0058514331467449665,0.009167701937258244,0.010875905616053944,0.0007943027303554118,0.00011828532296931371,0.012392077594995499,0.0058514331467449665,0.009167701937258244,0,0,0,0,0,598.0860841274261,2000,5627.625530004501,18000.0,1.1987716153264045,0.29421626855432986,0.6258385665416718,0.335374074831605,0.42630357724428175,0.5424170614520988,1.1987716153264045,0.29421626855432986,0.6258385665416718,0.335374074831605,0.4261649474054575,0,0,0,0,5,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
[3.90625e-05],9,False,10,ecd0d_00001,2023-11-08_01-23-59,1699377839,593.211489200592,6225.326279878616,20608,sepc622.se.cuhk.edu.hk,137.189.58.22,6225.326279878616,10,72583,0.2451314926147461,1,2.7485570907592773,11.0,0.0008583823218941689,0.00011752972932299599,0.013010301627218723,0.006013738457113504,0.009020274505019188,0.010841112919022474,0.0008337140316143632,0.00011567923502298072,0.01254927646368742,0.005849319510161877,0.009020274505019188,1,1,1,1,0,0.2321622371673584,1,2.949448347091675,11.0,0.0008906896109692752,0.0001222877181135118,0.01299948152154684,0.006018013693392277,0.009277497418224812,0.011058377734257037,0.0007943027303554118,0.00011828532296931371,0.012392077594995499,0.0058514331467449665,0.009167701937258244,1,1,1,1,1,592.7300338745117,2000,6220.355563879013,20000.0,1.1992908438444139,0.2943486978858709,0.6258291667997837,0.33536484019458296,0.42646567441523076,0.542539121064897,1.1987716153264045,0.29421626855432986,0.6258291667997837,0.33536484019458296,0.4261649474054575,1,1,0,0,6,0.5367543697357178,1,0.5367543697357178,1.0,2.0168163776397705,0.16805440187454224,0.8659228086471558,0.32497674226760864,0.24989008903503418,0.40994438875845374,0.2411813735961914,1,0.2411813735961914,1.0,2.0111918449401855,0.16810928285121918,0.8651779294013977,0.32518771290779114,0.249725341796875,0.4100113203939852
