lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,47424_00001,2023-11-09_16-27-44,1699518464,670.3661346435547,670.3661346435547,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,670.3661346435547,1,76818,0.2683730125427246,1,0.908637523651123,2.0,0.0031484828796237707,0.0005866457941010594,0.03534688800573349,0.01727803610265255,0.01697402633726597,0.02422077195510208,0.0031484828796237707,0.0005866457941010594,0.03534688800573349,0.01727803610265255,0.01697402633726597,0,0,0,0,0,670.0922467708588,2000,670.0922467708588,2000.0,1.212926207959652,0.30097666661441325,0.6306259073913097,0.3384435741305351,0.42678491331636903,0.5486134036044081,1.212926207959652,0.30097666661441325,0.6306259073913097,0.3384435741305351,0.42678491331636903,0,0,0,0,0,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[0.01],1,False,2,47424_00001,2023-11-09_16-39-16,1699519156,691.4339299201965,1361.8000645637512,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,1361.8000645637512,2,76818,0.2505829334259033,1,1.1592204570770264,3.0,0.0022762881126254797,0.00040508853271603584,0.031229443848133087,0.014733688905835152,0.013711619190871716,0.020126811290317098,0.0022762881126254797,0.00040508853271603584,0.031229443848133087,0.014733688905835152,0.013711619190871716,0,0,0,0,0,691.1758568286896,2000,1361.2681035995483,4000.0,1.2003205556869507,0.2944397008568048,0.6264187510311604,0.3355737556964159,0.42628707748651506,0.5426229822416342,1.2003205556869507,0.2944397008568048,0.6264187510311604,0.3355737556964159,0.42628707748651506,0,0,0,0,0,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[0.0025],2,False,3,47424_00001,2023-11-09_16-50-12,1699519812,656.5842287540436,2018.3842933177948,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,2018.3842933177948,3,76818,0.24908685684204102,1,1.4083073139190674,4.0,0.0010256873210892081,0.00017628456407692283,0.018170727416872978,0.008972404524683952,0.00978679396212101,0.013277219741983742,0.0010256873210892081,0.00017628456407692283,0.018170727416872978,0.008972404524683952,0.00978679396212101,0,0,0,0,0,656.3310785293579,2000,2017.5991821289062,6000.0,1.199343610882759,0.2942974504083395,0.6259035252928734,0.3354366848170757,0.4263230605274439,0.5424918897166477,1.199343610882759,0.2942974504083395,0.6259035252928734,0.3354366848170757,0.42628707748651506,0,0,0,0,1,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[0.0025],3,False,4,47424_00001,2023-11-09_17-01-00,1699520460,648.092353105545,2666.47664642334,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,2666.47664642334,4,76818,0.24735164642333984,1,1.6556589603424072,5.0,0.0009997743181884289,0.00021359835227485746,0.019959216937422752,0.010156732052564621,0.010509045794606209,0.014615004354253797,0.0009997743181884289,0.00017628456407692283,0.018170727416872978,0.008972404524683952,0.00978679396212101,0,1,1,1,1,647.8411490917206,2000,2665.440331220627,8000.0,1.199414796590805,0.2943954762816429,0.6259579359591008,0.3354685740917921,0.42640083257853983,0.5425822299722346,1.199343610882759,0.2942974504083395,0.6259035252928734,0.3354366848170757,0.42628707748651506,1,1,1,1,2,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[0.000625],4,False,5,47424_00001,2023-11-09_17-11-37,1699521097,636.2362470626831,3302.712893486023,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,3302.712893486023,5,76818,0.25456833839416504,1,1.9102272987365723,6.0,0.00047189262113533914,9.877525735646486e-05,0.013464294373989105,0.006819905713200569,0.007229424547404051,0.009938574211448283,0.00047189262113533914,9.877525735646486e-05,0.013464294373989105,0.006819905713200569,0.007229424547404051,0,0,0,0,0,635.9773116111755,2000,3301.4176428318024,10000.0,1.1986221449375152,0.294288099616766,0.6257145116627216,0.3353551136553288,0.42639155372977255,0.5424832712782635,1.1986221449375152,0.294288099616766,0.6257145116627216,0.3353551136553288,0.42628707748651506,0,0,0,0,3,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[0.000625],5,False,6,47424_00001,2023-11-09_17-22-19,1699521739,642.4298651218414,3945.1427586078644,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,3945.1427586078644,6,76818,0.2505631446838379,1,2.16079044342041,7.0,0.0005653200787492096,9.393251821165904e-05,0.013036603108048439,0.006486318074166775,0.007201432250440121,0.009691878982512062,0.00047189262113533914,9.393251821165904e-05,0.013036603108048439,0.006486318074166775,0.007201432250440121,1,0,0,0,0,642.174902677536,2000,3943.5925455093384,12000.0,1.1993057307600976,0.29432706370949746,0.62577259516716,0.3353804842978716,0.42641539564728737,0.542519182803242,1.1986221449375152,0.294288099616766,0.6257145116627216,0.3353551136553288,0.42628707748651506,1,1,1,1,4,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[0.00015625],6,False,7,47424_00001,2023-11-09_17-32-56,1699522376,636.694260597229,4581.837019205093,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,4581.837019205093,7,76818,0.2481391429901123,1,2.4089295864105225,8.0,0.00048819504445418715,6.152837158879265e-05,0.010822903364896774,0.005035705398768187,0.006014178041368723,0.007844002268535665,0.00047189262113533914,6.152837158879265e-05,0.010822903364896774,0.005035705398768187,0.006014178041368723,2,0,0,0,0,636.441742181778,2000,4580.034287691116,14000.0,1.1988378258347512,0.2942496147453785,0.6256078915297985,0.33525622966885565,0.4264327076971531,0.5424477990971837,1.1986221449375152,0.2942496147453785,0.6256078915297985,0.33525622966885565,0.42628707748651506,2,0,0,0,5,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[0.00015625],7,False,8,47424_00001,2023-11-09_17-43-57,1699523037,661.1994853019714,5243.036504507065,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,5243.036504507065,8,76818,0.27022576332092285,1,2.6791553497314453,9.0,0.000305819878121838,6.296049832599238e-05,0.01011405885219574,0.005065924022346735,0.0061071449890732765,0.007934765171445994,0.000305819878121838,6.152837158879265e-05,0.01011405885219574,0.005035705398768187,0.006014178041368723,0,1,0,1,1,660.9236755371094,2000,5240.957963228226,16000.0,1.1991398488879204,0.294300260707736,0.6256206804215908,0.33526724377274514,0.42648288805782797,0.5424944798868796,1.1986221449375152,0.2942496147453785,0.6256078915297985,0.33525622966885565,0.42628707748651506,3,1,1,1,6,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[3.90625e-05],8,False,9,47424_00001,2023-11-09_17-54-50,1699523690,653.3551008701324,5896.391605377197,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,5896.391605377197,9,76818,0.24588513374328613,1,2.9250404834747314,10.0,0.0002429307933198288,4.9055295676225796e-05,0.008581581525504589,0.004273297265172005,0.0055492776446044445,0.0070039485774972534,0.0002429307933198288,4.9055295676225796e-05,0.008581581525504589,0.004273297265172005,0.0055492776446044445,0,0,0,0,0,653.1025357246399,2000,5894.060498952866,18000.0,1.1981820523142814,0.2941212610602379,0.6254307829141617,0.33517686021327975,0.42634730821847916,0.5423294764810759,1.1981820523142814,0.2941212610602379,0.6254307829141617,0.33517686021327975,0.42628707748651506,0,0,0,0,7,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[3.90625e-05],9,False,10,47424_00001,2023-11-09_18-05-28,1699524328,637.6865019798279,6534.078107357025,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,6534.078107357025,10,76818,0.24854159355163574,1,3.173582077026367,11.0,0.00023612727818544954,4.889376214123331e-05,0.00900761317461729,0.00447760010138154,0.005370763596147299,0.006992407463902065,0.00023612727818544954,4.889376214123331e-05,0.008581581525504589,0.004273297265172005,0.005370763596147299,0,0,1,1,0,637.4337642192841,2000,6531.49426317215,20000.0,1.1980703494548797,0.2941241104453802,0.6253812467753888,0.33514463129639627,0.42637572638690474,0.5423321034618734,1.1980703494548797,0.2941212610602379,0.6253812467753888,0.33514463129639627,0.42628707748651506,0,1,0,0,8,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[9.765625e-06],10,False,11,47424_00001,2023-11-09_18-16-10,1699524970,641.6613616943359,7175.739469051361,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,7175.739469051361,11,76818,0.24317598342895508,1,3.4167580604553223,12.0,0.0002207328798249364,4.518460627878085e-05,0.008491539396345615,0.004238065332174301,0.005217627622187138,0.006721949589128205,0.0002207328798249364,4.518460627878085e-05,0.008491539396345615,0.004238065332174301,0.005217627622187138,0,0,0,0,0,641.4141516685486,2000,7172.908414840698,22000.0,1.1983914081454277,0.2942375666797161,0.6255636033117771,0.3352601350694895,0.42641887916624543,0.5424366937069395,1.1980703494548797,0.2941212610602379,0.6253812467753888,0.33514463129639627,0.42628707748651506,1,2,1,1,9,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[9.765625e-06],11,False,12,47424_00001,2023-11-09_18-26-48,1699525608,637.6845881938934,7813.4240572452545,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,7813.4240572452545,12,76818,0.2465817928314209,1,3.663339853286743,13.0,0.00020502207917161286,4.1107097786152735e-05,0.008044861257076263,0.0040146177634596825,0.004999014548957348,0.00641148171534106,0.00020502207917161286,4.1107097786152735e-05,0.008044861257076263,0.0040146177634596825,0.004999014548957348,0,0,0,0,0,637.4337954521179,2000,7810.342210292816,24000.0,1.198207363128662,0.2941783629655838,0.6254912686645985,0.3352223185747862,0.42637912899255753,0.542382118958197,1.1980703494548797,0.2941212610602379,0.6253812467753888,0.33514463129639627,0.42628707748651506,2,3,2,2,10,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[2.44140625e-06],12,False,13,47424_00001,2023-11-09_18-37-22,1699526242,634.8842530250549,8448.30831027031,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,8448.30831027031,13,76818,0.24767541885375977,1,3.911015272140503,14.0,0.0002847437863238156,4.3215790356043726e-05,0.008680695667862892,0.004082691855728626,0.0051524401642382145,0.006573871793398752,0.00020502207917161286,4.1107097786152735e-05,0.008044861257076263,0.0040146177634596825,0.004999014548957348,1,1,1,1,1,634.6322066783905,2000,8444.974416971207,26000.0,1.1987888939976692,0.29430566769838334,0.6255947585105897,0.3352653905749321,0.42649414293467997,0.5424994633162169,1.1980703494548797,0.2941212610602379,0.6253812467753888,0.33514463129639627,0.42628707748651506,3,4,3,3,11,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[2.44140625e-06],13,False,14,47424_00001,2023-11-09_18-47-57,1699526877,634.9843242168427,9083.292634487152,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,9083.292634487152,14,76818,0.2457592487335205,1,4.156774520874023,15.0,0.00019913885626010597,4.119602817809209e-05,0.00791964866220951,0.003954305313527584,0.00505566131323576,0.006418413213411247,0.00019913885626010597,4.1107097786152735e-05,0.00791964866220951,0.003954305313527584,0.004999014548957348,0,2,0,0,2,634.7344217300415,2000,9079.708838701248,28000.0,1.1987142419219017,0.2943641781359911,0.6255669988393784,0.3352656408548355,0.42656247127056124,0.5425533873601667,1.1980703494548797,0.2941212610602379,0.6253812467753888,0.33514463129639627,0.42628707748651506,4,5,4,4,12,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[6.103515625e-07],14,False,15,47424_00001,2023-11-09_18-58-32,1699527512,634.3742709159851,9717.666905403137,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,9717.666905403137,15,76818,0.24838685989379883,1,4.405161380767822,16.0,0.0002841913665179163,4.2536314140306786e-05,0.008191547356545925,0.003980353474617004,0.005166558548808098,0.006521986977931402,0.00019913885626010597,4.1107097786152735e-05,0.00791964866220951,0.003954305313527584,0.004999014548957348,1,3,1,1,3,634.1216614246368,2000,9713.830500125885,30000.0,1.1977518174648285,0.2941024863272905,0.6254302319884301,0.33520805720984936,0.4263017006665468,0.5423121668626756,1.1977518174648285,0.2941024863272905,0.6253812467753888,0.33514463129639627,0.42628707748651506,0,0,5,5,13,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[6.103515625e-07],15,False,16,47424_00001,2023-11-09_19-09-13,1699528153,641.0245699882507,10358.691475391388,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,10358.691475391388,16,76818,0.25032782554626465,1,4.655489206314087,17.0,0.00022316802642308176,4.544719195109792e-05,0.00841414462774992,0.004181331489235163,0.0052880896255373955,0.0067414532521629135,0.00019913885626010597,4.1107097786152735e-05,0.00791964866220951,0.003954305313527584,0.004999014548957348,2,4,2,2,4,640.7699327468872,2000,10354.600432872772,32000.0,1.198155069053173,0.2941002376377583,0.6254679814577103,0.3351834804713726,0.42631816387176513,0.5423100936159664,1.1977518174648285,0.2941002376377583,0.6253812467753888,0.33514463129639627,0.42628707748651506,1,0,6,6,14,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[1.52587890625e-07],16,False,17,47424_00001,2023-11-09_19-20-36,1699528836,682.8667802810669,11041.558255672455,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,11041.558255672455,17,76818,0.2531430721282959,1,4.908632278442383,18.0,0.00021279668726492673,4.28272396675311e-05,0.008118273690342903,0.004005264025181532,0.005175454542040825,0.006544252414717139,0.00019913885626010597,4.1107097786152735e-05,0.00791964866220951,0.003954305313527584,0.004999014548957348,3,5,3,3,5,682.6092932224274,2000,11037.2097260952,34000.0,1.198363954782486,0.29413892203569414,0.6254958683252334,0.3351955365538597,0.4263535407483578,0.5423457587514575,1.1977518174648285,0.2941002376377583,0.6253812467753888,0.33514463129639627,0.42628707748651506,2,1,7,7,15,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[1.52587890625e-07],17,False,18,47424_00001,2023-11-09_19-31-11,1699529471,635.3289203643799,11676.887176036835,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,11676.887176036835,18,76818,0.24578022956848145,1,5.154412508010864,19.0,0.0002679797471500933,4.586872455547564e-05,0.00843384675681591,0.004039490129798651,0.005436128005385399,0.0067726453144599,0.00019913885626010597,4.1107097786152735e-05,0.00791964866220951,0.003954305313527584,0.004999014548957348,4,6,4,4,6,635.0790417194366,2000,11672.288767814636,36000.0,1.1989663029909134,0.2942424820512533,0.6256023274660111,0.33526066996157167,0.42642447973787784,0.5424412245130834,1.1977518174648285,0.2941002376377583,0.6253812467753888,0.33514463129639627,0.42628707748651506,3,2,8,8,16,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[3.814697265625e-08],18,False,19,47424_00001,2023-11-09_19-41-47,1699530107,635.6847515106201,12312.571927547455,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,12312.571927547455,19,76818,0.24756956100463867,1,5.401982069015503,20.0,0.00040274570346809924,4.7892259317450225e-05,0.009495805017650127,0.004353996831923723,0.005379145964980125,0.006920423348137758,0.00019913885626010597,4.1107097786152735e-05,0.00791964866220951,0.003954305313527584,0.004999014548957348,5,7,5,5,7,635.4330019950867,2000,12307.721769809723,38000.0,1.1979297664165496,0.2942475312203169,0.6254638929367066,0.33524859403073787,0.4264396856427193,0.5424458786093935,1.1977518174648285,0.2941002376377583,0.6253812467753888,0.33514463129639627,0.42628707748651506,4,3,9,9,17,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[3.814697265625e-08],19,False,20,47424_00001,2023-11-09_19-52-22,1699530742,634.9336626529694,12947.505590200424,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,12947.505590200424,20,76818,0.24837517738342285,1,5.650357246398926,21.0,0.00021606346126645803,4.198837268631905e-05,0.00777361961081624,0.003907667472958565,0.005169016309082508,0.006479843569587081,0.00019913885626010597,4.1107097786152735e-05,0.00777361961081624,0.003907667472958565,0.004999014548957348,6,8,0,0,8,634.6809339523315,2000,12942.402703762054,40000.0,1.1979565401673318,0.29431881015002725,0.6254255649149418,0.3352429113388061,0.4265277449041605,0.5425115760516335,1.1977518174648285,0.2941002376377583,0.6253812467753888,0.33514463129639627,0.42628707748651506,5,4,10,10,18,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
[9.5367431640625e-09],20,False,21,47424_00001,2023-11-09_20-02-57,1699531377,635.1757371425629,13582.681327342987,340525,sepc622.se.cuhk.edu.hk,137.189.58.22,13582.681327342987,21,76818,0.247969388961792,1,5.898326635360718,22.0,0.00019951454305555671,4.063142114318907e-05,0.00790405087172985,0.003913382533937693,0.005031607113778591,0.006374278088002521,0.00019913885626010597,4.063142114318907e-05,0.00777361961081624,0.003907667472958565,0.004999014548957348,7,0,1,1,9,634.9236006736755,2000,13577.32630443573,42000.0,1.1983096111416818,0.2942550226598978,0.6254620008468628,0.3352065559178591,0.4264814511090517,0.5424527838069391,1.1977518174648285,0.2941002376377583,0.6253812467753888,0.33514463129639627,0.42628707748651506,6,5,11,11,19,0.6402645111083984,1,0.6402645111083984,1.0,1.9280388355255127,0.15841680765151978,0.8494501113891602,0.32134193181991577,0.2348545789718628,0.39801608968924834
