lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,63da6_00010,2023-11-10_19-01-08,1699614068,670.7283720970154,670.7283720970154,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,670.7283720970154,1,55728,0.2517728805541992,1,0.8493621349334717,2.0,0.001990686170756817,0.0003944898780900985,0.02710130251944065,0.013711338862776756,0.014369786716997623,0.019861769258807196,0.001990686170756817,0.0003944898780900985,0.02710130251944065,0.013711338862776756,0.014369786716997623,0,0,0,0,0,670.4710626602173,2000,670.4710626602173,2000.0,1.2153006335496903,0.3024470871984959,0.6312937000393868,0.3389981280714273,0.42700339953601363,0.5499518953494895,1.2153006335496903,0.3024470871984959,0.6312937000393868,0.3389981280714273,0.42700339953601363,0,0,0,0,0,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[0.01],1,False,2,63da6_00010,2023-11-10_19-12-06,1699614726,657.7525954246521,1328.4809675216675,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,1328.4809675216675,2,55728,0.2534363269805908,1,1.1027984619140625,3.0,0.0016311312792822719,0.00029871598235331476,0.023969633504748344,0.011809390969574451,0.01261964999139309,0.017283401932296626,0.0016311312792822719,0.00029871598235331476,0.023969633504748344,0.011809390969574451,0.01261964999139309,0,0,0,0,0,657.4946942329407,2000,1327.965756893158,4000.0,1.200484119772911,0.29441383862495424,0.6264958576858044,0.33564664515852927,0.42620342314243315,0.5425991509622496,1.200484119772911,0.29441383862495424,0.6264958576858044,0.33564664515852927,0.42620342314243315,0,0,0,0,0,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[0.0025],2,False,3,63da6_00010,2023-11-10_19-22-45,1699615365,638.5920872688293,1967.0730547904968,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,1967.0730547904968,3,55728,0.28711867332458496,1,1.3899171352386475,4.0,0.0011259184684604406,0.00022749436902813613,0.02082698978483677,0.010456208139657974,0.010870283469557762,0.015082916462943635,0.0011259184684604406,0.00022749436902813613,0.02082698978483677,0.010456208139657974,0.010870283469557762,0,0,0,0,0,638.2979004383087,2000,1966.2636573314667,6000.0,1.1990963400006294,0.29434507624804973,0.6259754062891006,0.3355258048325777,0.42630985532701016,0.542535783380276,1.1990963400006294,0.29434507624804973,0.6259754062891006,0.3355258048325777,0.42620342314243315,0,0,0,0,1,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[0.0025],3,False,4,63da6_00010,2023-11-10_19-34-27,1699616067,702.143518447876,2669.216573238373,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,2669.216573238373,4,55728,0.2650887966156006,1,1.655005931854248,5.0,0.0010184452403336763,0.0002212086255894974,0.02090311236679554,0.010516976937651634,0.010516784153878689,0.014873083930022629,0.0010184452403336763,0.0002212086255894974,0.02082698978483677,0.010456208139657974,0.010516784153878689,0,0,1,1,0,701.8681976795197,2000,2668.1318550109863,8000.0,1.1989303065538406,0.29425224640965464,0.6258535994291305,0.3354066492319107,0.42628813652694225,0.5424502248221994,1.1989303065538406,0.29425224640965464,0.6258535994291305,0.3354066492319107,0.42620342314243315,0,0,0,0,2,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[0.000625],4,False,5,63da6_00010,2023-11-10_19-46-21,1699616781,714.6119904518127,3383.8285636901855,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,3383.8285636901855,5,55728,0.2973511219024658,1,1.9523570537567139,6.0,0.000520236964803189,0.00010640350228641182,0.013667171820998192,0.006950704846531153,0.007621790282428265,0.010315207331237303,0.000520236964803189,0.00010640350228641182,0.013667171820998192,0.006950704846531153,0.007621790282428265,0,0,0,0,0,714.3066244125366,2000,3382.438479423523,10000.0,1.1986070427894593,0.29419217535853387,0.6256619406044484,0.3353357850462198,0.42629334250092504,0.5423948518916214,1.1986070427894593,0.29419217535853387,0.6256619406044484,0.3353357850462198,0.42620342314243315,0,0,0,0,3,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[0.000625],5,False,6,63da6_00010,2023-11-10_19-58-23,1699617503,721.2447285652161,4105.073292255402,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,4105.073292255402,6,55728,0.2621617317199707,1,2.2145187854766846,7.0,0.0004923056112602353,9.10099406610243e-05,0.012145170010626316,0.006307150237262249,0.007157528307288885,0.009539913032152039,0.0004923056112602353,9.10099406610243e-05,0.012145170010626316,0.006307150237262249,0.007157528307288885,0,0,0,0,0,720.9707942008972,2000,4103.40927362442,12000.0,1.1987426646351815,0.2941904534399509,0.6256464913487434,0.3352961845844984,0.4263226068764925,0.5423932645599049,1.1986070427894593,0.2941904534399509,0.6256464913487434,0.3352961845844984,0.42620342314243315,1,0,0,0,4,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[0.00015625],6,False,7,63da6_00010,2023-11-10_20-10-14,1699618214,711.2487564086914,4816.322048664093,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,4816.322048664093,7,55728,0.28778958320617676,1,2.5023083686828613,8.0,0.00040121222264133394,6.308269075816497e-05,0.010344191454350948,0.005066791549324989,0.006116423290222883,0.007942461253173664,0.00040121222264133394,6.308269075816497e-05,0.010344191454350948,0.005066791549324989,0.006116423290222883,0,0,0,0,0,710.951822757721,2000,4814.361096382141,14000.0,1.1983085859417915,0.29414068481326106,0.6255476031303405,0.3352573574334383,0.42630398339033126,0.5423473838908611,1.1983085859417915,0.29414068481326106,0.6255476031303405,0.3352573574334383,0.42620342314243315,0,0,0,0,5,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[0.00015625],7,False,8,63da6_00010,2023-11-10_20-22-06,1699618926,712.2087850570679,5528.530833721161,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,5528.530833721161,8,55728,0.2686614990234375,1,2.770969867706299,9.0,0.0004319250292610377,6.078453588997945e-05,0.010404766537249088,0.004959097132086754,0.006015994120389223,0.007796443797654123,0.00040121222264133394,6.078453588997945e-05,0.010344191454350948,0.004959097132086754,0.006015994120389223,1,0,1,0,0,711.9315187931061,2000,5526.292615175247,16000.0,1.1986095024347305,0.2942548732161522,0.6256116037070751,0.3353017552793026,0.4264023774266243,0.5424526460587616,1.1983085859417915,0.29414068481326106,0.6255476031303405,0.3352573574334383,0.42620342314243315,1,1,1,1,6,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[3.90625e-05],8,False,9,63da6_00010,2023-11-10_20-33-52,1699619632,705.5644648075104,6234.095298528671,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,6234.095298528671,9,55728,0.29734110832214355,1,3.0683109760284424,10.0,0.00048638181760907173,5.539502308238298e-05,0.01033923588693142,0.0046990858390927315,0.005771819036453962,0.007442783288688646,0.00040121222264133394,5.539502308238298e-05,0.01033923588693142,0.0046990858390927315,0.005771819036453962,2,0,0,0,0,705.2604336738586,2000,6231.553048849106,18000.0,1.1979001902341844,0.2941013141274452,0.6253568335473537,0.3351865917593241,0.42631586579978464,0.5423110861188855,1.1979001902341844,0.2941013141274452,0.6253568335473537,0.3351865917593241,0.42620342314243315,0,0,0,0,7,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
[3.90625e-05],9,False,10,63da6_00010,2023-11-10_20-45-54,1699620354,722.3311159610748,6956.426414489746,162969,sepc622.se.cuhk.edu.hk,137.189.58.22,6956.426414489746,10,55728,0.2657806873321533,1,3.3340916633605957,11.0,0.00023153467918746173,5.224072083365172e-05,0.008698507212102413,0.004514199681580067,0.0056447312235832214,0.00722777426554342,0.00023153467918746173,5.224072083365172e-05,0.008698507212102413,0.004514199681580067,0.0056447312235832214,0,0,0,0,0,722.0547759532928,2000,6953.607824802399,20000.0,1.1984128974080086,0.2941920305788517,0.6255107121169567,0.33523562401533125,0.42638309559226034,0.5423947184282418,1.1979001902341844,0.2941013141274452,0.6253568335473537,0.3351865917593241,0.42620342314243315,1,1,1,1,8,0.5975892543792725,1,0.5975892543792725,1.0,11.822820663452148,6.603013515472412,2.866037607192993,1.994350552558899,1.6203707456588745,2.5696329534531603
