lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,01600_00004,2023-11-24_09-15-33,1700788533,1140.0017461776733,1140.0017461776733,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,1140.0017461776733,1,49129,0.41990017890930176,1,0.8837735652923584,2.0,0.00322699174284935,0.0007203419227153063,0.037849586457014084,0.019060790538787842,0.01889527030289173,0.026839186327370403,0.00322699174284935,0.0007203419227153063,0.037849586457014084,0.019060790538787842,0.01889527030289173,0,0,0,0,0,0.4049804210662842,1,1.2755553722381592,2.0,0.0032613149378448725,0.0007184213609434664,0.03793641924858093,0.01909223385155201,0.018812518566846848,0.026803383386122478,0.0032613149378448725,0.0007184213609434664,0.03793641924858093,0.01909223385155201,0.018812518566846848,0,0,0,0,0,1139.171092748642,2000,1139.171092748642,2000.0,1.2060845636725426,0.3011721493601799,0.6341882482767105,0.34057683223485946,0.42540244629979135,0.5487915354305128,1.2060845636725426,0.3011721493601799,0.6341882482767105,0.34057683223485946,0.42540244629979135,0,0,0,0,0,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[0.01],1,False,2,01600_00004,2023-11-24_09-34-05,1700789645,1112.0478212833405,2252.049567461014,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,2252.049567461014,2,49129,0.40474891662597656,1,1.288522481918335,3.0,0.002195432549342513,0.00048555133980698884,0.031011568382382393,0.015484706498682499,0.015677284449338913,0.022035229515641283,0.002195432549342513,0.00048555133980698884,0.031011568382382393,0.015484706498682499,0.015677284449338913,0,0,0,0,0,0.42754459381103516,1,1.7030999660491943,3.0,0.0021690167486667633,0.0004820454923901707,0.03080901689827442,0.01539628952741623,0.015652531757950783,0.02195553443645066,0.0021690167486667633,0.0004820454923901707,0.03080901689827442,0.01539628952741623,0.015652531757950783,0,0,0,0,0,1111.2096602916718,2000,2250.3807530403137,4000.0,1.1915388275384904,0.29407452315092086,0.628763570278883,0.33688658870756627,0.4248183527290821,0.542286384810573,1.1915388275384904,0.29407452315092086,0.628763570278883,0.33688658870756627,0.4248183527290821,0,0,0,0,0,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[0.0025],2,False,3,01600_00004,2023-11-24_09-50-10,1700790610,965.33447432518,3217.384041786194,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,3217.384041786194,3,49129,0.40938591957092285,1,1.6979084014892578,4.0,0.0011043454287573695,0.0002691711997613311,0.021977664902806282,0.011313851922750473,0.011881462298333645,0.016406437753556713,0.0011043454287573695,0.0002691711997613311,0.021977664902806282,0.011313851922750473,0.011881462298333645,0,0,0,0,0,0.4075279235839844,1,2.1106278896331787,4.0,0.0011157587869092822,0.0002715554728638381,0.021983012557029724,0.011310510337352753,0.011984528973698616,0.016478940283399236,0.0011157587869092822,0.0002715554728638381,0.021983012557029724,0.011310510337352753,0.011984528973698616,0,0,0,0,0,964.5085473060608,2000,3214.8893003463745,6000.0,1.1894545509815215,0.2937666203826666,0.6278557463586331,0.33648187574744226,0.4248730819374323,0.5420024173217926,1.1894545509815215,0.2937666203826666,0.6278557463586331,0.33648187574744226,0.4248183527290821,0,0,0,0,1,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[0.0025],3,False,4,01600_00004,2023-11-24_10-06-03,1700791563,952.8205301761627,4170.204571962357,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,4170.204571962357,4,49129,0.4019484519958496,1,2.0998568534851074,5.0,0.0010201213881373405,0.0002742494980338961,0.021689312532544136,0.011499817483127117,0.011916580609977245,0.01656048000614403,0.0010201213881373405,0.0002691711997613311,0.021689312532544136,0.011313851922750473,0.011881462298333645,0,1,0,1,1,0.43244051933288574,1,2.5430684089660645,5.0,0.0010082211811095476,0.00026796359452418983,0.021660342812538147,0.011464793235063553,0.011684315279126167,0.016369593596793717,0.0010082211811095476,0.00026796359452418983,0.021660342812538147,0.011310510337352753,0.011684315279126167,0,0,0,1,0,951.9793996810913,2000,4166.868700027466,8000.0,1.18910982465744,0.29366077843308447,0.6278169463574886,0.33644720298051833,0.424760498046875,0.5419047687860704,1.18910982465744,0.29366077843308447,0.6278169463574886,0.33644720298051833,0.424760498046875,0,0,0,0,0,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[0.000625],4,False,5,01600_00004,2023-11-24_10-22-12,1700792532,969.1851623058319,5139.3897342681885,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,5139.3897342681885,5,49129,0.4238572120666504,1,2.523714065551758,6.0,0.0008348154951818287,0.00016009276441764086,0.017303308472037315,0.008626124821603298,0.009256535209715366,0.012652776944909796,0.0008348154951818287,0.00016009276441764086,0.017303308472037315,0.008626124821603298,0.009256535209715366,0,0,0,0,0,0.4296092987060547,1,2.972677707672119,6.0,0.0008501854026690125,0.00016366869385819882,0.01743544079363346,0.00868678092956543,0.00939197838306427,0.012793306603775227,0.0008501854026690125,0.00016366869385819882,0.01743544079363346,0.00868678092956543,0.00939197838306427,0,0,0,0,0,968.3232066631317,2000,5135.1919066905975,10000.0,1.188503079354763,0.2935678474903107,0.6276007629930973,0.3363447014093399,0.4247660899162293,0.5418190172837335,1.188503079354763,0.2935678474903107,0.6276007629930973,0.3363447014093399,0.424760498046875,0,0,0,0,1,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[0.000625],5,False,6,01600_00004,2023-11-24_10-38-10,1700793490,957.2619507312775,6096.651684999466,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,6096.651684999466,6,49129,0.4118971824645996,1,2.9356112480163574,7.0,0.0005167059716768563,0.00011733317660400644,0.01463514193892479,0.007427521049976349,0.00788451824337244,0.010832043971661418,0.0005167059716768563,0.00011733317660400644,0.01463514193892479,0.007427521049976349,0.00788451824337244,0,0,0,0,0,0.41226696968078613,1,3.3849446773529053,7.0,0.0005194140248931944,0.0001181922634714283,0.014591652899980545,0.007432523183524609,0.007934127934277058,0.010871626532926355,0.0005194140248931944,0.0001181922634714283,0.014591652899980545,0.007432523183524609,0.007934127934277058,0,0,0,0,0,956.4356634616852,2000,6091.627570152283,12000.0,1.1888578181266785,0.2936012796163559,0.6275588760077954,0.3363040323853493,0.42483548675477506,0.5418498681520149,1.188503079354763,0.2935678474903107,0.6275588760077954,0.3363040323853493,0.424760498046875,1,1,0,0,2,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[0.00015625],6,False,7,01600_00004,2023-11-24_10-54-02,1700794442,952.2400031089783,7048.891688108444,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,7048.891688108444,7,49129,0.44369053840637207,1,3.3793017864227295,8.0,0.00034681346733123064,7.549001020379364e-05,0.011831426993012428,0.00587475998327136,0.006401370745152235,0.008688498731299536,0.00034681346733123064,7.549001020379364e-05,0.011831426993012428,0.00587475998327136,0.006401370745152235,0,0,0,0,0,0.4123823642730713,1,3.7973270416259766,8.0,0.000342926214216277,7.745591574348509e-05,0.011792237870395184,0.005891415756195784,0.0065381573513150215,0.008800904257147961,0.000342926214216277,7.745591574348509e-05,0.011792237870395184,0.005891415756195784,0.0065381573513150215,0,0,0,0,0,951.3784260749817,2000,7043.005996227264,14000.0,1.1887635444402695,0.2936708261072636,0.6275483683943749,0.33629599441587926,0.4249306471347809,0.5419140394077862,1.188503079354763,0.2935678474903107,0.6275483683943749,0.33629599441587926,0.424760498046875,2,2,0,0,3,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[0.00015625],7,False,8,01600_00004,2023-11-24_11-10-22,1700795422,979.6109766960144,8028.502664804459,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,8028.502664804459,8,49129,0.41825175285339355,1,3.797553539276123,9.0,0.00029682955937460065,7.927614205982536e-05,0.011328700929880142,0.0059803021140396595,0.006596400402486324,0.008903715070678383,0.00029682955937460065,7.549001020379364e-05,0.011328700929880142,0.00587475998327136,0.006401370745152235,0,1,0,1,1,0.39723753929138184,1,4.194564580917358,9.0,0.0002907379239331931,7.488621486118063e-05,0.011283292435109615,0.005937651265412569,0.006295303348451853,0.008653682156237345,0.0002907379239331931,7.488621486118063e-05,0.011283292435109615,0.005891415756195784,0.006295303348451853,0,0,0,1,0,978.7907156944275,2000,8021.796711921692,16000.0,1.188354498207569,0.2935488740205765,0.6274516443610192,0.3362667330354452,0.42481091211736205,0.5418015079533984,1.188354498207569,0.2935488740205765,0.6274516443610192,0.3362667330354452,0.424760498046875,0,0,0,0,4,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[3.90625e-05],8,False,9,01600_00004,2023-11-24_11-26-29,1700796389,967.8043222427368,8996.306987047195,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,8996.306987047195,9,49129,0.4223461151123047,1,4.219899654388428,10.0,nan,nan,nan,nan,nan,nan,0.00029682955937460065,7.549001020379364e-05,0.011328700929880142,0.00587475998327136,0.006401370745152235,1,2,1,2,2,0.3957200050354004,1,4.590284585952759,10.0,0.000272655684966594,6.082420441089198e-05,0.010381574742496014,0.0051853833720088005,0.005825486034154892,0.007798987396508086,0.000272655684966594,6.082420441089198e-05,0.010381574742496014,0.0051853833720088005,0.005825486034154892,0,0,0,0,0,966.980660200119,2000,8988.777372121811,18000.0,1.1882418981194496,0.29354222179949285,0.6273959538638592,0.3362402953356504,0.4248275963664055,0.541795368935074,1.1882418981194496,0.29354222179949285,0.6273959538638592,0.3362402953356504,0.424760498046875,0,0,0,0,5,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
[3.90625e-05],9,False,10,01600_00004,2023-11-24_11-44-48,1700797488,1098.8084692955017,10095.115456342697,413100,sepc622.se.cuhk.edu.hk,137.189.58.22,10095.115456342697,10,49129,0.5352623462677002,1,4.755162000656128,11.0,0.00026261070161126554,6.077249418012798e-05,0.010379543527960777,0.005235372111201286,0.005776128266006708,0.007795671502835915,0.00026261070161126554,6.077249418012798e-05,0.010379543527960777,0.005235372111201286,0.005776128266006708,0,0,0,0,0,0.4847900867462158,1,5.075074672698975,11.0,0.0002702685887925327,6.0865651903441176e-05,0.010362351313233376,0.005210659001022577,0.0058064586482942104,0.007801644179494549,0.0002702685887925327,6.082420441089198e-05,0.010362351313233376,0.0051853833720088005,0.0058064586482942104,0,1,0,1,0,1097.7562773227692,2000,10086.53364944458,20000.0,1.188726136982441,0.29361647449433803,0.6274158786535263,0.336226465344429,0.42492530795931815,0.5418638892695637,1.1882418981194496,0.29354222179949285,0.6273959538638592,0.336226465344429,0.424760498046875,1,1,1,0,6,0.870574951171875,1,0.870574951171875,1.0,1.8576555252075195,0.15579889714717865,0.8405815362930298,0.3222590386867523,0.22792203724384308,0.39471369009343804,0.46387338638305664,1,0.46387338638305664,1.0,1.8300082683563232,0.15548452734947205,0.8370857238769531,0.32189005613327026,0.22775369882583618,0.39431526390627086
