lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,6ab00_00000,2023-11-26_15-53-04,1700985184,1028.93119597435,1028.93119597435,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,1028.93119597435,1,16271,0.47629284858703613,1,0.9215028285980225,2.0,0.0027705614920705557,0.0005739021580666304,0.03336401656270027,0.016682380810379982,0.017193101346492767,0.023956255092702414,0.0027705614920705557,0.0005739021580666304,0.03336401656270027,0.016682380810379982,0.017193101346492767,0,0,0,0,0,0.47307515144348145,1,1.1845502853393555,2.0,0.002760919975116849,0.0005684479838237166,0.03320831060409546,0.016598427668213844,0.01711556874215603,0.023842147215041614,0.002760919975116849,0.0005684479838237166,0.03320831060409546,0.016598427668213844,0.01711556874215603,0,0,0,0,0,1027.9676532745361,2000,1027.9676532745361,2000.0,1.196549886763096,0.29460503329336646,0.6306532561779022,0.3378930469155312,0.4242821611464024,0.5427753064513589,1.196549886763096,0.29460503329336646,0.6306532561779022,0.3378930469155312,0.4242821611464024,0,0,0,0,0,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[0.01],1,False,2,6ab00_00000,2023-11-26_16-09-52,1700986192,1008.0822758674622,2037.0134718418121,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,2037.0134718418121,2,16271,0.45705342292785645,1,1.378556251525879,3.0,0.00252960785292089,0.0005261185579001904,0.033352676779031754,0.016711141914129257,0.015711726620793343,0.022937274421783213,0.00252960785292089,0.0005261185579001904,0.033352676779031754,0.016682380810379982,0.015711726620793343,0,0,0,1,0,0.4624519348144531,1,1.6470022201538086,3.0,0.002468532882630825,0.0005280812620185316,0.03331577032804489,0.016735343262553215,0.015748385339975357,0.02298001875583507,0.002468532882630825,0.0005280812620185316,0.03320831060409546,0.016598427668213844,0.015748385339975357,0,0,1,1,0,1007.151896238327,2000,2035.1195495128632,4000.0,1.190194446206093,0.29369939140975476,0.6284423540830613,0.3367922451198101,0.42449505335092547,0.5419403947019956,1.190194446206093,0.29369939140975476,0.6284423540830613,0.3367922451198101,0.4242821611464024,0,0,0,0,1,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[0.0025],2,False,3,6ab00_00000,2023-11-26_16-26-35,1700987195,1002.7192068099976,3039.7326786518097,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,3039.7326786518097,3,16271,0.4551703929901123,1,1.8337266445159912,4.0,0.0010689880000427365,0.00018593561253510416,0.019126582890748978,0.009494048543274403,0.009787719696760178,0.013635820933669676,0.0010689880000427365,0.00018593561253510416,0.019126582890748978,0.009494048543274403,0.009787719696760178,0,0,0,0,0,0.46320676803588867,1,2.1102089881896973,4.0,0.0010291734943166375,0.00018518661090638489,0.019113745540380478,0.009533383883535862,0.009710920974612236,0.01360832873303643,0.0010291734943166375,0.00018518661090638489,0.019113745540380478,0.009533383883535862,0.009710920974612236,0,0,0,0,0,1001.7915573120117,2000,3036.911106824875,6000.0,1.189069871544838,0.2936460516899824,0.6278575209081173,0.3365697123557329,0.4246713775843382,0.5418911806718969,1.189069871544838,0.2936460516899824,0.6278575209081173,0.3365697123557329,0.4242821611464024,0,0,0,0,2,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[0.0025],3,False,4,6ab00_00000,2023-11-26_16-43-32,1700988212,1017.0733788013458,4056.8060574531555,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,4056.8060574531555,4,16271,0.4599640369415283,1,2.2936906814575195,5.0,0.0011146655306220055,0.00018704045214690268,0.019065212458372116,0.00957457534968853,0.009765693917870522,0.013676273328173238,0.0010689880000427365,0.00018593561253510416,0.019065212458372116,0.009494048543274403,0.009765693917870522,1,1,0,1,0,0.44214415550231934,1,2.5523531436920166,5.0,0.0010319106513634324,0.00018538281437940896,0.019067946821451187,0.009555843658745289,0.009698941372334957,0.013615535772763735,0.0010291734943166375,0.00018518661090638489,0.019067946821451187,0.009533383883535862,0.009698941372334957,1,1,0,1,0,1016.1611216068268,2000,4053.0722284317017,8000.0,1.1886899620890616,0.293535626411438,0.6278011283278465,0.3365079038888216,0.42458587051928043,0.5417892822965752,1.1886899620890616,0.293535626411438,0.6278011283278465,0.3365079038888216,0.4242821611464024,0,0,0,0,3,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[0.000625],4,False,5,6ab00_00000,2023-11-26_17-00-44,1700989244,1031.7792160511017,5088.585273504257,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,5088.585273504257,5,16271,0.46188902854919434,1,2.755579710006714,6.0,0.0004256208776496351,9.284487896366045e-05,0.012884003110229969,0.006576532032340765,0.007042337208986282,0.00963560475339563,0.0004256208776496351,9.284487896366045e-05,0.012884003110229969,0.006576532032340765,0.007042337208986282,0,0,0,0,0,0.4512495994567871,1,3.0036027431488037,6.0,0.0004079852078575641,9.410920029040426e-05,0.012905525974929333,0.006623538676649332,0.007087902165949345,0.009700989655205506,0.0004079852078575641,9.410920029040426e-05,0.012905525974929333,0.006623538676649332,0.007087902165949345,0,0,0,0,0,1030.8483591079712,2000,5083.920587539673,10000.0,1.1888177277445793,0.2936276470273733,0.6277086422741414,0.33644934080541133,0.4247580819129944,0.541874198525242,1.1886899620890616,0.293535626411438,0.6277086422741414,0.33644934080541133,0.4242821611464024,1,1,0,0,4,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[0.000625],5,False,6,6ab00_00000,2023-11-26_17-18-16,1700990296,1052.4579100608826,6141.04318356514,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,6141.04318356514,6,16271,0.4766538143157959,1,3.2322335243225098,7.0,0.0006062320899218321,0.00011839030776172876,0.01523625385016203,0.007593877147883177,0.007792550604790449,0.010880731030667414,0.0004256208776496351,9.284487896366045e-05,0.012884003110229969,0.006576532032340765,0.007042337208986282,1,1,1,1,1,0.4368171691894531,1,3.440419912338257,7.0,0.0006470876978710294,0.00011684458877425641,0.015190068632364273,0.007570084650069475,0.00771614583209157,0.010809467552763938,0.0004079852078575641,9.410920029040426e-05,0.012905525974929333,0.006623538676649332,0.007087902165949345,1,1,1,1,1,1051.520503282547,2000,6135.44109082222,12000.0,1.1886963405013085,0.2935713655799627,0.6276644960939884,0.336429342225194,0.42470528188347817,0.5418222638282435,1.1886899620890616,0.293535626411438,0.6276644960939884,0.336429342225194,0.4242821611464024,2,2,0,0,5,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[0.00015625],6,False,7,6ab00_00000,2023-11-26_17-36-36,1700991396,1099.4544990062714,7240.497682571411,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,7240.497682571411,7,16271,0.5163154602050781,1,3.748548984527588,8.0,0.00028182181995362043,6.329319148790091e-05,0.010289539583027363,0.00522480858489871,0.005999571643769741,0.007955701822460474,0.00028182181995362043,6.329319148790091e-05,0.010289539583027363,0.00522480858489871,0.005999571643769741,0,0,0,0,0,0.5895049571990967,1,4.0299248695373535,8.0,0.000289092626189813,6.507928628707305e-05,0.010304723866283894,0.00525202602148056,0.006123383529484272,0.008067173376534871,0.000289092626189813,6.507928628707305e-05,0.010304723866283894,0.00525202602148056,0.006123383529484272,0,0,0,0,0,1098.301947593689,2000,7233.743038415909,14000.0,1.1882835646867753,0.2935593579560518,0.6275204409062862,0.3363653108626604,0.42474755011498927,0.541811182937425,1.1882835646867753,0.293535626411438,0.6275204409062862,0.3363653108626604,0.4242821611464024,0,3,0,0,6,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[0.00015625],7,False,8,6ab00_00000,2023-11-26_17-56-17,1700992577,1181.5449798107147,8422.042662382126,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,8422.042662382126,8,16271,0.56410813331604,1,4.312657117843628,9.0,0.00027222768403589725,6.615830352529883e-05,0.010322869755327702,0.005400562658905983,0.006082149222493172,0.008133775477925294,0.00027222768403589725,6.329319148790091e-05,0.010289539583027363,0.00522480858489871,0.005999571643769741,0,1,1,1,1,0.590571403503418,1,4.6204962730407715,9.0,0.00026932897162623703,6.598362233489752e-05,0.010386008769273758,0.005430906545370817,0.006040627136826515,0.008123030366488699,0.00026932897162623703,6.507928628707305e-05,0.010304723866283894,0.00525202602148056,0.006040627136826515,0,1,1,1,0,1180.3373935222626,2000,8414.080431938171,16000.0,1.1889256796836853,0.2936396115720272,0.6276018056869507,0.3363877838999033,0.42482428093254565,0.5418852383780418,1.1882835646867753,0.293535626411438,0.6275204409062862,0.3363653108626604,0.4242821611464024,1,4,1,1,7,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[3.90625e-05],8,False,9,6ab00_00000,2023-11-26_18-16-17,1700993777,1199.6553580760956,9621.698020458221,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,9621.698020458221,9,16271,0.5555603504180908,1,4.868217468261719,10.0,0.0002611629315651953,5.944047006778419e-05,0.010029314085841179,0.005091519095003605,0.00578940287232399,0.007709764592241724,0.0002611629315651953,5.944047006778419e-05,0.010029314085841179,0.005091519095003605,0.00578940287232399,0,0,0,0,0,0.46221089363098145,1,5.082707166671753,10.0,0.00026498595252633095,5.9695383242797107e-05,0.010063949041068554,0.0051129404455423355,0.00579253863543272,0.007726278744829046,0.00026498595252633095,5.9695383242797107e-05,0.010063949041068554,0.0051129404455423355,0.00579253863543272,0,0,0,0,0,1198.5898151397705,2000,9612.670247077942,18000.0,1.1881591354012488,0.2934432291537523,0.6274560039937496,0.336307934820652,0.424657648652792,0.541704005111419,1.1881591354012488,0.2934432291537523,0.6274560039937496,0.336307934820652,0.4242821611464024,0,0,0,0,8,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
[3.90625e-05],9,False,10,6ab00_00000,2023-11-26_18-36-19,1700994979,1202.043037891388,10823.74105834961,291835,sepc622.se.cuhk.edu.hk,137.189.58.22,10823.74105834961,10,16271,0.580559492111206,1,5.448776960372925,11.0,0.0002697444870136678,6.121661135694012e-05,0.010377984493970871,0.005268362816423178,0.0057845693081617355,0.00782410450830893,0.0002611629315651953,5.944047006778419e-05,0.010029314085841179,0.005091519095003605,0.0057845693081617355,1,1,1,1,0,0.5711250305175781,1,5.653832197189331,11.0,0.00026606753817759454,6.260633381316438e-05,0.010367157869040966,0.00529773673042655,0.005877126008272171,0.007912416433249983,0.00026498595252633095,5.9695383242797107e-05,0.010063949041068554,0.0051129404455423355,0.00579253863543272,1,1,1,1,1,1200.8386976718903,2000,10813.508944749832,20000.0,1.1886378750801085,0.29356029903888703,0.6275681717395782,0.3363661257773638,0.42475016008317473,0.5418120513968724,1.1881591354012488,0.2934432291537523,0.6274560039937496,0.336307934820652,0.4242821611464024,1,1,1,1,9,0.711475133895874,1,0.711475133895874,1.0,1.44327974319458,0.1362459659576416,0.7689201831817627,0.31603720784187317,0.1907007098197937,0.3691151120689068,0.44520998001098633,1,0.44520998001098633,1.0,1.4611300230026245,0.13631391525268555,0.771195650100708,0.3156883418560028,0.19145521521568298,0.3692071440975723
