lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,1d6e3_00002,2023-11-28_19-08-06,1701169686,977.0580108165741,977.0580108165741,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,977.0580108165741,1,32953,0.43027758598327637,1,0.8716287612915039,2.0,0.002468168269842863,0.000560868822503835,0.031064551323652267,0.016390204429626465,0.0170948076993227,0.023682669243643862,0.002468168269842863,0.000560868822503835,0.031064551323652267,0.016390204429626465,0.0170948076993227,0,0,0,0,0,0.40529417991638184,1,1.0930020809173584,2.0,0.0024090062361210585,0.0005507429596036673,0.030849887058138847,0.01633470691740513,0.016850005835294724,0.023467913405406694,0.0024090062361210585,0.0005507429596036673,0.030849887058138847,0.01633470691740513,0.016850005835294724,0,0,0,0,0,976.2164690494537,2000,976.2164690494537,2000.0,1.20159399163723,0.2977684989571571,0.6323043935894966,0.33913831315934656,0.42480032454431055,0.545681682812569,1.20159399163723,0.2977684989571571,0.6323043935894966,0.33913831315934656,0.42480032454431055,0,0,0,0,0,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[0.01],1,False,2,1d6e3_00002,2023-11-28_19-24-08,1701170648,961.8582179546356,1938.9162287712097,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,1938.9162287712097,2,32953,0.4183084964752197,1,1.2899372577667236,3.0,0.005401088390499353,0.0007114119362086058,0.043742116540670395,0.019961824640631676,0.017690112814307213,0.026672306540841302,0.002468168269842863,0.000560868822503835,0.031064551323652267,0.016390204429626465,0.0170948076993227,1,1,1,1,1,0.4266538619995117,1,1.5196559429168701,3.0,0.005252963397651911,0.0007026334060356021,0.04368409886956215,0.019906919449567795,0.01750287041068077,0.026507233089019346,0.0024090062361210585,0.0005507429596036673,0.030849887058138847,0.01633470691740513,0.016850005835294724,1,1,1,1,1,961.0082454681396,2000,1937.2247145175934,4000.0,1.1909119002223014,0.29371908483654263,0.6285014685392379,0.3366921415776014,0.4245644071549177,0.5419585637634511,1.1909119002223014,0.29371908483654263,0.6285014685392379,0.3366921415776014,0.4245644071549177,0,0,0,0,0,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[0.0025],2,False,3,1d6e3_00002,2023-11-28_19-40-14,1701171614,965.9970636367798,2904.9132924079895,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,2904.9132924079895,3,32953,0.41445255279541016,1,1.7043898105621338,4.0,0.0015522126341238618,0.00029341940535232425,0.02491815574467182,0.01248890720307827,0.011723809875547886,0.01712948934884879,0.0015522126341238618,0.00029341940535232425,0.02491815574467182,0.01248890720307827,0.011723809875547886,0,0,0,0,0,0.39612317085266113,1,1.9157791137695312,4.0,0.0014510193141177297,0.0002931709459517151,0.024930639192461967,0.01250464841723442,0.011696401983499527,0.017122235425075637,0.0014510193141177297,0.0002931709459517151,0.024930639192461967,0.01250464841723442,0.011696401983499527,0,0,0,0,0,965.1813433170319,2000,2902.4060578346252,6000.0,1.1892029985785484,0.29369982312619686,0.6278759454190731,0.3365575461983681,0.4247392393797636,0.5419407930080525,1.1892029985785484,0.29369982312619686,0.6278759454190731,0.3365575461983681,0.4245644071549177,0,0,0,0,1,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[0.0025],3,False,4,1d6e3_00002,2023-11-28_19-56-16,1701172576,961.9894874095917,3866.902779817581,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,3866.902779817581,4,32953,0.4199802875518799,1,2.1243700981140137,5.0,0.0007774032419547439,0.00019347461056895554,0.019242580980062485,0.010119716636836529,0.009542887099087238,0.013909515109052348,0.0007774032419547439,0.00019347461056895554,0.019242580980062485,0.010119716636836529,0.009542887099087238,0,0,0,0,0,0.40987730026245117,1,2.3256564140319824,5.0,0.0007921484066173434,0.0001941202935995534,0.019265344366431236,0.010146104730665684,0.009548695757985115,0.013932705896542616,0.0007921484066173434,0.0001941202935995534,0.019265344366431236,0.010146104730665684,0.009548695757985115,0,0,0,0,0,961.154397726059,2000,3863.560455560684,8000.0,1.1896287325024604,0.2936685896217823,0.6279333934783936,0.3365313727557659,0.42471554011106494,0.5419119758980995,1.1892029985785484,0.2936685896217823,0.6278759454190731,0.3365313727557659,0.4245644071549177,1,0,1,0,2,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[0.000625],4,False,5,1d6e3_00002,2023-11-28_20-12-20,1701173540,964.2587859630585,4831.16156578064,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,4831.16156578064,5,32953,0.4290187358856201,1,2.553388833999634,6.0,0.0005925301229581237,0.00010374755220254883,0.01380985975265503,0.006974051706492901,0.0074236528016626835,0.010185654235371867,0.0005925301229581237,0.00010374755220254883,0.01380985975265503,0.006974051706492901,0.0074236528016626835,0,0,0,0,0,0.3914518356323242,1,2.7171082496643066,6.0,0.0005334157613106072,0.00010283111623721197,0.01362635102123022,0.006941675674170256,0.0073922062292695045,0.010140567845895612,0.0005334157613106072,0.00010283111623721197,0.01362635102123022,0.006941675674170256,0.0073922062292695045,0,0,0,0,0,963.4329895973206,2000,4826.993445158005,10000.0,1.1887346449494363,0.29356732822954656,0.6276092416644097,0.33638587245345114,0.4247343755066395,0.5418185381006694,1.1887346449494363,0.29356732822954656,0.6276092416644097,0.33638587245345114,0.4245644071549177,0,0,0,0,3,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[0.000625],5,False,6,1d6e3_00002,2023-11-28_20-28-23,1701174503,962.3313736915588,5793.4929394721985,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,5793.4929394721985,6,32953,0.41911983489990234,1,2.972508668899536,7.0,0.0006424915627576411,0.00012475746916607022,0.01578715071082115,0.007647027727216482,0.00814131274819374,0.011169488312634122,0.0005925301229581237,0.00010374755220254883,0.01380985975265503,0.006974051706492901,0.0074236528016626835,1,1,1,1,1,0.39484143257141113,1,3.1119496822357178,7.0,0.0006162250647321343,0.00012405576126184314,0.015711946412920952,0.007624913472682238,0.008118929341435432,0.011138032198815154,0.0005334157613106072,0.00010283111623721197,0.01362635102123022,0.006941675674170256,0.0073922062292695045,1,1,1,1,1,961.511935710907,2000,5788.505380868912,12000.0,1.188943287551403,0.293588155657053,0.6275793113708497,0.3363437811434269,0.42478999806940554,0.5418377576886396,1.1887346449494363,0.29356732822954656,0.6275793113708497,0.3363437811434269,0.4245644071549177,1,1,0,0,4,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[0.00015625],6,False,7,1d6e3_00002,2023-11-28_20-44-26,1701175466,963.0911259651184,6756.584065437317,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,6756.584065437317,7,32953,0.4241213798522949,1,3.396630048751831,8.0,0.0003485227935016155,6.845696043455973e-05,0.011020864360034466,0.005585566163063049,0.006103991996496916,0.00827387215483535,0.0003485227935016155,6.845696043455973e-05,0.011020864360034466,0.005585566163063049,0.006103991996496916,0,0,0,0,0,0.4121112823486328,1,3.5240609645843506,8.0,0.0003821812861133367,7.005340012256056e-05,0.01104116253554821,0.005598147865384817,0.006222094874829054,0.00836979092466237,0.0003821812861133367,7.005340012256056e-05,0.01104116253554821,0.005598147865384817,0.006222094874829054,0,0,0,0,0,962.2495272159576,2000,6750.754908084869,14000.0,1.188212996006012,0.2935361499041319,0.6274780798852444,0.33630422729253767,0.42476774455606936,0.5417897654110235,1.188212996006012,0.2935361499041319,0.6274780798852444,0.33630422729253767,0.4245644071549177,0,0,0,0,5,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[0.00015625],7,False,8,1d6e3_00002,2023-11-28_21-00-32,1701176432,965.7060477733612,7722.290113210678,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,7722.290113210678,8,32953,0.42278146743774414,1,3.819411516189575,9.0,0.0003267529245931655,7.269721390912309e-05,0.011363397352397442,0.005924773868173361,0.006131441332399845,0.008526266117658016,0.0003267529245931655,6.845696043455973e-05,0.011020864360034466,0.005585566163063049,0.006103991996496916,0,1,1,1,1,0.395552396774292,1,3.9196133613586426,9.0,0.00033144373446702957,7.1639173256699e-05,0.011322999373078346,0.005877265706658363,0.006090749986469746,0.008463992749093006,0.00033144373446702957,7.005340012256056e-05,0.01104116253554821,0.005598147865384817,0.006090749986469746,0,1,1,1,0,964.8827819824219,2000,7715.637690067291,16000.0,1.1887164455652237,0.2935921261459589,0.6275017937421798,0.33629166284203527,0.4248442323505878,0.5418414215856507,1.188212996006012,0.2935361499041319,0.6274780798852444,0.33629166284203527,0.4245644071549177,1,1,1,0,6,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[3.90625e-05],8,False,9,1d6e3_00002,2023-11-28_21-16-37,1701177397,965.2159161567688,8687.506029367447,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,8687.506029367447,9,32953,0.4171919822692871,1,4.236603498458862,10.0,0.0005062678828835487,6.623534136451781e-05,0.012535912916064262,0.005571216810494661,0.005932720378041267,0.008138509775414526,0.0003267529245931655,6.623534136451781e-05,0.011020864360034466,0.005571216810494661,0.005932720378041267,1,0,2,0,0,0.39975786209106445,1,4.319371223449707,10.0,0.0005206703208386898,6.940052116988227e-05,0.012669923715293407,0.005624223034828901,0.0061456444673240185,0.00833069752000889,0.00033144373446702957,6.940052116988227e-05,0.01104116253554821,0.005598147865384817,0.006090749986469746,1,0,2,2,1,964.3942086696625,2000,8680.031898736954,18000.0,1.1884571974277496,0.2935777609795332,0.6274623546600342,0.33627673736214636,0.4248404853343964,0.5418281655465441,1.188212996006012,0.2935361499041319,0.6274623546600342,0.33627673736214636,0.4245644071549177,2,2,0,0,7,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
[3.90625e-05],9,False,10,1d6e3_00002,2023-11-28_21-32-38,1701178358,961.5864334106445,9649.092462778091,34838,sepc622.se.cuhk.edu.hk,137.189.58.22,9649.092462778091,10,32953,0.417025089263916,1,4.653628587722778,11.0,0.0003342467243783176,5.2741226681973785e-05,0.010373342782258987,0.004944982007145882,0.0053187040612101555,0.0072623155179304755,0.0003267529245931655,5.2741226681973785e-05,0.010373342782258987,0.004944982007145882,0.0053187040612101555,2,0,0,0,0,0.3994944095611572,1,4.718865633010864,11.0,0.00031776088871993124,5.362155570765026e-05,0.010288197547197342,0.004936364945024252,0.005408705677837133,0.007322674081757992,0.00031776088871993124,5.362155570765026e-05,0.010288197547197342,0.004936364945024252,0.005408705677837133,0,0,0,0,0,960.765079498291,2000,9640.796978235245,20000.0,1.1883879649639129,0.293538757532835,0.6274916166961193,0.3363009682446718,0.42477602373063567,0.5417921719006606,1.188212996006012,0.2935361499041319,0.6274623546600342,0.33627673736214636,0.4245644071549177,3,3,1,1,8,0.6877079010009766,1,0.6877079010009766,1.0,1.5574804544448853,0.15184924006462097,0.8091731667518616,0.33173906803131104,0.20444749295711517,0.38967838028895185,0.44135117530822754,1,0.44135117530822754,1.0,1.5335971117019653,0.15130899846553802,0.8038294315338135,0.33089491724967957,0.20449429750442505,0.3889845735572788
