lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,4866a_00000,2023-10-11_01-00-01,1696957201,1266.359126329422,1266.359126329422,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,1266.359126329422,1,13555,86.0671899318695,150,174.52096390724182,300.0,0.01762522434194883,0.0006939088739454746,0.10487276325623195,0.02157866731286049,0.026342150138997284,0.01762522434194883,0.0006939088739454746,0.10487276325623195,0.02157866731286049,0,0,0,0,1180.2910432815552,2000,1180.2910432815552,2000.0,6.537400814533234,0.6733638162612915,1.6328598908782006,0.46985218647122384,0.8205874823937369,6.537400814533234,0.6733638162612915,1.6328598908782006,0.46985218647122384,0,0,0,0,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[0.01],1,False,2,4866a_00000,2023-10-11_01-21-33,1696958493,1291.3715255260468,2557.7306518554688,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,2557.7306518554688,2,13555,84.42639827728271,150,258.94736218452454,450.0,0.007865311109150449,0.00035351241220875335,0.06409594004352888,0.0140041134506464,0.018801925757984297,0.007865311109150449,0.00035351241220875335,0.06409594004352888,0.0140041134506464,0,0,0,0,1206.944326877594,2000,2387.235370159149,4000.0,6.513806175947189,0.6724459154009819,1.6288194929361344,0.46911528004705905,0.8200279967177839,6.513806175947189,0.6724459154009819,1.6288194929361344,0.46911528004705905,0,0,0,0,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[0.0025],2,False,3,4866a_00000,2023-10-11_01-42-21,1696959741,1248.142906665802,3805.8735585212708,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,3805.8735585212708,3,13555,88.18779826164246,150,347.135160446167,600.0,0.004438594526921709,0.00027656804750828695,0.051173138519128164,0.012190841895838578,0.01663033515922896,0.004438594526921709,0.00027656804750828695,0.051173138519128164,0.012190841895838578,0,0,0,0,1159.954311132431,2000,3547.18968129158,6000.0,6.506042422294617,0.671587945818901,1.6269835384488105,0.4686518219560385,0.8195046954221196,6.506042422294617,0.671587945818901,1.6269835384488105,0.4686518219560385,0,0,0,0,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[0.0025],3,False,4,4866a_00000,2023-10-11_02-03-04,1696960984,1242.95166182518,5048.825220346451,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,5048.825220346451,4,13555,79.03317046165466,150,426.16833090782166,750.0,0.0037846705333019295,0.0002358495196676813,0.04490846730768681,0.010832724124193192,0.015357392997109936,0.0037846705333019295,0.0002358495196676813,0.04490846730768681,0.010832724124193192,0,0,0,0,1163.9176602363586,2000,4711.107341527939,8000.0,6.507096769332886,0.672041983872652,1.627478592634201,0.4687880654335022,0.819781668417056,6.506042422294617,0.671587945818901,1.6269835384488105,0.4686518219560385,1,1,1,1,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[0.000625],4,False,5,4866a_00000,2023-10-11_02-23-58,1696962238,1254.0672025680542,6302.892422914505,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,6302.892422914505,5,13555,88.60506057739258,150,514.7733914852142,900.0,0.003388026668690145,0.00017052786221029238,0.04681250842909018,0.010292677519222101,0.013058631712790295,0.003388026668690145,0.00017052786221029238,0.04490846730768681,0.010292677519222101,0,0,1,0,1165.4615013599396,2000,5876.568842887878,10000.0,6.504158435106278,0.671679094016552,1.6268459505438804,0.4686116767823696,0.8195603052958044,6.504158435106278,0.671587945818901,1.6268459505438804,0.4686116767823696,0,2,0,0,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[0.000625],5,False,6,4866a_00000,2023-10-11_02-45-27,1696963527,1289.1485130786896,7592.040935993195,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,7592.040935993195,6,13555,86.26255774497986,150,601.0359492301941,1050.0,0.005146727673709392,0.0002836807737670218,0.0557396903137366,0.012835742011666297,0.016842825587383543,0.003388026668690145,0.00017052786221029238,0.04490846730768681,0.010292677519222101,1,1,2,1,1202.8851380348206,2000,7079.453980922699,12000.0,6.5054026560783385,0.6719826772809029,1.6269456006288527,0.46867398734390736,0.8197454954319071,6.504158435106278,0.671587945818901,1.6268459505438804,0.4686116767823696,1,3,1,1,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[0.00015625],6,False,7,4866a_00000,2023-10-11_03-06-49,1696964809,1281.9469237327576,8873.987859725952,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,8873.987859725952,7,13555,83.35099911689758,150,684.3869483470917,1200.0,0.0026402011048048736,0.0001851401671107548,0.03689826965332031,0.009339150047550598,0.013606622178584764,0.0026402011048048736,0.00017052786221029238,0.03689826965332031,0.009339150047550598,0,2,0,0,1198.5953471660614,2000,8278.04932808876,14000.0,6.507692969322204,0.6715676642954349,1.626799615263939,0.468594829171896,0.8194923210716711,6.504158435106278,0.6715676642954349,1.626799615263939,0.468594829171896,2,0,0,0,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[0.00015625],7,False,8,4866a_00000,2023-10-11_03-27-07,1696966027,1218.1485476493835,10092.136407375336,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,10092.136407375336,8,13555,79.54482245445251,150,763.9317708015442,1350.0,0.004140686330695947,0.0001787477426114492,0.045258538499474525,0.009810235320279996,0.013369657535309169,0.0026402011048048736,0.00017052786221029238,0.03689826965332031,0.009339150047550598,1,3,1,1,1138.6031608581543,2000,9416.652488946915,16000.0,6.505320675373078,0.6713942590355874,1.6264841746091843,0.4685251973569393,0.8193865138233527,6.504158435106278,0.6713942590355874,1.6264841746091843,0.4685251973569393,3,0,0,0,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[3.90625e-05],8,False,9,4866a_00000,2023-10-11_03-47-10,1696967230,1203.1818451881409,11295.318252563477,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,11295.318252563477,9,13555,79.56524896621704,150,843.4970197677612,1500.0,0.0019397214769075314,0.00013253223597227285,0.030262683406472205,0.00758516133762896,0.011512264589222785,0.0019397214769075314,0.00013253223597227285,0.030262683406472205,0.00758516133762896,0,0,0,0,1123.6160306930542,2000,10540.268519639969,18000.0,6.505129769325256,0.67171150842309,1.626689704477787,0.4685863437354565,0.819580080543134,6.504158435106278,0.6713942590355874,1.6264841746091843,0.4685251973569393,4,1,1,1,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
[3.90625e-05],9,False,10,4866a_00000,2023-10-11_04-06-56,1696968416,1185.8774757385254,12481.195728302002,455871,sepc622.se.cuhk.edu.hk,137.189.58.22,12481.195728302002,10,13555,76.19023370742798,150,919.6872534751892,1650.0,0.002773590179470678,0.00017627490451559423,0.0369395845880111,0.00906326354170839,0.013276855972540873,0.0019397214769075314,0.00013253223597227285,0.030262683406472205,0.00758516133762896,1,1,1,1,1109.686606168747,2000,11649.955125808716,20000.0,6.5058951828479765,0.6718469701707364,1.6266692495942117,0.4686283158510923,0.8196627173238614,6.504158435106278,0.6713942590355874,1.6264841746091843,0.4685251973569393,5,2,2,2,88.45377397537231,150,88.45377397537231,150.0,20.813216908772787,0.5540700284639994,3.8643783283233644,0.7335683723290761,0.7443588035779516
