lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,08ef1_00000,2023-10-12_02-15-37,1697048137,55.15601205825806,55.15601205825806,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,55.15601205825806,1,32295,0.014899969100952148,1,0.30608248710632324,2.0,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.2956008017063141,0.44156954285228295,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,0,0,0,0,1,55.140477657318115,2000,55.140477657318115,2000.0,5.825277477502823,0.637135350972414,1.5597221868634223,0.48189535896480085,0.6360400319397449,0.7982075863911681,5.825277477502823,0.637135350972414,1.5597221868634223,0.48189535896480085,0.6360400319397449,0,0,0,0,0,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[0.01],1,False,2,08ef1_00000,2023-10-12_02-16-31,1697048191,54.19518184661865,109.35119390487671,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,109.35119390487671,2,32295,0.015231609344482422,1,0.32131409645080566,3.0,6.132815837860107,0.2167687714099884,1.7019286155700684,0.3438519239425659,0.3139035701751709,0.4655843332952564,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,1,1,1,1,2,54.17917776107788,2000,109.319655418396,4000.0,5.784298670053482,0.6358317618966103,1.5534489312171935,0.48100624008476733,0.6357993758916854,0.7973905955656928,5.784298670053482,0.6358317618966103,1.5534489312171935,0.48100624008476733,0.6357993758916854,0,0,0,0,0,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[0.0025],2,False,3,08ef1_00000,2023-10-12_02-17-25,1697048245,54.44362187385559,163.7948157787323,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,163.7948157787323,3,32295,0.014867305755615234,1,0.3361814022064209,4.0,6.041405200958252,0.21233317255973816,1.6944257020950317,0.3403143286705017,0.3106769025325775,0.46079623757116134,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,2,2,2,2,3,54.42820501327515,2000,163.74786043167114,6000.0,5.7663594369888305,0.6354943461418152,1.5497765937447547,0.48058626128733156,0.6359804957807064,0.797178992536692,5.7663594369888305,0.6354943461418152,1.5497765937447547,0.48058626128733156,0.6357993758916854,0,0,0,0,1,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[0.0025],3,False,4,08ef1_00000,2023-10-12_02-18-20,1697048300,54.28683686256409,218.0816526412964,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,218.0816526412964,4,32295,0.014967679977416992,1,0.3511490821838379,5.0,5.833234786987305,0.20243363082408905,1.6519919633865356,0.3301158845424652,0.3057088553905487,0.4499262504278774,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,3,3,3,3,4,54.27104306221008,2000,218.01890349388123,8000.0,5.767997279882431,0.6351566407680511,1.5500567648410797,0.48055036717653277,0.6357334336042404,0.7969671516242379,5.7663594369888305,0.6351566407680511,1.5497765937447547,0.48055036717653277,0.6357334336042404,1,0,1,0,0,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[0.000625],4,False,5,08ef1_00000,2023-10-12_02-19-15,1697048355,54.7126681804657,272.7943208217621,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,272.7943208217621,5,32295,0.016000986099243164,1,0.36715006828308105,6.0,6.157944679260254,0.2100362330675125,1.6913238763809204,0.33729133009910583,0.3102765679359436,0.45829710130821527,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,4,4,4,4,5,54.69610953330994,2000,272.71501302719116,10000.0,5.763207092761993,0.635143655449152,1.5488813475966454,0.4804091279506683,0.6358607879877091,0.7969590048736208,5.763207092761993,0.635143655449152,1.5488813475966454,0.4804091279506683,0.6357334336042404,0,0,0,0,1,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[0.000625],5,False,6,08ef1_00000,2023-10-12_02-20-09,1697048409,54.364851236343384,327.15917205810547,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,327.15917205810547,6,32295,0.014704704284667969,1,0.381854772567749,7.0,5.882185935974121,0.2042718380689621,1.6682239770889282,0.33411094546318054,0.30437231063842773,0.45196442124238284,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,5,5,5,5,6,54.34939956665039,2000,327.06441259384155,12000.0,5.762861124753952,0.6352052896916867,1.5490016563534736,0.48044386817514895,0.6358805123269557,0.7969976723251372,5.762861124753952,0.635143655449152,1.5488813475966454,0.4804091279506683,0.6357334336042404,0,1,1,1,2,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[0.00015625],6,False,7,08ef1_00000,2023-10-12_02-21-03,1697048463,54.33580040931702,381.4949724674225,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,381.4949724674225,7,32295,0.014600515365600586,1,0.3964552879333496,8.0,6.123466968536377,0.20975013077259064,1.687667727470398,0.3371388614177704,0.309981107711792,0.45798485867175853,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,6,6,6,6,7,54.320483922958374,2000,381.3848965167999,14000.0,5.762764315605164,0.6354014696180821,1.548770913362503,0.4804212752580643,0.6360623683929444,0.7971207371647547,5.762764315605164,0.635143655449152,1.548770913362503,0.4804091279506683,0.6357334336042404,0,2,0,2,3,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[0.00015625],7,False,8,08ef1_00000,2023-10-12_02-21-58,1697048518,54.84841513633728,436.34338760375977,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,436.34338760375977,8,32295,0.01453399658203125,1,0.41098928451538086,9.0,6.044885635375977,0.20832549035549164,1.6837468147277832,0.33680829405784607,0.3080364465713501,0.45642687295501305,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,7,7,7,7,8,54.833226680755615,2000,436.21812319755554,16000.0,5.75642302274704,0.6351422397792339,1.54832696557045,0.4803434668183327,0.6359164195656777,0.7969581167032769,5.75642302274704,0.6351422397792339,1.54832696557045,0.4803434668183327,0.6357334336042404,0,0,0,0,4,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[3.90625e-05],8,False,9,08ef1_00000,2023-10-12_02-22-53,1697048573,54.701547622680664,491.04493522644043,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,491.04493522644043,9,32295,0.015424251556396484,1,0.42641353607177734,10.0,6.085795879364014,0.21023109555244446,1.6910885572433472,0.3384389281272888,0.3093395531177521,0.458509646084403,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,8,8,8,8,9,54.68557524681091,2000,490.90369844436646,18000.0,5.757721567392349,0.6351188868880272,1.548217210173607,0.48031239303946494,0.6359247378706933,0.7969434653022931,5.75642302274704,0.6351188868880272,1.548217210173607,0.48031239303946494,0.6357334336042404,1,0,0,0,5,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
[3.90625e-05],9,False,10,08ef1_00000,2023-10-12_02-23-47,1697048627,54.51587915420532,545.5608143806458,266371,sepc622.se.cuhk.edu.hk,137.189.58.22,545.5608143806458,10,32295,0.015506744384765625,1,0.44192028045654297,11.0,6.130147457122803,0.21204349398612976,1.6986892223358154,0.3398687541484833,0.31069841980934143,0.4604818063573519,5.6751322746276855,0.19498366117477417,1.6360151767730713,0.3280313313007355,0.12194263935089111,9,9,9,9,10,54.49981236457825,2000,545.4035108089447,20000.0,5.760702282190323,0.6350269480347633,1.5483689210414886,0.4802986998707056,0.6358636827170849,0.7968857810469223,5.75642302274704,0.6350269480347633,1.548217210173607,0.4802986998707056,0.6357334336042404,2,0,1,0,6,0.2911825180053711,1,0.2911825180053711,1.0,21.66803741455078,0.5646061301231384,3.946563482284546,0.7414419651031494,0.12194263935089111,0.7514027748971509
