lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,af863_00000,2023-10-21_23-23-48,1697901828,54.50006365776062,54.50006365776062,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,54.50006365776062,1,10895,2.1947474479675293,150,4.546865701675415,300.0,0.012570086475461721,0.000670929168506215,0.07355251093705495,0.021131132766604423,0.014980041744808355,0.025902300448149677,0.012570086475461721,0.000670929168506215,0.07355251093705495,0.021131132766604423,0.014980041744808355,0,0,0,0,0,52.30462312698364,2000,52.30462312698364,2000.0,5.459489623785019,0.6827444044649601,1.445216449558735,0.5332084165513515,0.6309897972047329,0.8262834891639552,5.459489623785019,0.6827444044649601,1.445216449558735,0.5332084165513515,0.6309897972047329,0,0,0,0,0,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[0.01],1,False,2,af863_00000,2023-10-21_23-24-43,1697901883,54.680135011672974,109.1801986694336,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,109.1801986694336,2,10895,2.198927640914917,150,6.745793342590332,450.0,0.007844816719492276,0.0005481586721725762,0.06474073906739553,0.01858603666226069,0.0142377593057851,0.023412788645793055,0.007844816719492276,0.0005481586721725762,0.06474073906739553,0.01858603666226069,0.0142377593057851,0,0,0,0,0,52.48055028915405,2000,104.7851734161377,4000.0,5.4475474443435665,0.6820800660550594,1.4427845311164855,0.5326051643490791,0.6310393096208572,0.8258813874007934,5.4475474443435665,0.6820800660550594,1.4427845311164855,0.5326051643490791,0.6309897972047329,0,0,0,0,1,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[0.0025],2,False,3,af863_00000,2023-10-21_23-25-37,1697901937,54.54270577430725,163.72290444374084,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,163.72290444374084,3,10895,2.1735870838165283,150,8.91938042640686,600.0,0.004755856928726037,0.00029644394914309183,0.05637690742810567,0.015383653373767932,0.007732189471522967,0.01721754770991188,0.004755856928726037,0.00029644394914309183,0.05637690742810567,0.015383653373767932,0.007732189471522967,0,0,0,0,0,52.36856126785278,2000,157.15373468399048,6000.0,5.444229400396347,0.6819991681575776,1.442223138153553,0.5324515903890132,0.6312205133140087,0.8258324092438959,5.444229400396347,0.6819991681575776,1.442223138153553,0.5324515903890132,0.6309897972047329,0,0,0,0,2,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[0.0025],3,False,4,af863_00000,2023-10-21_23-26-32,1697901992,54.51346755027771,218.23637199401855,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,218.23637199401855,4,10895,2.193108558654785,150,11.112488985061646,750.0,0.0033414405724033714,0.00012874929506021243,0.037655417000253995,0.00981020407130321,0.005701638494307796,0.011346774654509202,0.0033414405724033714,0.00012874929506021243,0.037655417000253995,0.00981020407130321,0.005701638494307796,0,0,0,0,0,52.319754123687744,2000,209.47348880767822,8000.0,5.445048898935318,0.6819778852462769,1.442119526028633,0.5324391207098961,0.6312051464021206,0.8258195234107008,5.444229400396347,0.6819778852462769,1.442119526028633,0.5324391207098961,0.6309897972047329,1,0,0,0,3,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[0.000625],4,False,5,af863_00000,2023-10-21_23-27-26,1697902046,54.1370484828949,272.37342047691345,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,272.37342047691345,5,10895,2.1713178157806396,150,13.283806800842285,900.0,0.0007670647678120683,4.1573588847919986e-05,0.018133418324093025,0.005113473997140924,0.003927505447839697,0.006447758435915538,0.0007670647678120683,4.1573588847919986e-05,0.018133418324093025,0.005113473997140924,0.003927505447839697,0,0,0,0,0,51.96498990058899,2000,261.4384787082672,10000.0,5.44243084192276,0.6815718434154987,1.4417437449097634,0.5322599673867225,0.6310668746829033,0.8255736450586941,5.44243084192276,0.6815718434154987,1.4417437449097634,0.5322599673867225,0.6309897972047329,0,0,0,0,4,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[0.000625],5,False,6,af863_00000,2023-10-21_23-28-20,1697902100,54.348621129989624,326.7220416069031,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,326.7220416069031,6,10895,2.1672799587249756,150,15.45108675956726,1050.0,0.0008155623179239532,5.3352896793512626e-05,0.01625188986460368,0.00480824287670354,0.005498405154794455,0.007304306729150455,0.0007670647678120683,4.1573588847919986e-05,0.01625188986460368,0.00480824287670354,0.003927505447839697,1,1,0,0,1,52.18077206611633,2000,313.61925077438354,12000.0,5.445729324102402,0.6820682310760021,1.4420934312343598,0.5324398386478424,0.6313071666359902,0.8258742223099121,5.44243084192276,0.6815718434154987,1.4417437449097634,0.5322599673867225,0.6309897972047329,1,1,1,1,5,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[0.00015625],6,False,7,af863_00000,2023-10-21_23-29-15,1697902155,54.55508875846863,381.2771303653717,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,381.2771303653717,7,10895,2.1930747032165527,150,17.644161462783813,1200.0,0.002802149591346582,4.642028630769346e-05,0.023073749480148155,0.004961457392200827,0.004669424714520574,0.006813243449906473,0.0007670647678120683,4.1573588847919986e-05,0.01625188986460368,0.00480824287670354,0.003927505447839697,2,2,1,1,2,52.361406087875366,2000,365.9806568622589,14000.0,5.443188683032989,0.6818920342922211,1.4419582057595253,0.5323672906160355,0.6312371418774128,0.8257675425276905,5.44243084192276,0.6815718434154987,1.4417437449097634,0.5322599673867225,0.6309897972047329,2,2,2,2,6,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[0.00015625],7,False,8,af863_00000,2023-10-21_23-30-10,1697902210,54.65328860282898,435.9304189682007,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,435.9304189682007,8,10895,2.186619758605957,150,19.83078122138977,1350.0,0.0009637075224115202,3.553756842544923e-05,0.019738102555274962,0.004885588797430197,0.0034158784601216515,0.005961339482486233,0.0007670647678120683,3.553756842544923e-05,0.01625188986460368,0.00480824287670354,0.0034158784601216515,3,0,2,2,0,52.466142654418945,2000,418.44679951667786,16000.0,5.438432165622711,0.6815244402289391,1.441428598344326,0.5322135579586029,0.6310751504600048,0.8255449353178415,5.438432165622711,0.6815244402289391,1.441428598344326,0.5322135579586029,0.6309897972047329,0,0,0,0,7,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[3.90625e-05],8,False,9,af863_00000,2023-10-21_23-31-04,1697902264,54.716968297958374,490.64738726615906,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,490.64738726615906,9,10895,2.1939918994903564,150,22.024773120880127,1500.0,0.00017856207734439521,1.1854354324896121e-05,0.008629509589324395,0.002567217854472498,0.0022940654059251148,0.003443015295478096,0.00017856207734439521,1.1854354324896121e-05,0.008629509589324395,0.002567217854472498,0.0022940654059251148,0,0,0,0,0,52.52248215675354,2000,470.9692816734314,18000.0,5.4410415873527525,0.6818559349775314,1.4415822384953498,0.5323195659518242,0.6312499914467334,0.8257456842015776,5.438432165622711,0.6815244402289391,1.441428598344326,0.5322135579586029,0.6309897972047329,1,1,1,1,8,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
[3.90625e-05],9,False,10,af863_00000,2023-10-21_23-31-59,1697902319,54.50490689277649,545.1522941589355,134357,sepc622.se.cuhk.edu.hk,137.189.58.22,545.1522941589355,10,10895,2.166592836380005,150,24.191365957260132,1650.0,9.257395708118565e-05,1.0041778035277578e-05,0.0069702408649027344,0.0022637697976703444,0.0022172374231740834,0.0031688764626090393,9.257395708118565e-05,1.0041778035277578e-05,0.0069702408649027344,0.0022637697976703444,0.0022172374231740834,0,0,0,0,0,52.33768916130066,2000,523.306970834732,20000.0,5.4440658626556395,0.6819633484184742,1.441820519566536,0.5323467921316624,0.631312921077013,0.8258107219081586,5.438432165622711,0.6815244402289391,1.441428598344326,0.5322135579586029,0.6309897972047329,2,2,2,2,9,2.3521182537078857,150,2.3521182537078857,150.0,9.621086057027181,0.4027837683757146,2.3856255563100177,0.6152684764067332,0.15565456052621204,0.6346524784287182
