lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,7107f_00001,2023-11-12_23-17-31,1699802251,56.64043831825256,56.64043831825256,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,56.64043831825256,1,25915,2.2479746341705322,150,4.5335094928741455,300.0,0.005038424329832196,0.00040578309058522183,0.051861460780104,0.015465074138094982,0.012907819698254268,0.020144058443750154,0.005038424329832196,0.00040578309058522183,0.051861460780104,0.015465074138094982,0.012907819698254268,0,0,0,0,0,2.2225964069366455,150,4.782709121704102,300.0,0.005031875952457388,0.00040572585421614347,0.05183476716279983,0.015462491021802027,0.012908677762995164,0.020142637717442655,0.005031875952457388,0.00040572585421614347,0.05183476716279983,0.015462491021802027,0.012908677762995164,0,0,0,0,0,52.169095039367676,2000,52.169095039367676,2000.0,5.468206417798996,0.6836647574305534,1.446086414039135,0.533434648513794,0.6313372617065907,0.8268402248503356,5.468206417798996,0.6836647574305534,1.446086414039135,0.533434648513794,0.6313372617065907,0,0,0,0,0,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[0.01],1,False,2,7107f_00001,2023-11-12_23-18-27,1699802307,56.19197869300842,112.83241701126099,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,112.83241701126099,2,25915,2.2605788707733154,150,6.794088363647461,450.0,0.0038542227369422716,0.0003232694979912291,0.04291162339349588,0.013434416111558677,0.011949202964703242,0.01797969682701099,0.0038542227369422716,0.0003232694979912291,0.04291162339349588,0.013434416111558677,0.011949202964703242,0,0,0,0,0,2.241182804107666,150,7.023891925811768,450.0,0.0038497471359247963,0.0003233035325926418,0.042906316419442495,0.013435131634275118,0.011949829900016388,0.017980643275273604,0.0038497471359247963,0.0003233035325926418,0.042906316419442495,0.013435131634275118,0.011949829900016388,0,0,0,0,0,51.689560413360596,2000,103.85865545272827,4000.0,5.449297382116318,0.6818026322722435,1.4431045770049096,0.5326259214580059,0.6307832708060741,0.8257134080734329,5.449297382116318,0.6818026322722435,1.4431045770049096,0.5326259214580059,0.6307832708060741,0,0,0,0,0,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[0.0025],2,False,3,7107f_00001,2023-11-12_23-19-23,1699802363,56.12871503829956,168.96113204956055,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,168.96113204956055,3,25915,2.2492613792419434,150,9.043349742889404,600.0,0.0013053297872344654,9.840062780616184e-05,0.023907504777113595,0.007356063012654583,0.0066549000485489765,0.009919709058544099,0.0013053297872344654,9.840062780616184e-05,0.023907504777113595,0.007356063012654583,0.0066549000485489765,0,0,0,0,0,2.22257661819458,150,9.246468544006348,600.0,0.0013060901314020158,9.842158659012056e-05,0.02391742238154014,0.0073588065740962825,0.006653457876915733,0.009920765423601173,0.0013060901314020158,9.842158659012056e-05,0.02391742238154014,0.0073588065740962825,0.006653457876915733,0,0,0,0,0,51.65622544288635,2000,155.51488089561462,6000.0,5.445667925357818,0.6819102478921414,1.4422034124135972,0.5324474701881409,0.6311472565233708,0.8257785707392397,5.445667925357818,0.6818026322722435,1.4422034124135972,0.5324474701881409,0.6307832708060741,0,1,0,0,1,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[0.0025],3,False,4,7107f_00001,2023-11-12_23-20-20,1699802420,56.370816707611084,225.33194875717163,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,225.33194875717163,4,25915,2.244419813156128,150,11.287769556045532,750.0,0.002278259345330298,0.0002188875282687756,0.03791501862307389,0.012045285242299239,0.008590578995645047,0.01479484803128358,0.0013053297872344654,9.840062780616184e-05,0.023907504777113595,0.007356063012654583,0.0066549000485489765,1,1,1,1,1,2.2299766540527344,150,11.476445198059082,750.0,0.0022756515986596545,0.000218917186333177,0.0379096594452858,0.01204511092354854,0.008592535443603992,0.01479585030787947,0.0013060901314020158,9.842158659012056e-05,0.02391742238154014,0.0073588065740962825,0.006653457876915733,1,1,1,1,1,51.895716190338135,2000,207.41059708595276,8000.0,5.443952710390091,0.6818130606114864,1.4421197662353515,0.5324352674484253,0.6310700536072255,0.8257197227942944,5.443952710390091,0.6818026322722435,1.4421197662353515,0.5324352674484253,0.6307832708060741,0,2,0,0,2,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[0.000625],4,False,5,7107f_00001,2023-11-12_23-21-16,1699802476,55.99542713165283,281.32737588882446,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,281.32737588882446,5,25915,2.2701823711395264,150,13.557951927185059,900.0,0.001258555178064853,9.403430580277927e-05,0.02581756167113781,0.0077337832314272725,0.005850002107520898,0.009697128740136396,0.001258555178064853,9.403430580277927e-05,0.023907504777113595,0.007356063012654583,0.005850002107520898,0,0,2,2,0,2.2458412647247314,150,13.722286462783813,900.0,0.0012562967146125933,9.397316622198559e-05,0.025804791301488876,0.0077318862701455755,0.005847283452749252,0.009693975769620305,0.0012562967146125933,9.397316622198559e-05,0.02391742238154014,0.0073588065740962825,0.005847283452749252,0,0,2,2,0,51.47881269454956,2000,258.8894097805023,10000.0,5.441436801195144,0.6814814682602882,1.441641323328018,0.5322853761017322,0.630971355676651,0.8255189084813795,5.441436801195144,0.6814814682602882,1.441641323328018,0.5322853761017322,0.6307832708060741,0,0,0,0,3,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[0.000625],5,False,6,7107f_00001,2023-11-12_23-22-12,1699802532,56.421998023986816,337.7493739128113,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,337.7493739128113,6,25915,2.2461721897125244,150,15.804124116897583,1050.0,0.0011316988718075057,7.867478071905983e-05,0.02518735342969497,0.007266857512295246,0.005086001263310512,0.008869880535782871,0.0011316988718075057,7.867478071905983e-05,0.023907504777113595,0.007266857512295246,0.005086001263310512,0,0,3,0,0,2.2287166118621826,150,15.951003074645996,1050.0,0.0011327154686053594,7.8738905043186e-05,0.02519507442911466,0.007269515537967284,0.005088499560952186,0.008873494522632332,0.0011327154686053594,7.8738905043186e-05,0.02391742238154014,0.007269515537967284,0.005088499560952186,0,0,3,0,0,51.94647836685181,2000,310.8358881473541,12000.0,5.443196946144104,0.6818073687851429,1.4419092881083488,0.5323897551298141,0.6311374127268791,0.8257162762021486,5.441436801195144,0.6814814682602882,1.441641323328018,0.5322853761017322,0.6307832708060741,1,1,1,1,4,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[0.00015625],6,False,7,7107f_00001,2023-11-12_23-23-10,1699802590,57.62262940406799,395.3720033168793,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,395.3720033168793,7,25915,2.2529022693634033,150,18.057026386260986,1200.0,0.00026932817980802307,2.628636586450739e-05,0.012603153611222903,0.003984700267513593,0.0032261807021374505,0.005127023099665866,0.00026932817980802307,2.628636586450739e-05,0.012603153611222903,0.003984700267513593,0.0032261807021374505,0,0,0,0,0,2.2547414302825928,150,18.20574450492859,1200.0,0.0002696861093863845,2.6297980366507544e-05,0.012609722757091124,0.003985976964856188,0.0032263916513572137,0.005128155649598357,0.0002696861093863845,2.6297980366507544e-05,0.012609722757091124,0.003985976964856188,0.0032263916513572137,0,0,0,0,0,53.11427903175354,2000,363.95016717910767,14000.0,5.441661182641983,0.6820935511887074,1.441884550333023,0.5323956151008606,0.6313704301416874,0.825889551446625,5.441436801195144,0.6814814682602882,1.441641323328018,0.5322853761017322,0.6307832708060741,2,2,2,2,5,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[0.00015625],7,False,8,7107f_00001,2023-11-12_23-24-06,1699802646,56.327807664871216,451.6998109817505,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,451.6998109817505,8,25915,2.2535080909729004,150,20.310534477233887,1350.0,0.00024103138275677338,2.0209270878694952e-05,0.01141030840575695,0.003506419588811696,0.002813166173485418,0.0044954722642559985,0.00024103138275677338,2.0209270878694952e-05,0.01141030840575695,0.003506419588811696,0.002813166173485418,0,0,0,0,0,2.242872476577759,150,20.448616981506348,1350.0,0.00024103314887421827,2.0206182671245188e-05,0.011409305054694414,0.0035066680579135816,0.0028123113481948775,0.004495128771375208,0.00024103314887421827,2.0206182671245188e-05,0.011409305054694414,0.0035066680579135816,0.0028123113481948775,0,0,0,0,0,51.830772399902344,2000,415.78093957901,16000.0,5.4394946637153625,0.6815047244131565,1.4414549820423126,0.5322301621735096,0.631043769955635,0.8255329941396385,5.4394946637153625,0.6814814682602882,1.4414549820423126,0.5322301621735096,0.6307832708060741,0,3,0,0,6,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[3.90625e-05],8,False,9,7107f_00001,2023-11-12_23-25-02,1699802702,56.07225322723389,507.7720642089844,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,507.7720642089844,9,25915,2.2351150512695312,150,22.545649528503418,1500.0,0.0007129067155377318,1.9220372329679473e-05,0.013310089365889628,0.003292218075754742,0.0028950578936686117,0.004384104507157587,0.00024103138275677338,1.9220372329679473e-05,0.01141030840575695,0.003292218075754742,0.002813166173485418,1,0,1,0,1,2.2147626876831055,150,22.663379669189453,1500.0,0.0007143410931651791,1.9243713322794064e-05,0.013317076216141383,0.003293982897885144,0.0028970869941016037,0.004386765701834788,0.00024103314887421827,1.9243713322794064e-05,0.011409305054694414,0.003293982897885144,0.0028123113481948775,1,0,1,0,1,51.62173342704773,2000,467.40267300605774,18000.0,5.4430553719997405,0.6818414382338523,1.4417323707342147,0.5323336723446846,0.6312274085283279,0.8257369061837144,5.4394946637153625,0.6814814682602882,1.4414549820423126,0.5322301621735096,0.6307832708060741,1,4,1,1,7,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
[3.90625e-05],9,False,10,7107f_00001,2023-11-12_23-25-58,1699802758,56.02354860305786,563.7956128120422,24752,sepc622.se.cuhk.edu.hk,137.189.58.22,563.7956128120422,10,25915,2.244065761566162,150,24.78971529006958,1650.0,0.0006903670530300588,3.6886125308228656e-05,0.019141559364895026,0.005243407804518938,0.00306472413862745,0.006073394875045476,0.00024103138275677338,1.9220372329679473e-05,0.01141030840575695,0.003292218075754742,0.002813166173485418,2,1,2,1,2,2.2249538898468018,150,24.888333559036255,1650.0,0.0006909875432029366,3.686552709647609e-05,0.01914657711982727,0.0052422539548327525,0.0030633358610793948,0.006071698864113411,0.00024103314887421827,1.9243713322794064e-05,0.011409305054694414,0.003293982897885144,0.0028123113481948775,2,1,2,1,2,51.55395221710205,2000,518.9566252231598,20000.0,5.442004772663116,0.6819644183516502,1.4417193229198455,0.5323490301072598,0.6313112362325192,0.8258113697156574,5.4394946637153625,0.6814814682602882,1.4414549820423126,0.5322301621735096,0.6307832708060741,2,5,2,2,8,2.560112714767456,150,2.560112714767456,150.0,8.928391640981038,0.37469310442606607,2.2975768645604453,0.5898177119096121,0.16373172372579575,0.6121218052202242,2.2855348587036133,150,2.2855348587036133,150.0,8.914888623555502,0.3746500213940938,2.2971146154403685,0.5897751335302989,0.16375346849362055,0.6120866126571417
