lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L2
[0.01],0,False,1,a9e2f_00001,2023-10-02_22-20-11,1696256411,48.70307159423828,48.70307159423828,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,48.70307159423828,1,25915,1.8722906112670898,150,4.147636651992798,300.0,0.0010338224237784743,0.00025353154769012083,0.01636710507174333,0.009280644251654546,0.015922674011927797,0.0010338224237784743,0.00025353154769012083,0.01636710507174333,0.009280644251654546,0,0,0,0,46.830223083496094,2000,46.830223083496094,2000.0,0.428178873822093,0.14657794494181872,0.3072149215042591,0.18444344593584538,0.3828549920555023,0.428178873822093,0.14657794494181872,0.3072149215042591,0.18444344593584538,0,0,0,0,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[0.01],1,False,2,a9e2f_00001,2023-10-02_22-20-59,1696256459,48.2779107093811,96.98098230361938,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,96.98098230361938,2,25915,1.8441612720489502,150,5.991797924041748,450.0,0.0004821381258079782,0.00013141938999372844,0.011274710123737652,0.006630944119145473,0.011463829639074738,0.0004821381258079782,0.00013141938999372844,0.011274710123737652,0.006630944119145473,0,0,0,0,46.43321681022644,2000,93.26343989372253,4000.0,0.42311385214328767,0.14287590876594186,0.30407112611830234,0.18162934198975564,0.3779892971579246,0.42311385214328767,0.14287590876594186,0.30407112611830234,0.18162934198975564,0,0,0,0,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[0.0025],2,False,3,a9e2f_00001,2023-10-02_22-21-47,1696256507,48.017258167266846,144.99824047088623,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,144.99824047088623,3,25915,1.8444344997406006,150,7.836232423782349,600.0,0.00043421664061800885,0.00011275753839678753,0.010655880278597275,0.006222275237863262,0.010618735254105713,0.00043421664061800885,0.00011275753839678753,0.010655880278597275,0.006222275237863262,0,0,0,0,46.17231488227844,2000,139.43575477600098,6000.0,0.4225429479032755,0.14282282450795172,0.30377763766050336,0.18154112426936628,0.37791907137368935,0.4225429479032755,0.14282282450795172,0.30377763766050336,0.18154112426936628,0,0,0,0,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[0.0025],3,False,4,a9e2f_00001,2023-10-02_22-22-35,1696256555,48.17551922798157,193.1737596988678,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,193.1737596988678,4,25915,1.8517308235168457,150,9.687963247299194,750.0,0.0002894461649702862,8.409549647088474e-05,0.008515651989728212,0.005265688042466839,0.009170359669657714,0.0002894461649702862,8.409549647088474e-05,0.008515651989728212,0.005265688042466839,0,0,0,0,46.32311964035034,2000,185.75887441635132,8000.0,0.4224087150990963,0.14278015702217817,0.30378961165249346,0.18154225885868072,0.3778626165978558,0.4224087150990963,0.14278015702217817,0.30377763766050336,0.18154112426936628,0,0,1,1,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[0.000625],4,False,5,a9e2f_00001,2023-10-02_22-23-25,1696256605,49.468772649765015,242.6425323486328,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,242.6425323486328,5,25915,1.9275944232940674,150,11.615557670593262,900.0,0.00019312478029557192,6.181430636691705e-05,0.007564222508420547,0.004603028877948721,0.007862207474171427,0.00019312478029557192,6.181430636691705e-05,0.007564222508420547,0.004603028877948721,0,0,0,0,47.540571451187134,2000,233.29944586753845,10000.0,0.42217298662662506,0.14279256695508957,0.30360386645793913,0.18145217252522708,0.3778790374644902,0.42217298662662506,0.14278015702217817,0.30360386645793913,0.18145217252522708,0,1,0,0,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[0.000625],5,False,6,a9e2f_00001,2023-10-02_22-24-14,1696256654,49.316473722457886,291.9590060710907,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,291.9590060710907,6,25915,1.9261736869812012,150,13.541731357574463,1050.0,0.0001996324421876731,6.788402058494587e-05,0.00768066622937719,0.004790444939086835,0.008239175965164592,0.00019312478029557192,6.181430636691705e-05,0.007564222508420547,0.004603028877948721,1,1,1,1,47.38976812362671,2000,280.68921399116516,12000.0,0.4223878275901079,0.1428422322720289,0.3037008670568466,0.18149645684659482,0.3779447476444525,0.42217298662662506,0.14278015702217817,0.30360386645793913,0.18145217252522708,1,2,1,1,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[0.00015625],6,False,7,a9e2f_00001,2023-10-02_22-25-04,1696256704,49.70045590400696,341.65946197509766,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,341.65946197509766,7,25915,1.8562023639678955,150,15.397933721542358,1200.0,9.737556906960284e-05,2.747000870537401e-05,0.005014316781113545,0.0029789857550834614,0.0052411839030293535,9.737556906960284e-05,2.747000870537401e-05,0.005014316781113545,0.0029789857550834614,0,0,0,0,47.84362530708313,2000,328.5328392982483,14000.0,0.4222455649375916,0.14280783911049366,0.30363058011233807,0.1814699050784111,0.3778992446545688,0.42217298662662506,0.14278015702217817,0.30360386645793913,0.18145217252522708,2,3,2,2,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[0.00015625],7,False,8,a9e2f_00001,2023-10-02_22-25-53,1696256753,49.48396301269531,391.14342498779297,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,391.14342498779297,8,25915,1.9291305541992188,150,17.327064275741577,1350.0,5.986976306303404e-05,2.2598482234267675e-05,0.004141674938922127,0.0026514103434359033,0.0047537860947110015,5.986976306303404e-05,2.2598482234267675e-05,0.004141674938922127,0.0026514103434359033,0,0,0,0,47.55426836013794,2000,376.08710765838623,16000.0,0.4221700554341078,0.1427354120463133,0.30359039318561554,0.18143022395670413,0.37780340396337525,0.4221700554341078,0.1427354120463133,0.30359039318561554,0.18143022395670413,0,0,0,0,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[3.90625e-05],8,False,9,a9e2f_00001,2023-10-02_22-26-43,1696256803,49.330907344818115,440.4743323326111,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,440.4743323326111,9,25915,1.9170749187469482,150,19.244139194488525,1500.0,4.893805952936721e-05,1.9161045723497713e-05,0.0037617505978172023,0.0024323228420689703,0.004377333174833476,4.893805952936721e-05,1.9161045723497713e-05,0.0037617505978172023,0.0024323228420689703,0,0,0,0,47.41330003738403,2000,423.50040769577026,18000.0,0.42206853280961515,0.14272469887882472,0.3035418558716774,0.18140846474468708,0.3777892254668266,0.42206853280961515,0.14272469887882472,0.3035418558716774,0.18140846474468708,0,0,0,0,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
[3.90625e-05],9,False,10,a9e2f_00001,2023-10-02_22-27-27,1696256847,44.465081453323364,484.93941378593445,38091,sepc622.se.cuhk.edu.hk,137.189.58.22,484.93941378593445,10,25915,1.9064888954162598,150,21.150628089904785,1650.0,4.7757895566367854e-05,1.891034044092521e-05,0.003702694612244765,0.002401893166825175,0.004348602124927643,4.7757895566367854e-05,1.891034044092521e-05,0.003702694612244765,0.002401893166825175,0,0,0,0,42.55806827545166,2000,466.0584759712219,20000.0,0.42198540276288987,0.14272414437681435,0.30353327868878843,0.1814286778047681,0.37778849158863265,0.42198540276288987,0.14272414437681435,0.30353327868878843,0.18140846474468708,0,0,0,1,2.275346040725708,150,2.275346040725708,150.0,0.7608745690186819,0.12525059059262275,0.4801649864514669,0.2665682897965113,0.3539076017728678
