lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,ce342_00000,2023-10-24_01-38-06,1698082686,44.41498684883118,44.41498684883118,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,44.41498684883118,1,10895,0.011048316955566406,1,0.31766843795776367,2.0,0.00556804658845067,0.000925774103961885,0.05024031922221184,0.021416373550891876,0.02161288820207119,0.03042653618080581,0.00556804658845067,0.000925774103961885,0.05024031922221184,0.021416373550891876,0.02161288820207119,0,0,0,0,0,44.40325307846069,2000,44.40325307846069,2000.0,4.805751607418061,0.9003039846718311,1.1885970464348794,0.5662694842219352,0.7608185735344887,0.9488434985137597,4.805751607418061,0.9003039846718311,1.1885970464348794,0.5662694842219352,0.7608185735344887,0,0,0,0,0,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[0.01],1,False,2,ce342_00000,2023-10-24_01-38-51,1698082731,45.00034713745117,89.41533398628235,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,89.41533398628235,2,10895,0.011174917221069336,1,0.328843355178833,3.0,0.0025651701726019382,0.0004919400671496987,0.03604866936802864,0.01563112437725067,0.015735631808638573,0.02217972198089279,0.0025651701726019382,0.0004919400671496987,0.03604866936802864,0.01563112437725067,0.015735631808638573,0,0,0,0,0,44.98861074447632,2000,89.39186382293701,4000.0,4.792318608283996,0.8987205839157104,1.1863083657622338,0.5652815480828285,0.7607711663544178,0.9480087467506354,4.792318608283996,0.8987205839157104,1.1863083657622338,0.5652815480828285,0.7607711663544178,0,0,0,0,0,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[0.0025],2,False,3,ce342_00000,2023-10-24_01-39-35,1698082775,44.029240131378174,133.44457411766052,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,133.44457411766052,3,10895,0.011643409729003906,1,0.3404867649078369,4.0,0.0016233050264418125,0.0002771022845990956,0.0289915781468153,0.012182662263512611,0.011343990452587605,0.016646389536445903,0.0016233050264418125,0.0002771022845990956,0.0289915781468153,0.012182662263512611,0.011343990452587605,0,0,0,0,0,44.01703476905823,2000,133.40889859199524,6000.0,4.79571878862381,0.8996462543606758,1.1860689882040023,0.565369159579277,0.7615203664302826,0.9484968394046844,4.792318608283996,0.8987205839157104,1.1860689882040023,0.5652815480828285,0.7607711663544178,1,1,0,1,1,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[0.0025],3,False,4,ce342_00000,2023-10-24_01-40-19,1698082819,43.92390012741089,177.3684742450714,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,177.3684742450714,4,10895,0.010957717895507812,1,0.3514444828033447,5.0,0.001494680531322956,0.0001917980844154954,0.02310122549533844,0.00961080752313137,0.009971524588763714,0.013849118542907176,0.001494680531322956,0.0001917980844154954,0.02310122549533844,0.00961080752313137,0.009971524588763714,0,0,0,0,0,43.912439823150635,2000,177.32133841514587,8000.0,4.7946204671859745,0.8989527834057808,1.1857389715909958,0.5651827483773232,0.7611994463205337,0.9481312057968458,4.792318608283996,0.8987205839157104,1.1857389715909958,0.5651827483773232,0.7607711663544178,2,2,0,0,2,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[0.000625],4,False,5,ce342_00000,2023-10-24_01-41-03,1698082863,44.027836561203,221.3963108062744,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,221.3963108062744,5,10895,0.010957002639770508,1,0.36240148544311523,6.0,0.00045818425132893026,0.00010724113963078707,0.015038056299090385,0.0068932934664189816,0.007728138938546181,0.010355729797111697,0.00045818425132893026,0.00010724113963078707,0.015038056299090385,0.0068932934664189816,0.007728138938546181,0,0,0,0,0,44.01624917984009,2000,221.33758759498596,10000.0,4.792664401054382,0.8993803452551364,1.1856955128908158,0.5651781325042248,0.7615160416960717,0.9483566550908663,4.792318608283996,0.8987205839157104,1.1856955128908158,0.5651781325042248,0.7607711663544178,3,3,0,0,3,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[0.000625],5,False,6,ce342_00000,2023-10-24_01-41-47,1698082907,43.98125386238098,265.3775646686554,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,265.3775646686554,6,10895,0.010902643203735352,1,0.3733041286468506,7.0,0.0008904578862711787,0.0001358804147457704,0.0202105063945055,0.008256176486611366,0.00822900515049696,0.011656775486633101,0.00045818425132893026,0.00010724113963078707,0.015038056299090385,0.0068932934664189816,0.007728138938546181,1,1,1,1,1,43.969862937927246,2000,265.3074505329132,12000.0,4.791038747549057,0.8991352409720421,1.1856359406113623,0.5651449808478355,0.7613759526610374,0.9482274204915412,4.791038747549057,0.8987205839157104,1.1856359406113623,0.5651449808478355,0.7607711663544178,0,4,0,0,4,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[0.00015625],6,False,7,ce342_00000,2023-10-24_01-42-31,1698082951,43.970073223114014,309.3476378917694,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,309.3476378917694,7,10895,0.010833740234375,1,0.3841378688812256,8.0,0.0007815795834176242,7.549901056336239e-05,0.015361967496573925,0.005664255935698748,0.006589049473404884,0.008689016662624281,0.00045818425132893026,7.549901056336239e-05,0.015038056299090385,0.005664255935698748,0.006589049473404884,2,0,2,0,0,43.95867657661438,2000,309.2661271095276,14000.0,4.79334308218956,0.8990945016741753,1.1854684599041938,0.5650534124076366,0.7614301856458187,0.9482059384301362,4.791038747549057,0.8987205839157104,1.1854684599041938,0.5650534124076366,0.7607711663544178,1,5,0,0,5,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[0.00015625],7,False,8,ce342_00000,2023-10-24_01-43-15,1698082995,43.98962116241455,353.33725905418396,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,353.33725905418396,8,10895,0.011348962783813477,1,0.39548683166503906,9.0,0.000666024221573025,6.733294867444783e-05,0.014101064763963223,0.005268259905278683,0.006291162222623825,0.008205665644811995,0.00045818425132893026,6.733294867444783e-05,0.014101064763963223,0.005268259905278683,0.006291162222623825,3,0,0,0,0,43.97783446311951,2000,353.2439615726471,16000.0,4.790902126312256,0.8988035969734192,1.185311039328575,0.564967283308506,0.7613031189739704,0.9480525285939694,4.790902126312256,0.8987205839157104,1.185311039328575,0.564967283308506,0.7607711663544178,0,6,0,0,6,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[3.90625e-05],8,False,9,ce342_00000,2023-10-24_01-43-59,1698083039,43.928590297698975,397.26584935188293,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,397.26584935188293,9,10895,0.01101231575012207,1,0.40649914741516113,10.0,0.00015686625556554645,5.408753713709302e-05,0.00836533959954977,0.004176478832960129,0.006053500343114138,0.007354422964250358,0.00015686625556554645,5.408753713709302e-05,0.00836533959954977,0.004176478832960129,0.006053500343114138,0,0,0,0,0,43.91713905334473,2000,397.1611006259918,18000.0,4.791760979890824,0.8992452733814716,1.1855237680673598,0.5650769798755646,0.7615149147212505,0.9482854387690827,4.790902126312256,0.8987205839157104,1.185311039328575,0.564967283308506,0.7607711663544178,1,7,1,1,7,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
[3.90625e-05],9,False,10,ce342_00000,2023-10-24_01-44-43,1698083083,44.05869483947754,441.3245441913605,382564,sepc622.se.cuhk.edu.hk,137.189.58.22,441.3245441913605,10,10895,0.010967493057250977,1,0.4174666404724121,11.0,0.0001612932828720659,4.8026056902017444e-05,0.00810141209512949,0.003980825189501047,0.005672684870660305,0.0069300834700613415,0.00015686625556554645,4.8026056902017444e-05,0.00810141209512949,0.003980825189501047,0.005672684870660305,1,0,0,0,0,44.04723525047302,2000,441.20833587646484,20000.0,4.793355252504349,0.8991931942403316,1.1854913102388382,0.5650179689228535,0.7615241969823837,0.9482579787380286,4.790902126312256,0.8987205839157104,1.185311039328575,0.564967283308506,0.7607711663544178,2,8,2,2,8,0.30662012100219727,1,0.30662012100219727,1.0,6.680207252502441,0.2683090269565582,1.5650242567062378,0.43886178731918335,0.2751545011997223,0.5179855470537361
