lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,908ff_00000,2023-10-30_22-14-58,1698675298,54.78718423843384,54.78718423843384,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,54.78718423843384,1,16215,0.011577367782592773,1,0.02464127540588379,2.0,0.007133033126592636,0.0007861731573939323,0.05394600331783295,0.020567718893289566,0.01905636675655842,0.02803877952753886,0.007133033126592636,0.0007861731573939323,0.05394600331783295,0.020567718893289566,0.01905636675655842,0,0,0,0,0,0.012169122695922852,1,0.32970571517944336,2.0,0.007046998478472233,0.0007856583106331527,0.05406121164560318,0.020601261407136917,0.01900656335055828,0.028029597047284728,0.007046998478472233,0.0007856583106331527,0.05406121164560318,0.020601261407136917,0.01900656335055828,0,0,0,0,0,54.76252603530884,2000,54.76252603530884,2000.0,4.809818156480789,0.900086671590805,1.189667054772377,0.5669690508842469,0.7602495673894882,0.948728976890031,4.809818156480789,0.900086671590805,1.189667054772377,0.5669690508842469,0.7602495673894882,0,0,0,0,0,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[0.01],1,False,2,908ff_00000,2023-10-30_22-15-52,1698675352,54.32429623603821,109.11148047447205,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,109.11148047447205,2,16215,0.011429309844970703,1,0.03607058525085449,3.0,0.0044787004590034485,0.0005877661169506609,0.04458894208073616,0.01772375963628292,0.016541970893740654,0.024243888239114223,0.0044787004590034485,0.0005877661169506609,0.04458894208073616,0.01772375963628292,0.016541970893740654,0,0,0,0,0,0.011746406555175781,1,0.34145212173461914,3.0,0.004504507407546043,0.0005853397306054831,0.044693343341350555,0.017730701714754105,0.016460992395877838,0.024193795291468492,0.004504507407546043,0.0005853397306054831,0.044693343341350555,0.017730701714754105,0.016460992395877838,0,0,0,0,0,54.30005860328674,2000,109.06258463859558,4000.0,4.795264669656754,0.8993165057897567,1.1873177791833878,0.5660372443795204,0.7606204842329025,0.9483229965522068,4.795264669656754,0.8993165057897567,1.1873177791833878,0.5660372443795204,0.7602495673894882,0,0,0,0,1,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[0.0025],2,False,3,908ff_00000,2023-10-30_22-16-47,1698675407,54.76905608177185,163.8805365562439,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,163.8805365562439,3,16215,0.011524438858032227,1,0.04759502410888672,4.0,0.0015246834373101592,0.00024151537218131125,0.02582617662847042,0.010987968184053898,0.010990037582814693,0.015540764851876217,0.0015246834373101592,0.00024151537218131125,0.02582617662847042,0.010987968184053898,0.010990037582814693,0,0,0,0,0,0.012298107147216797,1,0.35375022888183594,4.0,0.0015309973387047648,0.0002408387081231922,0.025864724069833755,0.010965387336909771,0.010981802828609943,0.015518978965228098,0.0015309973387047648,0.0002408387081231922,0.025864724069833755,0.010965387336909771,0.010981802828609943,0,0,0,0,0,54.74435329437256,2000,163.80693793296814,6000.0,4.795244174242019,0.8997642765045166,1.1863852609395982,0.5656767147481442,0.7613672696352005,0.9485590527239285,4.795244174242019,0.8993165057897567,1.1863852609395982,0.5656767147481442,0.7602495673894882,0,1,0,0,2,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[0.0025],3,False,4,908ff_00000,2023-10-30_22-17-42,1698675462,54.960620403289795,218.8411569595337,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,218.8411569595337,4,16215,0.011452198028564453,1,0.05904722213745117,5.0,0.0011618543649092317,0.00019718639669008553,0.022510042414069176,0.0096206059679389,0.010228940285742283,0.014042307384831225,0.0011618543649092317,0.00019718639669008553,0.022510042414069176,0.0096206059679389,0.010228940285742283,0,0,0,0,0,0.012021303176879883,1,0.3657715320587158,5.0,0.0011930875480175018,0.00019497711036819965,0.022540820762515068,0.009590452536940575,0.010148949921131134,0.013963420439426711,0.0011930875480175018,0.00019497711036819965,0.022540820762515068,0.009590452536940575,0.010148949921131134,0,0,0,0,0,54.936344146728516,2000,218.74328207969666,8000.0,4.795422854185104,0.8992483447790146,1.1862295362353326,0.5655618909597396,0.7611020594835282,0.948287058215504,4.795244174242019,0.8992483447790146,1.1862295362353326,0.5655618909597396,0.7602495673894882,1,0,0,0,3,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[0.000625],4,False,5,908ff_00000,2023-10-30_22-18-37,1698675517,54.861825704574585,273.7029826641083,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,273.7029826641083,5,16215,0.011657476425170898,1,0.07070469856262207,6.0,0.0006037342245690525,0.00012268655700609088,0.016662627458572388,0.007461375091224909,0.008186268620193005,0.011076396390798358,0.0006037342245690525,0.00012268655700609088,0.016662627458572388,0.007461375091224909,0.008186268620193005,0,0,0,0,0,0.012848138809204102,1,0.3786196708679199,6.0,0.0006196364411152899,0.00012247519043739885,0.016671042889356613,0.007441845256835222,0.00819113478064537,0.011066850972042538,0.0006196364411152899,0.00012247519043739885,0.016671042889356613,0.007441845256835222,0.00819113478064537,0,0,0,0,0,54.836541175842285,2000,273.57982325553894,10000.0,4.789764098405838,0.8987060220837593,1.1856163053512574,0.5652859063446521,0.7609892279207706,0.9480010664992732,4.789764098405838,0.8987060220837593,1.1856163053512574,0.5652859063446521,0.7602495673894882,0,0,0,0,4,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[0.000625],5,False,6,908ff_00000,2023-10-30_22-19-32,1698675572,54.51893877983093,328.2219214439392,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,328.2219214439392,6,16215,0.011519670486450195,1,0.08222436904907227,7.0,0.0012806403683498502,0.00016931191203184426,0.02327699027955532,0.009407750330865383,0.008989260531961918,0.013011991086372764,0.0006037342245690525,0.00012268655700609088,0.016662627458572388,0.007461375091224909,0.008186268620193005,1,1,1,1,1,0.011577606201171875,1,0.3901972770690918,7.0,0.001286062179133296,0.00016410363605245948,0.02313457801938057,0.009357656352221966,0.008748631924390793,0.012810294143869588,0.0006196364411152899,0.00012247519043739885,0.016671042889356613,0.007441845256835222,0.00819113478064537,1,1,1,1,1,54.49517607688904,2000,328.074999332428,12000.0,4.795822890281677,0.8996432096064091,1.1858732433915138,0.5652658326923847,0.7616202235817909,0.9484952343614643,4.789764098405838,0.8987060220837593,1.1856163053512574,0.5652658326923847,0.7602495673894882,1,1,1,0,5,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[0.00015625],6,False,7,908ff_00000,2023-10-30_22-20-25,1698675625,53.84484338760376,382.06676483154297,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,382.06676483154297,7,16215,0.011799097061157227,1,0.09402346611022949,8.0,0.0003779975522775203,6.723451951984316e-05,0.012089943513274193,0.005204199347645044,0.0063364943489432335,0.008199665817571053,0.0003779975522775203,6.723451951984316e-05,0.012089943513274193,0.005204199347645044,0.0063364943489432335,0,0,0,0,0,0.012009143829345703,1,0.4022064208984375,8.0,0.00037818768760189414,6.883298192406073e-05,0.012136331759393215,0.005229270551353693,0.00644112192094326,0.008296564465130173,0.00037818768760189414,6.883298192406073e-05,0.012136331759393215,0.005229270551353693,0.00644112192094326,0,0,0,0,0,53.82032823562622,2000,381.8953275680542,14000.0,4.788479494810105,0.8986177920997143,1.1853397210836412,0.5650396872162818,0.7611281112134457,0.947954530607726,4.788479494810105,0.8986177920997143,1.1853397210836412,0.5650396872162818,0.7602495673894882,0,0,0,0,6,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[0.00015625],7,False,8,908ff_00000,2023-10-30_22-21-20,1698675680,54.540512800216675,436.60727763175964,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,436.60727763175964,8,16215,0.011898994445800781,1,0.10592246055603027,9.0,0.0006631503929384053,7.594156340928748e-05,0.015287640504539013,0.0058549246750772,0.0064545925706624985,0.008714445674240415,0.0003779975522775203,6.723451951984316e-05,0.012089943513274193,0.005204199347645044,0.0063364943489432335,1,1,1,1,1,0.012234687805175781,1,0.4144411087036133,9.0,0.0006662880186922848,7.433531573042274e-05,0.015245475806295872,0.005834498442709446,0.006347776856273413,0.008621793069334402,0.00037818768760189414,6.883298192406073e-05,0.012136331759393215,0.005229270551353693,0.006347776856273413,1,1,1,1,0,54.515546798706055,2000,436.41087436676025,16000.0,4.791121247529984,0.8990316721796989,1.185500801026821,0.5650671961903572,0.7613797972798347,0.9481728071294278,4.788479494810105,0.8986177920997143,1.1853397210836412,0.5650396872162818,0.7602495673894882,1,1,1,1,7,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[3.90625e-05],8,False,9,908ff_00000,2023-10-30_22-22-15,1698675735,55.40046310424805,492.0077407360077,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,492.0077407360077,9,16215,0.011811017990112305,1,0.11773347854614258,10.0,0.0002523036964703351,5.339754352462478e-05,0.010272529907524586,0.004570686258375645,0.0057014599442481995,0.007307362282289334,0.0002523036964703351,5.339754352462478e-05,0.010272529907524586,0.004570686258375645,0.0057014599442481995,0,0,0,0,0,0.012970924377441406,1,0.4274120330810547,10.0,0.00025313557125627995,5.376903209253214e-05,0.01029224880039692,0.004572803620249033,0.005732256919145584,0.007332737012366674,0.00025313557125627995,5.376903209253214e-05,0.01029224880039692,0.004572803620249033,0.005732256919145584,0,0,0,0,0,55.374943017959595,2000,491.78581738471985,18000.0,4.792715619802475,0.8992042502462864,1.1855802068710326,0.5650727632045746,0.7614909736216068,0.9482638083604616,4.788479494810105,0.8986177920997143,1.1853397210836412,0.5650396872162818,0.7602495673894882,2,2,2,2,8,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
[3.90625e-05],9,False,10,908ff_00000,2023-10-30_22-23-10,1698675790,54.36534237861633,546.373083114624,217897,sepc622.se.cuhk.edu.hk,137.189.58.22,546.373083114624,10,16215,0.011980772018432617,1,0.1297142505645752,11.0,0.0006974042044021189,6.0895163187524304e-05,0.013086621649563313,0.0049179126508533955,0.006058844737708569,0.007803535300588081,0.0002523036964703351,5.339754352462478e-05,0.010272529907524586,0.004570686258375645,0.0057014599442481995,1,1,1,1,1,0.012054204940795898,1,0.4394662380218506,11.0,0.0006637146580033004,5.952021456323564e-05,0.013052448630332947,0.004928234498947859,0.005935740191489458,0.0077149345145137585,0.00025313557125627995,5.376903209253214e-05,0.01029224880039692,0.004572803620249033,0.005732256919145584,1,1,1,1,1,54.340540409088135,2000,546.126357793808,20000.0,4.793009062051773,0.8991147094070912,1.1854957001805306,0.5650503774881362,0.7614498078525066,0.9482165941424413,4.788479494810105,0.8986177920997143,1.1853397210836412,0.5650396872162818,0.7602495673894882,3,3,3,3,9,0.3175365924835205,1,0.3175365924835205,1.0,6.444153308868408,0.24691517651081085,1.512268304824829,0.4205818176269531,0.26462554931640625,0.49690560120692023,0.013063907623291016,1,0.013063907623291016,1.0,6.179538726806641,0.24501082301139832,1.4912513494491577,0.4184477627277374,0.26441046595573425,0.494985679602348
