lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,2e5e0_00001,2024-05-31_12-42-56,1717130576,22.592405319213867,22.592405319213867,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,22.592405319213867,1,386,0.009064197540283203,1,0.019622802734375,2.0,751.0473022460938,181.47352600097656,23.940359115600586,11.456876754760742,7.086174964904785,13.47121100721745,751.0473022460938,181.47352600097656,23.940359115600586,11.456876754760742,7.086174964904785,0,0,0,0,0,0.009330511093139648,1,0.326662540435791,2.0,756.51611328125,180.35317993164062,24.009174346923828,11.427947998046875,7.053765296936035,13.4295636538065,756.51611328125,180.35317993164062,24.009174346923828,11.427947998046875,7.053765296936035,0,0,0,0,0,22.573508739471436,2000,22.573508739471436,2000.0,38821.95155499267,21265.535653900148,121.10069086360932,80.61982662153244,42.386329329490664,145.82707448858784,38821.95155499267,21265.535653900148,121.10069086360932,80.61982662153244,42.386329329490664,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[0.01],1,False,2,2e5e0_00001,2024-05-31_12-43-19,1717130599,22.457674264907837,45.050079584121704,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,45.050079584121704,2,386,0.009042978286743164,1,0.028665781021118164,3.0,125.58699798583984,16.15534782409668,7.122337341308594,3.0417041778564453,2.6274399757385254,4.019371570792713,125.58699798583984,16.15534782409668,7.122337341308594,3.0417041778564453,2.6274399757385254,0,0,0,0,0,0.00933980941772461,1,0.3360023498535156,3.0,127.4131851196289,16.18708610534668,7.137876987457275,3.042079210281372,2.633039951324463,4.023317798204198,127.4131851196289,16.18708610534668,7.137876987457275,3.042079210281372,2.633039951324463,0,0,0,0,0,22.43873929977417,2000,45.012248039245605,4000.0,298.7733999328613,117.37483015441894,12.439909806728362,7.529778292655945,6.9465765812397,10.833966501444378,298.7733999328613,117.37483015441894,12.439909806728362,7.529778292655945,6.9465765812397,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[0.0025],2,False,3,2e5e0_00001,2024-05-31_12-43-41,1717130621,22.360947608947754,67.41102719306946,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,67.41102719306946,3,386,0.008487462997436523,1,0.03715324401855469,4.0,79.41383361816406,9.390114784240723,5.507782459259033,2.3886666297912598,1.9194836616516113,3.064329418362315,79.41383361816406,9.390114784240723,5.507782459259033,2.3886666297912598,1.9194836616516113,0,0,0,0,0,0.00887918472290039,1,0.344881534576416,4.0,77.03812408447266,9.260823249816895,5.466385364532471,2.371980667114258,1.9064520597457886,3.043160076272179,77.03812408447266,9.260823249816895,5.466385364532471,2.371980667114258,1.9064520597457886,0,0,0,0,0,22.34311580657959,2000,67.3553638458252,6000.0,109.0539250946045,28.940430221557616,6.528188969612121,3.6329210747480394,3.9343001828193667,5.379631048832031,109.0539250946045,28.940430221557616,6.528188969612121,3.6329210747480394,3.9343001828193667,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[0.0025],3,False,4,2e5e0_00001,2024-05-31_12-44-03,1717130643,22.168747186660767,89.57977437973022,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,89.57977437973022,4,386,0.008499622344970703,1,0.04565286636352539,5.0,37.59346008300781,4.791569232940674,3.6789770126342773,1.6657823324203491,1.4201252460479736,2.188965333882808,37.59346008300781,4.791569232940674,3.6789770126342773,1.6657823324203491,1.4201252460479736,0,0,0,0,0,0.009078741073608398,1,0.3539602756500244,5.0,37.3015022277832,4.744457721710205,3.670555353164673,1.660597801208496,1.409570574760437,2.1781776148216667,37.3015022277832,4.744457721710205,3.670555353164673,1.660597801208496,1.409570574760437,0,0,0,0,0,22.150718927383423,2000,89.50608277320862,8000.0,61.25495923995972,14.128784369945526,4.81165838098526,2.6315935218334197,2.650998565912247,3.7588275259641173,61.25495923995972,14.128784369945526,4.81165838098526,2.6315935218334197,2.650998565912247,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[0.000625],4,False,5,2e5e0_00001,2024-05-31_12-44-26,1717130666,22.33206582069397,111.9118402004242,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,111.9118402004242,5,386,0.008343935012817383,1,0.05399680137634277,6.0,25.60867691040039,3.522421360015869,3.009164571762085,1.3975005149841309,1.2527676820755005,1.8768114876076045,25.60867691040039,3.522421360015869,3.009164571762085,1.3975005149841309,1.2527676820755005,0,0,0,0,0,0.008951425552368164,1,0.3629117012023926,6.0,26.05571746826172,3.519407033920288,3.014885902404785,1.396492838859558,1.2526882886886597,1.8760082712824824,26.05571746826172,3.519407033920288,3.014885902404785,1.396492838859558,1.2526882886886597,0,0,0,0,0,22.314380645751953,2000,111.82046341896057,10000.0,36.895458282470706,7.881991935968399,3.6403274393081664,1.9728521717190743,1.99259103256464,2.807488546008407,36.895458282470706,7.881991935968399,3.6403274393081664,1.9728521717190743,1.99259103256464,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[0.000625],5,False,6,2e5e0_00001,2024-05-31_12-44-48,1717130688,22.548619747161865,134.46045994758606,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,134.46045994758606,6,386,0.008460044860839844,1,0.06245684623718262,7.0,14.98090934753418,2.5647077560424805,2.424077272415161,1.1927145719528198,1.068713903427124,1.6014704980243877,14.98090934753418,2.5647077560424805,2.424077272415161,1.1927145719528198,1.068713903427124,0,0,0,0,0,0.008957386016845703,1,0.3718690872192383,7.0,14.831116676330566,2.543656826019287,2.4140563011169434,1.18935227394104,1.0625946521759033,1.5948845807829755,14.831116676330566,2.543656826019287,2.4140563011169434,1.18935227394104,1.0625946521759033,0,0,0,0,0,22.530853033065796,2000,134.35131645202637,12000.0,24.38677168369293,5.513957105398178,3.0263647845983503,1.6807813466191293,1.6359893003702164,2.3481816593692613,24.38677168369293,5.513957105398178,3.0263647845983503,1.6807813466191293,1.6359893003702164,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[0.00015625],6,False,7,2e5e0_00001,2024-05-31_12-45-11,1717130711,22.49913001060486,156.95958995819092,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,156.95958995819092,7,386,0.007692098617553711,1,0.07014894485473633,8.0,11.276564598083496,2.2090044021606445,2.2261102199554443,1.111564040184021,0.9866296052932739,1.4862719812203433,11.276564598083496,2.2090044021606445,2.2261102199554443,1.111564040184021,0.9866296052932739,0,0,0,0,0,0.0080718994140625,1,0.3799409866333008,8.0,11.144160270690918,2.2206037044525146,2.2209393978118896,1.1122382879257202,0.9917347431182861,1.4901690187534147,11.144160270690918,2.2206037044525146,2.2209393978118896,1.1122382879257202,0.9917347431182861,0,0,0,0,0,22.48302984237671,2000,156.83434629440308,14000.0,17.78148392820358,4.476058242797851,2.710924772977829,1.54214877307415,1.447843872964382,2.115669691326567,17.78148392820358,4.476058242797851,2.710924772977829,1.54214877307415,1.447843872964382,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[0.00015625],7,False,8,2e5e0_00001,2024-05-31_12-45-33,1717130733,22.649454832077026,179.60904479026794,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,179.60904479026794,8,386,0.009484291076660156,1,0.07963323593139648,9.0,7.964727401733398,1.7187297344207764,1.94135582447052,0.9840511679649353,0.8662443161010742,1.3110033312012508,7.964727401733398,1.7187297344207764,1.94135582447052,0.9840511679649353,0.8662443161010742,0,0,0,0,0,0.009669303894042969,1,0.38961029052734375,9.0,7.879321098327637,1.7146265506744385,1.9415565729141235,0.9830214977264404,0.8650442361831665,1.3094374939929123,7.879321098327637,1.7146265506744385,1.9415565729141235,0.9830214977264404,0.8650442361831665,0,0,0,0,0,22.629937887191772,2000,179.46428418159485,16000.0,14.224259333610535,3.763868669271469,2.488453476548195,1.4180405760407448,1.3226027684807777,1.9400692434218603,14.224259333610535,3.763868669271469,2.488453476548195,1.4180405760407448,1.3226027684807777,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[3.90625e-05],8,False,9,2e5e0_00001,2024-05-31_12-45-56,1717130756,22.963534832000732,202.57257962226868,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,202.57257962226868,9,386,0.009773731231689453,1,0.08940696716308594,10.0,6.2869343757629395,1.5518949031829834,1.8265116214752197,0.9343565106391907,0.8239408135414124,1.2457507387848434,6.2869343757629395,1.5518949031829834,1.8265116214752197,0.9343565106391907,0.8239408135414124,0,0,0,0,0,0.009601831436157227,1,0.399212121963501,10.0,6.680232048034668,1.5413988828659058,1.8370898962020874,0.9337083697319031,0.8182867765426636,1.241530862631254,6.680232048034668,1.5413988828659058,1.8370898962020874,0.9337083697319031,0.8182867765426636,0,0,0,0,0,22.943819046020508,2000,202.40810322761536,18000.0,11.881724964618682,3.2098607342243195,2.3104216021299364,1.3111900916099548,1.2206954659223557,1.7916084210073135,11.881724964618682,3.2098607342243195,2.3104216021299364,1.3111900916099548,1.2206954659223557,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
[3.90625e-05],9,False,10,2e5e0_00001,2024-05-31_12-46-19,1717130779,22.733232736587524,225.3058123588562,288274,sepc622.se.cuhk.edu.hk,137.189.58.22,225.3058123588562,10,386,0.00905156135559082,1,0.09845852851867676,11.0,5.380622386932373,1.3489513397216797,1.7206237316131592,0.8768539428710938,0.7616320848464966,1.1614436446602476,5.380622386932373,1.3489513397216797,1.7206237316131592,0.8768539428710938,0.7616320848464966,0,0,0,0,0,0.009303569793701172,1,0.40851569175720215,11.0,5.370369911193848,1.37131667137146,1.7289974689483643,0.8831499814987183,0.7690043449401855,1.1710323101313047,5.370369911193848,1.37131667137146,1.7289974689483643,0.8831499814987183,0.7690043449401855,0,0,0,0,0,22.7144136428833,2000,225.12251687049866,20000.0,10.730724800109863,2.915798775434494,2.2174982188940047,1.2538369286060334,1.158891140937805,1.707571016219968,10.730724800109863,2.915798775434494,2.2174982188940047,1.2538369286060334,1.158891140937805,0,0,0,0,0,0.31733202934265137,1,0.31733202934265137,1.0,1263353.125,414434.125,1111.25830078125,583.9252319335938,271.0462951660156,643.7655823356822,0.010558605194091797,1,0.010558605194091797,1.0,1259452.625,416991.90625,1109.6734619140625,585.8573608398438,271.59478759765625,645.7491047225694
