lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,4e6bc_00000,2024-05-31_12-58-08,1717131488,22.201544284820557,22.201544284820557,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,22.201544284820557,1,245,0.008780479431152344,1,0.017990589141845703,2.0,333.2176818847656,89.4481201171875,16.48210334777832,8.142163276672363,4.8118085861206055,9.457701629740045,333.2176818847656,89.4481201171875,16.48210334777832,8.142163276672363,4.8118085861206055,0,0,0,0,0,0.008830070495605469,1,0.31543874740600586,2.0,333.8457946777344,89.02255249023438,16.496929168701172,8.128540992736816,4.790571689605713,9.435176335937468,333.8457946777344,89.02255249023438,16.496929168701172,8.128540992736816,4.790571689605713,0,0,0,0,0,22.183449745178223,2000,22.183449745178223,2000.0,15612.802483718871,8598.855196739196,77.71057370853424,52.034447497844695,27.38902551484108,92.73001238401295,15612.802483718871,8598.855196739196,77.71057370853424,52.034447497844695,27.38902551484108,0,0,0,0,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[0.01],1,False,2,4e6bc_00000,2024-05-31_12-58-31,1717131511,22.533121824264526,44.73466610908508,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,44.73466610908508,2,245,0.008897781372070312,1,0.026888370513916016,3.0,43.23245620727539,5.764503002166748,3.869048595428467,1.5905723571777344,1.7985022068023682,2.4009379421731722,43.23245620727539,5.764503002166748,3.869048595428467,1.5905723571777344,1.7985022068023682,0,0,0,0,0,0.009275197982788086,1,0.32471394538879395,3.0,43.43115234375,5.73659610748291,3.8710436820983887,1.5871222019195557,1.7937854528427124,2.3951192261519907,43.43115234375,5.73659610748291,3.8710436820983887,1.5871222019195557,1.7937854528427124,0,0,0,0,0,22.514486074447632,2000,44.697935819625854,4000.0,127.38146472167969,57.78081338214874,8.40510747885704,5.331650222659111,4.747607355594635,7.601369178125,127.38146472167969,57.78081338214874,8.40510747885704,5.331650222659111,4.747607355594635,0,0,0,0,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[0.0025],2,False,3,4e6bc_00000,2024-05-31_12-58-54,1717131534,22.529531002044678,67.26419711112976,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,67.26419711112976,3,245,0.00856924057006836,1,0.035457611083984375,4.0,21.4343318939209,1.6684387922286987,2.2748935222625732,0.8148449063301086,1.002234935760498,1.2916806076692096,21.4343318939209,1.6684387922286987,2.2748935222625732,0.8148449063301086,1.002234935760498,0,0,0,0,0,0.0092010498046875,1,0.33391499519348145,4.0,21.414403915405273,1.6577255725860596,2.2805562019348145,0.8139432668685913,0.9976122975349426,1.2875269211111897,21.414403915405273,1.6577255725860596,2.2805562019348145,0.8139432668685913,0.9976122975349426,0,0,0,0,0,22.511373281478882,2000,67.20930910110474,6000.0,37.47828153324127,10.745615020513535,3.4923310664892195,1.8845115020871162,2.6395837157964706,3.278050490842619,37.47828153324127,10.745615020513535,3.4923310664892195,1.8845115020871162,2.6395837157964706,0,0,0,0,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[0.0025],3,False,4,4e6bc_00000,2024-05-31_12-59-16,1717131556,22.23628544807434,89.5004825592041,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,89.5004825592041,4,245,0.008722782135009766,1,0.04418039321899414,5.0,9.104804039001465,0.4018508791923523,1.4037953615188599,0.45731112360954285,0.438997745513916,0.6339170917338893,9.104804039001465,0.4018508791923523,1.4037953615188599,0.45731112360954285,0.438997745513916,0,0,0,0,0,0.00901484489440918,1,0.3429298400878906,5.0,9.332268714904785,0.4008752405643463,1.4160244464874268,0.45870348811149597,0.4364262819290161,0.6331470923603348,9.332268714904785,0.4008752405643463,1.4160244464874268,0.45870348811149597,0.4364262819290161,0,0,0,0,0,22.218148708343506,2000,89.42745780944824,8000.0,18.97069788312912,3.329829821109772,2.163092315971851,0.9429700941443443,1.529900948703289,1.8247821297650226,18.97069788312912,3.329829821109772,2.163092315971851,0.9429700941443443,1.529900948703289,0,0,0,0,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[0.000625],4,False,5,4e6bc_00000,2024-05-31_12-59-38,1717131578,22.357649087905884,111.85813164710999,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,111.85813164710999,5,245,0.008587121963500977,1,0.05276751518249512,6.0,6.5038371086120605,0.28122082352638245,1.2389161586761475,0.40929630398750305,0.3371918499469757,0.5303025773333394,6.5038371086120605,0.28122082352638245,1.2389161586761475,0.40929630398750305,0.3371918499469757,0,0,0,0,0,0.009031534194946289,1,0.3519613742828369,6.0,6.439838409423828,0.28186988830566406,1.2390568256378174,0.4094984531402588,0.3379081189632416,0.5309142005123465,6.439838409423828,0.28186988830566406,1.2390568256378174,0.4094984531402588,0.3379081189632416,0,0,0,0,0,22.339559316635132,2000,111.76701712608337,10000.0,12.682022035598754,1.4713586328029633,1.7367964712977408,0.6719606368243695,1.006705458074808,1.2129957266218885,12.682022035598754,1.4713586328029633,1.7367964712977408,0.6719606368243695,1.006705458074808,0,0,0,0,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[0.000625],5,False,6,4e6bc_00000,2024-05-31_13-00-01,1717131601,22.42730402946472,134.2854356765747,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,134.2854356765747,6,245,0.008783102035522461,1,0.06155061721801758,7.0,3.897310733795166,0.2627318203449249,1.0725340843200684,0.4006848931312561,0.31966274976730347,0.5125737218634261,3.897310733795166,0.2627318203449249,1.0725340843200684,0.4006848931312561,0.31966274976730347,0,0,0,0,0,0.009016990661621094,1,0.360978364944458,7.0,4.252671241760254,0.26345887780189514,1.0664125680923462,0.4011412262916565,0.3202272355556488,0.5132824542120012,4.252671241760254,0.26345887780189514,1.0664125680923462,0.4011412262916565,0.3202272355556488,0,0,0,0,0,22.40915560722351,2000,134.17617273330688,12000.0,9.838316495418548,0.9721600519120693,1.5954986804127693,0.6268261454105377,0.7587734279632569,0.9859817705779703,9.838316495418548,0.9721600519120693,1.5954986804127693,0.6268261454105377,0.7587734279632569,0,0,0,0,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[0.00015625],6,False,7,4e6bc_00000,2024-05-31_13-00-23,1717131623,22.419108152389526,156.70454382896423,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,156.70454382896423,7,245,0.008538007736206055,1,0.07008862495422363,8.0,3.3454692363739014,0.2857803404331207,1.0311079025268555,0.4128938317298889,0.33955857157707214,0.5345842687856805,3.3454692363739014,0.2627318203449249,1.0311079025268555,0.4006848931312561,0.31966274976730347,0,1,0,1,1,0.009041547775268555,1,0.37001991271972656,8.0,3.2171456813812256,0.28781211376190186,1.0314576625823975,0.41426771879196167,0.3408743739128113,0.5364812333734534,3.2171456813812256,0.26345887780189514,1.0314576625823975,0.4011412262916565,0.3202272355556488,0,1,0,1,1,22.40110445022583,2000,156.57727718353271,14000.0,8.314803097963333,0.9047818844318389,1.5668045486807822,0.6764360249340534,0.6685055876374245,0.9512002336163711,8.314803097963333,0.9047818844318389,1.5668045486807822,0.6268261454105377,0.6685055876374245,0,0,0,1,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[0.00015625],7,False,8,4e6bc_00000,2024-05-31_13-00-45,1717131645,22.345914840698242,179.05045866966248,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,179.05045866966248,8,245,0.008783340454101562,1,0.0788719654083252,9.0,2.4654033184051514,0.33313852548599243,0.9928099513053894,0.43725189566612244,0.3767631947994232,0.5771815359884552,2.4654033184051514,0.2627318203449249,0.9928099513053894,0.4006848931312561,0.31966274976730347,0,2,0,2,2,0.008982181549072266,1,0.37900209426879883,9.0,2.576294183731079,0.3297922611236572,0.993535578250885,0.4354422688484192,0.37441083788871765,0.5742754227055666,2.576294183731079,0.26345887780189514,0.993535578250885,0.4011412262916565,0.3202272355556488,0,2,0,2,2,22.32777190208435,2000,178.90504908561707,16000.0,7.569099504709244,0.9669034125208855,1.5752024863958358,0.7334225671589375,0.6546303098797798,0.9833124694220478,7.569099504709244,0.9047818844318389,1.5668045486807822,0.6268261454105377,0.6546303098797798,0,1,1,2,0,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[3.90625e-05],8,False,9,4e6bc_00000,2024-05-31_13-01-08,1717131668,22.234574794769287,201.28503346443176,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,201.28503346443176,9,245,0.008728981018066406,1,0.0876009464263916,10.0,2.161494493484497,0.3430475890636444,0.9783663153648376,0.44260266423225403,0.383603572845459,0.5857026456006874,2.161494493484497,0.2627318203449249,0.9783663153648376,0.4006848931312561,0.31966274976730347,0,3,0,3,3,0.009058237075805664,1,0.3880603313446045,10.0,2.2062485218048096,0.34103599190711975,0.9788215160369873,0.4414442181587219,0.3823143243789673,0.583982869532249,2.2062485218048096,0.26345887780189514,0.9788215160369873,0.4011412262916565,0.3202272355556488,0,3,0,3,3,22.216472864151,2000,201.12152194976807,18000.0,7.12502327466011,1.0309545047581197,1.5849682692885398,0.7752484513819218,0.6556540187001229,1.0153592983560646,7.12502327466011,0.9047818844318389,1.5668045486807822,0.6268261454105377,0.6546303098797798,0,2,2,3,1,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
[3.90625e-05],9,False,10,4e6bc_00000,2024-05-31_13-01-30,1717131690,22.36785125732422,223.65288472175598,302460,sepc622.se.cuhk.edu.hk,137.189.58.22,223.65288472175598,10,245,0.0085601806640625,1,0.0961611270904541,11.0,2.0791854858398438,0.3441873788833618,0.9610916376113892,0.44147107005119324,0.386383056640625,0.5866748493700423,2.0791854858398438,0.2627318203449249,0.9610916376113892,0.4006848931312561,0.31966274976730347,0,4,0,4,4,0.009012222290039062,1,0.39707255363464355,11.0,1.9161688089370728,0.3488166034221649,0.9591088891029358,0.4444480836391449,0.3889521658420563,0.5906069788126153,1.9161688089370728,0.26345887780189514,0.9591088891029358,0.4011412262916565,0.3202272355556488,0,4,0,4,4,22.34987998008728,2000,223.47140192985535,20000.0,6.886206785917282,1.0595987625718117,1.5849483211040496,0.7921222389340401,0.6573381020724773,1.0293681375347752,6.886206785917282,0.9047818844318389,1.5668045486807822,0.6268261454105377,0.6546303098797798,0,3,3,4,2,0.3066086769104004,1,0.3066086769104004,1.0,505038.6875,165930.765625,702.5643310546875,369.4978942871094,171.4710693359375,407.3460023432168,0.00921010971069336,1,0.00921010971069336,1.0,503527.90625,166369.640625,701.7008056640625,370.0831298828125,171.48858642578125,407.88434711937646
