lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.01],0,False,1,5b0f2_00001,2024-05-31_13-05-43,1717131943,25.592020511627197,25.592020511627197,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,25.592020511627197,1,3850,0.010556221008300781,1,0.02144622802734375,2.0,90894.3359375,21580.890625,268.5840759277344,128.6945037841797,70.84249114990234,146.9043587678732,90894.3359375,21580.890625,268.5840759277344,128.6945037841797,70.84249114990234,0,0,0,0,0,0.01117849349975586,1,0.33243751525878906,2.0,90147.9453125,21616.59765625,267.97137451171875,128.89923095703125,70.72218322753906,147.02584009707275,90147.9453125,21616.59765625,267.97137451171875,128.89923095703125,70.72218322753906,0,0,0,0,0,25.569830417633057,2000,25.569830417633057,2000.0,3888921.680578125,2123986.6206835937,1233.5717614746093,817.3955240097046,424.0194353752136,1457.3903460238762,3888921.680578125,2123986.6206835937,1233.5717614746093,817.3955240097046,424.0194353752136,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[0.01],1,False,2,5b0f2_00001,2024-05-31_13-06-08,1717131968,25.395319938659668,50.987340450286865,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,50.987340450286865,2,3850,0.010299205780029297,1,0.03174543380737305,3.0,13501.869140625,1135.17138671875,63.138309478759766,22.86733627319336,24.743915557861328,33.69230456229953,13501.869140625,1135.17138671875,63.138309478759766,22.86733627319336,24.743915557861328,0,0,0,0,0,0.010727167129516602,1,0.34316468238830566,3.0,13833.6767578125,1137.0423583984375,63.61358642578125,22.84618377685547,24.801198959350586,33.720058695062164,13833.6767578125,1137.0423583984375,63.61358642578125,22.84618377685547,24.801198959350586,0,0,0,0,0,25.373886346817017,2000,50.94371676445007,4000.0,35119.421252929686,12451.660001220704,135.90628940200807,78.89854252624512,66.8945303401947,111.5870064175068,35119.421252929686,12451.660001220704,135.90628940200807,78.89854252624512,66.8945303401947,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[0.0025],2,False,3,5b0f2_00001,2024-05-31_13-06-33,1717131993,25.38650345802307,76.37384390830994,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,76.37384390830994,3,3850,0.010365009307861328,1,0.042110443115234375,4.0,6647.79833984375,274.14361572265625,31.730140686035156,9.25377368927002,13.729997634887695,16.557282860501484,6647.79833984375,274.14361572265625,31.730140686035156,9.25377368927002,13.729997634887695,0,0,0,0,0,0.010776758193969727,1,0.3539414405822754,4.0,7092.95703125,275.5555114746094,32.36751937866211,9.28951358795166,13.757253646850586,16.59986480290154,7092.95703125,275.5555114746094,32.36751937866211,9.28951358795166,13.757253646850586,0,0,0,0,0,25.364891529083252,2000,76.30860829353333,6000.0,10350.224627197265,1764.3127685546874,48.46973391914368,22.646897900104523,34.596903385162356,42.003723270142224,10350.224627197265,1764.3127685546874,48.46973391914368,22.646897900104523,34.596903385162356,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[0.0025],3,False,4,5b0f2_00001,2024-05-31_13-06-59,1717132019,25.45240020751953,101.82624411582947,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,101.82624411582947,4,3850,0.010217428207397461,1,0.052327871322631836,5.0,2808.3173828125,34.029850006103516,11.955374717712402,2.2679708003997803,5.374607563018799,5.833510950200018,2808.3173828125,34.029850006103516,11.955374717712402,2.2679708003997803,5.374607563018799,0,0,0,0,0,0.010625362396240234,1,0.3645668029785156,5.0,2999.984375,35.943626403808594,12.678197860717773,2.355395793914795,5.513255596160889,5.995300359765856,2999.984375,35.943626403808594,12.678197860717773,2.355395793914795,5.513255596160889,0,0,0,0,0,25.431180477142334,2000,101.73978877067566,8000.0,4618.700935668945,396.235820602417,20.808002652168273,7.3852097829580305,17.79412414455414,19.90567307584491,4618.700935668945,396.235820602417,20.808002652168273,7.3852097829580305,17.79412414455414,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[0.000625],4,False,5,5b0f2_00001,2024-05-31_13-07-24,1717132044,25.34179449081421,127.16803860664368,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,127.16803860664368,5,3850,0.010479927062988281,1,0.06280779838562012,6.0,1728.4808349609375,14.298396110534668,7.864335060119629,1.2861857414245605,3.5558722019195557,3.7813220056660963,1728.4808349609375,14.298396110534668,7.864335060119629,1.2861857414245605,3.5558722019195557,0,0,0,0,0,0.010517358779907227,1,0.37508416175842285,6.0,1693.563232421875,14.324614524841309,7.795777797698975,1.2812665700912476,3.561330795288086,3.7847872496140793,1693.563232421875,14.324614524841309,7.795777797698975,1.2812665700912476,3.561330795288086,0,0,0,0,0,25.32042407989502,2000,127.06021285057068,10000.0,2389.1333151245117,102.50221008300781,10.413162128210068,2.666739363729954,9.688100008964538,10.124337513289836,2389.1333151245117,102.50221008300781,10.413162128210068,2.666739363729954,9.688100008964538,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[0.000625],5,False,6,5b0f2_00001,2024-05-31_13-07-50,1717132070,25.412981271743774,152.58101987838745,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,152.58101987838745,6,3850,0.010744333267211914,1,0.07355213165283203,7.0,894.4315795898438,3.953843355178833,4.324302673339844,0.6633296012878418,1.8745310306549072,1.9884273572798261,894.4315795898438,3.953843355178833,4.324302673339844,0.6633296012878418,1.8745310306549072,0,0,0,0,0,0.01075887680053711,1,0.38584303855895996,7.0,980.6549682617188,3.7680041790008545,4.18947696685791,0.655546247959137,1.827099084854126,1.9411347658008844,980.6549682617188,3.7680041790008545,4.18947696685791,0.655546247959137,1.827099084854126,0,0,0,0,0,25.391069173812866,2000,152.45128202438354,12000.0,1336.4417533874512,33.84743781518936,6.116129822492599,1.2241666839420795,5.562640967607498,5.817855087159645,1336.4417533874512,33.84743781518936,6.116129822492599,1.2241666839420795,5.562640967607498,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[0.00015625],6,False,7,5b0f2_00001,2024-05-31_13-08-15,1717132095,25.398743867874146,177.9797637462616,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,177.9797637462616,7,3850,0.010485649108886719,1,0.08403778076171875,8.0,687.3168334960938,2.3792710304260254,3.4596807956695557,0.5636019706726074,1.4358415603637695,1.5424885835642432,687.3168334960938,2.3792710304260254,3.4596807956695557,0.5636019706726074,1.4358415603637695,0,0,0,0,0,0.010650634765625,1,0.39649367332458496,8.0,649.2333374023438,2.337958812713623,3.41273832321167,0.5630007982254028,1.4216208457946777,1.5290385255818844,649.2333374023438,2.337958812713623,3.41273832321167,0.5630007982254028,1.4216208457946777,0,0,0,0,0,25.377216339111328,2000,177.82849836349487,14000.0,769.5305340881348,11.413679968595504,3.9851736850738524,0.6681012920737267,3.2913078533411024,3.3784138243553743,769.5305340881348,11.413679968595504,3.9851736850738524,0.6681012920737267,3.2913078533411024,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[0.00015625],7,False,8,5b0f2_00001,2024-05-31_13-08-40,1717132120,25.318928241729736,203.29869198799133,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,203.29869198799133,8,3850,0.01139378547668457,1,0.09543156623840332,9.0,325.27972412109375,1.0644726753234863,2.4896395206451416,0.4902436137199402,0.9078218936920166,1.0317328507532781,325.27972412109375,1.0644726753234863,2.4896395206451416,0.4902436137199402,0.9078218936920166,0,0,0,0,0,0.010840415954589844,1,0.4073340892791748,9.0,387.3883361816406,1.1119924783706665,2.534485340118408,0.49168458580970764,0.9328697323799133,1.0545105397153063,387.3883361816406,1.1119924783706665,2.534485340118408,0.49168458580970764,0.9328697323799133,0,0,0,0,0,25.29634404182434,2000,203.1248424053192,16000.0,494.76634553527833,5.069735551476478,3.031231878042221,0.4823630674034357,2.167036887764931,2.251607326217535,494.76634553527833,5.069735551476478,3.031231878042221,0.4823630674034357,2.167036887764931,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[3.90625e-05],8,False,9,5b0f2_00001,2024-05-31_13-09-06,1717132146,25.388771533966064,228.6874635219574,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,228.6874635219574,9,3850,0.010272026062011719,1,0.10570359230041504,10.0,290.8911437988281,0.8444441556930542,2.309990882873535,0.47719940543174744,0.7853215932846069,0.9189364263609612,290.8911437988281,0.8444441556930542,2.309990882873535,0.47719940543174744,0.7853215932846069,0,0,0,0,0,0.010570287704467773,1,0.4179043769836426,10.0,340.0972595214844,0.9007791876792908,2.3858397006988525,0.4814146161079407,0.817939281463623,0.9490938771687923,340.0972595214844,0.9007791876792908,2.3858397006988525,0.4814146161079407,0.817939281463623,0,0,0,0,0,25.367544651031494,2000,228.4923870563507,18000.0,327.21021461486816,2.386023348629475,2.4768168469667433,0.3943252104222775,1.4828914074897765,1.5446758069671043,327.21021461486816,2.386023348629475,2.4768168469667433,0.3943252104222775,1.4828914074897765,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
[3.90625e-05],9,False,10,5b0f2_00001,2024-05-31_13-09-31,1717132171,25.361422777175903,254.0488862991333,310502,sepc622.se.cuhk.edu.hk,137.189.58.22,254.0488862991333,10,3850,0.010155677795410156,1,0.1158592700958252,11.0,230.83743286132812,0.6318607330322266,2.113391876220703,0.4677775800228119,0.6426883339881897,0.794896680727896,230.83743286132812,0.6318607330322266,2.113391876220703,0.4677775800228119,0.6426883339881897,0,0,0,0,0,0.010611534118652344,1,0.4285159111022949,11.0,215.16183471679688,0.6634187698364258,2.1587510108947754,0.4697936177253723,0.6653693914413452,0.8145052300853726,215.16183471679688,0.6634187698364258,2.1587510108947754,0.4697936177253723,0.6653693914413452,0,0,0,0,0,25.340232610702515,2000,253.83261966705322,20000.0,243.33339902496337,1.4690506685376168,2.2154723919034005,0.36111235386133195,1.1441402144134045,1.2120440043734455,243.33339902496337,1.4690506685376168,2.2154723919034005,0.36111235386133195,1.1441402144134045,0,0,0,0,0,0.3212590217590332,1,0.3212590217590332,1.0,124347936.0,41393280.0,11030.2548828125,5834.29931640625,2711.880126953125,6433.760952972996,0.010890007019042969,1,0.010890007019042969,1.0,124452096.0,41334044.0,11034.275390625,5828.90478515625,2712.55810546875,6429.155776616398
