lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.1],0,False,1,3eb53_00002,2024-05-31_13-21-25,1717132885,156.70054411888123,156.70054411888123,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,156.70054411888123,1,70000,0.046575069427490234,1,0.09711623191833496,2.0,3485490.25,56338.37109375,446.68536376953125,85.62596893310547,221.3751983642578,237.35705402146783,3485490.25,56338.37109375,446.68536376953125,85.62596893310547,221.3751983642578,0,0,0,0,0,0.07587623596191406,1,0.4506058692932129,2.0,3411359.75,56606.21875,445.0343933105469,85.53873443603516,222.01295471191406,237.9206143863957,3411359.75,56606.21875,445.0343933105469,85.53873443603516,222.01295471191406,0,0,0,0,0,156.57752966880798,2000,156.57752966880798,2000.0,109500206.25,57851713.84367187,3180.8606264038085,1908.6601064567567,1448.5684418182373,7606.031412219639,109500206.25,57851713.84367187,3180.8606264038085,1908.6601064567567,1448.5684418182373,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.1],1,False,2,3eb53_00002,2024-05-31_13-24-02,1717133042,156.63497495651245,313.3355190753937,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,313.3355190753937,2,70000,0.04637861251831055,1,0.1434948444366455,3.0,1134558.0,6385.490234375,134.53585815429688,15.054535865783691,78.47867584228516,79.9092625067645,1134558.0,6385.490234375,134.53585815429688,15.054535865783691,78.47867584228516,0,0,0,0,0,0.07619833946228027,1,0.5268042087554932,3.0,1326176.125,6448.4658203125,137.75965881347656,15.360350608825684,78.81990051269531,80.30234006747561,1326176.125,6448.4658203125,137.75965881347656,15.360350608825684,78.81990051269531,0,0,0,0,0,156.51165318489075,2000,313.08918285369873,4000.0,2092726.39025,83604.65708496094,253.99301652526856,56.75014603710174,270.2499594497681,289.144699216432,2092726.39025,83604.65708496094,253.99301652526856,56.75014603710174,270.2499594497681,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.025],2,False,3,3eb53_00002,2024-05-31_13-26-38,1717133198,156.6448323726654,469.9803514480591,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,469.9803514480591,3,70000,0.04611325263977051,1,0.18960809707641602,4.0,474014.15625,1482.069091796875,56.700889587402344,4.6395721435546875,38.21721649169922,38.49765047112453,474014.15625,1482.069091796875,56.700889587402344,4.6395721435546875,38.21721649169922,0,0,0,0,0,0.07591652870178223,1,0.6027207374572754,4.0,493036.75,1411.42529296875,54.831485748291016,4.51212215423584,37.29715347290039,37.568940535617315,493036.75,1411.42529296875,54.831485748291016,4.51212215423584,37.29715347290039,0,0,0,0,0,156.52236676216125,2000,469.61154961586,6000.0,810629.146234375,12537.432660644532,93.07995426368713,12.895922911882401,107.39831470489501,111.97067768234919,810629.146234375,12537.432660644532,93.07995426368713,12.895922911882401,107.39831470489501,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.025],3,False,4,3eb53_00002,2024-05-31_13-29-15,1717133355,156.83534979820251,626.8157012462616,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,626.8157012462616,4,70000,0.046227455139160156,1,0.23583555221557617,5.0,165264.59375,333.1676025390625,21.55352020263672,1.5746043920516968,18.184911727905273,18.252879294485638,165264.59375,333.1676025390625,21.55352020263672,1.5746043920516968,18.184911727905273,0,0,0,0,0,0.07595181465148926,1,0.6786725521087646,5.0,218779.46875,346.5963134765625,23.18535804748535,1.6298764944076538,18.545692443847656,18.61709734294158,218779.46875,346.5963134765625,23.18535804748535,1.6298764944076538,18.545692443847656,0,0,0,0,0,156.71269750595093,2000,626.3242471218109,8000.0,306798.174203125,2054.086282989502,36.106681267738345,3.4708051415085794,43.431528747558595,45.32202867248444,306798.174203125,2054.086282989502,36.106681267738345,3.4708051415085794,43.431528747558595,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.00625],4,False,5,3eb53_00002,2024-05-31_13-31-52,1717133512,156.70902299880981,783.5247242450714,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,783.5247242450714,5,70000,0.0463407039642334,1,0.28217625617980957,6.0,45659.59765625,76.41002655029297,8.788138389587402,0.8047953248023987,8.704192161560059,8.741282889272773,45659.59765625,76.41002655029297,8.788138389587402,0.8047953248023987,8.704192161560059,0,0,0,0,0,0.07598137855529785,1,0.7546539306640625,6.0,69585.2578125,93.59027099609375,10.12563419342041,0.8401347994804382,9.637697219848633,9.674206478884651,69585.2578125,93.59027099609375,10.12563419342041,0.8401347994804382,9.637697219848633,0,0,0,0,0,156.58622026443481,2000,782.9104673862457,10000.0,130567.38990234376,434.57925398635865,16.35740069627762,1.2964242118597031,20.084447732448577,20.846564560770165,130567.38990234376,434.57925398635865,16.35740069627762,1.2964242118597031,20.084447732448577,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.00625],5,False,6,3eb53_00002,2024-05-31_13-34-29,1717133669,156.5934910774231,940.1182153224945,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,940.1182153224945,6,70000,0.045149803161621094,1,0.32732605934143066,7.0,44668.2890625,39.806251525878906,6.24591588973999,0.612621009349823,6.27943229675293,6.309219565515129,44668.2890625,39.806251525878906,6.24591588973999,0.612621009349823,6.27943229675293,0,0,0,0,0,0.0760505199432373,1,0.8307044506072998,7.0,19335.568359375,19.284326553344727,4.220232963562012,0.5532959699630737,4.356414794921875,4.391392325145264,19335.568359375,19.284326553344727,4.220232963562012,0.5532959699630737,4.356414794921875,0,0,0,0,0,156.47189688682556,2000,939.3823642730713,12000.0,51678.929087890625,91.28478470611573,7.400087108612061,0.5968242838382721,9.136637782335281,9.554307128521447,51678.929087890625,91.28478470611573,7.400087108612061,0.5968242838382721,9.136637782335281,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.0015625],6,False,7,3eb53_00002,2024-05-31_13-37-05,1717133825,156.5133833885193,1096.6315987110138,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,1096.6315987110138,7,70000,0.04520392417907715,1,0.3725299835205078,8.0,11082.0576171875,11.913697242736816,3.4215505123138428,0.5144203901290894,3.4130873680114746,3.451622407323376,11082.0576171875,11.913697242736816,3.4215505123138428,0.5144203901290894,3.4130873680114746,0,0,0,0,0,0.07608962059020996,1,0.9067940711975098,8.0,23129.38671875,11.566109657287598,3.466663360595703,0.5062201619148254,3.3630261421203613,3.40089836032887,19335.568359375,11.566109657287598,3.466663360595703,0.5062201619148254,3.3630261421203613,1,0,0,0,0,156.39173650741577,2000,1095.774100780487,14000.0,23896.682975219726,26.836632586717606,4.3043883581161495,0.4173525405675173,5.048419564008713,5.180408534731368,23896.682975219726,26.836632586717606,4.3043883581161495,0.4173525405675173,5.048419564008713,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.0015625],7,False,8,3eb53_00002,2024-05-31_13-39-42,1717133982,156.72844171524048,1253.3600404262543,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,1253.3600404262543,8,70000,0.045705318450927734,1,0.41823530197143555,9.0,3645.18505859375,2.275599479675293,2.0249979496002197,0.4622712731361389,1.4359395503997803,1.5085090253874165,3645.18505859375,2.275599479675293,2.0249979496002197,0.4622712731361389,1.4359395503997803,0,0,0,0,0,0.076019287109375,1,0.9828133583068848,9.0,8184.38818359375,4.3024115562438965,2.409764528274536,0.47110238671302795,2.0200271606445312,2.0742255316729414,8184.38818359375,4.3024115562438965,2.409764528274536,0.47110238671302795,2.0200271606445312,0,0,0,0,0,156.6063196659088,2000,1252.3804204463959,16000.0,10948.086900680542,8.929658744424582,2.8338268956542016,0.3504656962454319,2.8558894641399384,2.9882534605392133,10948.086900680542,8.929658744424582,2.8338268956542016,0.3504656962454319,2.8558894641399384,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.000390625],8,False,9,3eb53_00002,2024-05-31_13-42-19,1717134139,156.52777814865112,1409.8878185749054,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,1409.8878185749054,9,70000,0.045552730560302734,1,0.4637880325317383,10.0,2094.8837890625,1.7146092653274536,2.0664360523223877,0.4630759358406067,1.224819302558899,1.3094308936814703,2094.8837890625,1.7146092653274536,2.0249979496002197,0.4622712731361389,1.224819302558899,0,0,1,1,0,0.07602286338806152,1,1.0588362216949463,10.0,4507.91015625,2.647390604019165,2.1800479888916016,0.4649781882762909,1.5592327117919922,1.6270803926109998,4507.91015625,2.647390604019165,2.1800479888916016,0.4649781882762909,1.5592327117919922,0,0,0,0,0,156.40583777427673,2000,1408.7862582206726,18000.0,5630.571536071778,3.6094309224635364,2.2255744900107386,0.3272313611805439,1.7957314030230045,1.8998502368511936,5630.571536071778,3.6094309224635364,2.2255744900107386,0.3272313611805439,1.7957314030230045,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[0.000390625],9,False,10,3eb53_00002,2024-05-31_13-44-55,1717134295,156.56644988059998,1566.4542684555054,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,1566.4542684555054,10,70000,0.04676079750061035,1,0.5105488300323486,11.0,991.1082153320312,0.6281009912490845,1.7129156589508057,0.4533831477165222,0.6500371098518372,0.7925282274146987,991.1082153320312,0.6281009912490845,1.7129156589508057,0.4533831477165222,0.6500371098518372,0,0,0,0,0,0.07591080665588379,1,1.13474702835083,11.0,161.6583709716797,0.40503451228141785,1.6735047101974487,0.4525289833545685,0.4474971294403076,0.6364232178993927,161.6583709716797,0.40503451228141785,1.6735047101974487,0.4525289833545685,0.4474971294403076,0,0,0,0,0,156.44332909584045,2000,1565.229587316513,20000.0,3016.2385690164565,1.698499029777944,1.9339110969901085,0.31792798396945,1.1913128386586904,1.3032647581278118,3016.2385690164565,1.698499029777944,1.9339110969901085,0.31792798396945,1.1913128386586904,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
[9.765625e-05],10,False,11,3eb53_00002,2024-05-31_13-47-32,1717134452,156.53832125663757,1722.992589712143,330851,sepc622.se.cuhk.edu.hk,137.189.58.22,1722.992589712143,11,70000,0.04579758644104004,1,0.5563464164733887,12.0,772.7130737304688,0.5726656317710876,1.6789721250534058,0.45155957341194153,0.6072583198547363,0.7567467421608682,772.7130737304688,0.5726656317710876,1.6789721250534058,0.45155957341194153,0.6072583198547363,0,0,0,0,0,0.0759592056274414,1,1.2107062339782715,12.0,250.0957794189453,0.4280870854854584,1.638791561126709,0.45138874650001526,0.4736424386501312,0.6542836429909114,161.6583709716797,0.40503451228141785,1.638791561126709,0.45138874650001526,0.4474971294403076,1,1,0,0,1,156.41618728637695,2000,1721.64577460289,22000.0,1784.3598670392037,0.9220045068264008,1.7874122059345245,0.31363519416749475,0.8525684385895729,0.9602106575259415,1784.3598670392037,0.9220045068264008,1.7874122059345245,0.31363519416749475,0.8525684385895729,0,0,0,0,0,0.37472963333129883,1,0.37472963333129883,1.0,40936017920.0,13574018048.0,200128.03125,105597.0546875,49227.015625,116507.58794173022,0.05054116249084473,1,0.05054116249084473,1.0,40868519936.0,13623112704.0,199981.40625,105788.328125,49314.9296875,116718.09073147144
