lr_groups,iter,done,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,initial_stats/params,val/current/time,val/current/steps,val/current/overall time,val/current/overall steps,val/current/mse,val/current/L2^2,val/current/mae,val/current/L1,val/current/L1_std,val/current/L2,val/best/mse,val/best/L2^2,val/best/mae,val/best/L1,val/best/L1_std,val/last improve/mse,val/last improve/L2^2,val/last improve/mae,val/last improve/L1,val/last improve/L1_std,test/current/time,test/current/steps,test/current/overall time,test/current/overall steps,test/current/mse,test/current/L2^2,test/current/mae,test/current/L1,test/current/L1_std,test/current/L2,test/best/mse,test/best/L2^2,test/best/mae,test/best/L1,test/best/L1_std,test/last improve/mse,test/last improve/L2^2,test/last improve/mae,test/last improve/L1,test/last improve/L1_std,train/current/time,train/current/steps,train/current/overall time,train/current/overall steps,train/current/mse,train/current/L2^2,train/current/mae,train/current/L1,train/current/L1_std,train/current/L2,train/best/mse,train/best/L2^2,train/best/mae,train/best/L1,train/best/L1_std,train/last improve/mse,train/last improve/L2^2,train/last improve/mae,train/last improve/L1,train/last improve/L1_std,initial_stats/test_initial/time,initial_stats/test_initial/steps,initial_stats/test_initial/overall time,initial_stats/test_initial/overall steps,initial_stats/test_initial/mse,initial_stats/test_initial/L2^2,initial_stats/test_initial/mae,initial_stats/test_initial/L1,initial_stats/test_initial/L1_std,initial_stats/test_initial/L2,initial_stats/val_initial/time,initial_stats/val_initial/steps,initial_stats/val_initial/overall time,initial_stats/val_initial/overall steps,initial_stats/val_initial/mse,initial_stats/val_initial/L2^2,initial_stats/val_initial/mae,initial_stats/val_initial/L1,initial_stats/val_initial/L1_std,initial_stats/val_initial/L2
[0.1],0,False,1,474a2_00000,2024-05-31_14-45-19,1717137919,21.66578459739685,21.66578459739685,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,21.66578459739685,1,600,0.00831460952758789,1,0.017717361450195312,2.0,293337.96875,110757.203125,541.5198974609375,297.6500549316406,148.86849975585938,332.8020479579415,293337.96875,110757.203125,541.5198974609375,297.6500549316406,148.86849975585938,0,0,0,0,0,0.00921940803527832,1,0.3284261226654053,2.0,293344.1875,110929.453125,541.525390625,297.98736572265625,148.77223205566406,333.0607348892991,293344.1875,110929.453125,541.525390625,297.98736572265625,148.77223205566406,0,0,0,0,0,21.64777684211731,2000,21.64777684211731,2000.0,2338374.676109375,1409151.537578125,983.6225812072754,680.7194328460694,347.2643117904663,1187.0768878122954,2338374.676109375,1409151.537578125,983.6225812072754,680.7194328460694,347.2643117904663,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.1],1,False,2,474a2_00000,2024-05-31_14-45-40,1717137940,21.659640789031982,43.32542538642883,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,43.32542538642883,2,600,0.008451700210571289,1,0.0261690616607666,3.0,81285.390625,30756.142578125,285.0545349121094,156.7225341796875,78.7035140991211,175.37429280862403,81285.390625,30756.142578125,285.0545349121094,156.7225341796875,78.7035140991211,0,0,0,0,0,0.009096860885620117,1,0.3375229835510254,3.0,81280.2265625,30712.8203125,285.0450744628906,156.66302490234375,78.54659271240234,175.25073555480444,81280.2265625,30712.8203125,285.0450744628906,156.66302490234375,78.54659271240234,0,0,0,0,0,21.641607999801636,2000,43.289384841918945,4000.0,169690.399234375,102779.430859375,405.3447427825928,280.97313640594484,143.6312500076294,320.5923125394229,169690.399234375,102779.430859375,405.3447427825928,280.97313640594484,143.6312500076294,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.025],2,False,3,474a2_00000,2024-05-31_14-46-02,1717137962,21.73918104171753,65.06460642814636,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,65.06460642814636,3,600,0.008393287658691406,1,0.03456234931945801,4.0,19372.001953125,7422.69677734375,139.1470184326172,76.93536376953125,38.777034759521484,86.15507400811487,19372.001953125,7422.69677734375,139.1470184326172,76.93536376953125,38.777034759521484,0,0,0,0,0,0.008752584457397461,1,0.34627556800842285,4.0,19368.8359375,7369.986328125,139.13494873046875,76.59117126464844,38.77875900268555,85.84862449757131,19368.8359375,7369.986328125,139.13494873046875,76.59117126464844,38.77875900268555,0,0,0,0,0,21.721662282943726,2000,65.01104712486267,6000.0,48534.28594921875,29563.63000048828,215.75618131256104,149.91463313293457,76.87423354530334,171.94077468851964,48534.28594921875,29563.63000048828,215.75618131256104,149.91463313293457,76.87423354530334,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.025],3,False,4,474a2_00000,2024-05-31_14-46-24,1717137984,21.801862239837646,86.86646866798401,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,86.86646866798401,4,600,0.008395671844482422,1,0.04295802116394043,5.0,2346.91064453125,922.352294921875,48.39555740356445,26.9891414642334,13.926239967346191,30.3702534550154,2346.91064453125,922.352294921875,48.39555740356445,26.9891414642334,13.926239967346191,0,0,0,0,0,0.008734703063964844,1,0.3550102710723877,5.0,2345.303466796875,920.6911010742188,48.377132415771484,26.945220947265625,13.951622009277344,30.342892101350834,2345.303466796875,920.6911010742188,48.377132415771484,26.945220947265625,13.951622009277344,0,0,0,0,0,21.784350872039795,2000,86.79539799690247,8000.0,8082.350637084961,5005.065322753906,86.02383598709106,60.23870232391357,31.188148834228517,70.74648629263439,8082.350637084961,5005.065322753906,86.02383598709106,60.23870232391357,31.188148834228517,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.00625],4,False,5,474a2_00000,2024-05-31_14-46-46,1717138006,21.77066731452942,108.63713598251343,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,108.63713598251343,5,600,0.008439302444458008,1,0.05139732360839844,6.0,462.6266174316406,190.7938690185547,21.416996002197266,12.156927108764648,6.557694911956787,13.81281539073605,462.6266174316406,190.7938690185547,21.416996002197266,12.156927108764648,6.557694911956787,0,0,0,0,0,0.00880885124206543,1,0.3638191223144531,6.0,462.94354248046875,191.3643341064453,21.42512321472168,12.178714752197266,6.560763359069824,13.833449826650087,462.94354248046875,191.3643341064453,21.42512321472168,12.178714752197266,6.560763359069824,0,0,0,0,0,21.75306248664856,2000,108.54846048355103,10000.0,1328.3934725646973,855.4978018035889,35.37420414161682,25.222402465820313,13.350809717655181,29.248894027015602,1328.3934725646973,855.4978018035889,35.37420414161682,25.222402465820313,13.350809717655181,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.00625],5,False,6,474a2_00000,2024-05-31_14-47-07,1717138027,21.617751598358154,130.25488758087158,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,130.25488758087158,6,600,0.008414983749389648,1,0.059812307357788086,7.0,58.11626052856445,26.9981746673584,7.447946071624756,4.444201946258545,2.692082405090332,5.195976777022622,58.11626052856445,26.9981746673584,7.447946071624756,4.444201946258545,2.692082405090332,0,0,0,0,0,0.008955001831054688,1,0.3727741241455078,7.0,58.40652084350586,27.159975051879883,7.463070869445801,4.463366508483887,2.6904256343841553,5.211523294765158,58.40652084350586,27.159975051879883,7.463070869445801,4.463366508483887,2.6904256343841553,0,0,0,0,0,21.600002765655518,2000,130.14846324920654,12000.0,199.94517192077637,138.85794752120972,13.335017011404037,9.915357757091522,5.5403614745140075,11.78380021560149,199.94517192077637,138.85794752120972,13.335017011404037,9.915357757091522,5.5403614745140075,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.0015625],6,False,7,474a2_00000,2024-05-31_14-47-29,1717138049,21.659296989440918,151.9141845703125,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,151.9141845703125,7,600,0.008590459823608398,1,0.06840276718139648,8.0,16.491924285888672,8.32595157623291,3.8273870944976807,2.383890390396118,1.6257429122924805,2.885472504847847,16.491924285888672,8.32595157623291,3.8273870944976807,2.383890390396118,1.6257429122924805,0,0,0,0,0,0.008791685104370117,1,0.38156580924987793,8.0,16.517623901367188,8.312889099121094,3.826364040374756,2.380420446395874,1.626810073852539,2.883208126223477,16.517623901367188,8.312889099121094,3.826364040374756,2.380420446395874,1.626810073852539,0,0,0,0,0,21.64160680770874,2000,151.79007005691528,14000.0,40.38277829360962,29.807279898643493,5.952178836345673,4.610300044894219,2.784269938349724,5.459604371989191,40.38277829360962,29.807279898643493,5.952178836345673,4.610300044894219,2.784269938349724,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.0015625],7,False,8,474a2_00000,2024-05-31_14-47-51,1717138071,21.844669580459595,173.7588541507721,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,173.7588541507721,8,600,0.008365869522094727,1,0.07676863670349121,9.0,4.743602275848389,1.9474786520004272,1.79121732711792,1.094833254814148,0.8653469085693359,1.395520924959718,4.743602275848389,1.9474786520004272,1.79121732711792,1.094833254814148,0.8653469085693359,0,0,0,0,0,0.008802652359008789,1,0.3903684616088867,9.0,4.724188804626465,1.9470916986465454,1.7876415252685547,1.0939711332321167,0.8662131428718567,1.3953822768856372,4.724188804626465,1.9470916986465454,1.7876415252685547,1.0939711332321167,0.8662131428718567,0,0,0,0,0,21.827094316482544,2000,173.61716437339783,16000.0,13.463884448051452,7.941298349142075,3.1290356031656263,2.327009691476822,1.4908195086717606,2.81803093473831,13.463884448051452,7.941298349142075,3.1290356031656263,2.327009691476822,1.4908195086717606,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.000390625],8,False,9,474a2_00000,2024-05-31_14-48-12,1717138092,21.672927379608154,195.43178153038025,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,195.43178153038025,9,600,0.008560419082641602,1,0.08532905578613281,10.0,3.4962947368621826,1.117266297340393,1.4160887002944946,0.8195390701293945,0.6675519943237305,1.0570081822485544,3.4962947368621826,1.117266297340393,1.4160887002944946,0.8195390701293945,0.6675519943237305,0,0,0,0,0,0.008779525756835938,1,0.39914798736572266,10.0,3.591543197631836,1.1088166236877441,1.418599009513855,0.8162441253662109,0.6652562618255615,1.0530036199784616,3.591543197631836,1.1088166236877441,1.418599009513855,0.8162441253662109,0.6652562618255615,0,0,0,0,0,21.655271291732788,2000,195.27243566513062,18000.0,8.90456188249588,3.184425419330597,2.2518977853059767,1.5005037057995796,0.9568520672917366,1.784495844582048,8.90456188249588,3.184425419330597,2.2518977853059767,1.5005037057995796,0.9568520672917366,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[0.000390625],9,False,10,474a2_00000,2024-05-31_14-48-34,1717138114,21.860015630722046,217.2917971611023,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,217.2917971611023,10,600,0.008314847946166992,1,0.0936439037322998,11.0,2.615933895111084,0.571457028388977,1.1153205633163452,0.5899407863616943,0.4726825952529907,0.7559477682941971,2.615933895111084,0.571457028388977,1.1153205633163452,0.5899407863616943,0.4726825952529907,0,0,0,0,0,0.008614063262939453,1,0.4077620506286621,11.0,2.591540575027466,0.5765015482902527,1.1171101331710815,0.5927337408065796,0.47452086210250854,0.7592769904917788,2.591540575027466,0.5765015482902527,1.1171101331710815,0.5927337408065796,0.47452086210250854,0,0,0,0,0,21.842766761779785,2000,217.1152024269104,20000.0,7.845967886209488,1.9306376651525496,1.9400804823040962,1.1778977092504501,0.7306322562396527,1.3894738807018108,7.845967886209488,1.9306376651525496,1.9400804823040962,1.1778977092504501,0.7306322562396527,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[9.765625e-05],10,False,11,474a2_00000,2024-05-31_14-48-56,1717138136,21.170330047607422,238.46212720870972,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,238.46212720870972,11,600,0.008239030838012695,1,0.1018829345703125,12.0,2.1542348861694336,0.42021098732948303,0.9920731782913208,0.5074584484100342,0.40335866808891296,0.6482368296614155,2.1542348861694336,0.42021098732948303,0.9920731782913208,0.5074584484100342,0.40335866808891296,0,0,0,0,0,0.008501291275024414,1,0.4162633419036865,12.0,2.0799293518066406,0.41890841722488403,0.981697678565979,0.5058812499046326,0.4037250876426697,0.6472313475295244,2.0799293518066406,0.41890841722488403,0.981697678565979,0.5058812499046326,0.4037250876426697,0,0,0,0,0,21.15319013595581,2000,238.2683925628662,22000.0,7.167610173225403,1.3998770030140877,1.7592140003442764,1.003945089697838,0.6253438682258129,1.1831639797653104,7.167610173225403,1.3998770030140877,1.7592140003442764,1.003945089697838,0.6253438682258129,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
[9.765625e-05],11,False,12,474a2_00000,2024-05-31_14-49-17,1717138157,21.46327042579651,259.9253976345062,397721,sepc622.se.cuhk.edu.hk,137.189.58.22,259.9253976345062,12,600,0.008343696594238281,1,0.11022663116455078,13.0,1.4203190803527832,0.25649070739746094,0.7907418012619019,0.3896127939224243,0.32356366515159607,0.5064491162964557,1.4203190803527832,0.25649070739746094,0.7907418012619019,0.3896127939224243,0.32356366515159607,0,0,0,0,0,0.008712291717529297,1,0.4249756336212158,13.0,1.4832724332809448,0.2555720806121826,0.7941129803657532,0.38854554295539856,0.3234274387359619,0.5055413737887163,1.4832724332809448,0.2555720806121826,0.7941129803657532,0.38854554295539856,0.3234274387359619,0,0,0,0,0,21.44589900970459,2000,259.7142915725708,24000.0,6.596852629184723,1.1637295237779617,1.6300624911785127,0.8963375241756439,0.5992372933328152,1.0787629599582855,6.596852629184723,1.1637295237779617,1.6300624911785127,0.8963375241756439,0.5992372933328152,0,0,0,0,0,0.31920671463012695,1,0.31920671463012695,1.0,610126272.0,229888224.0,24697.02734375,13575.30078125,6752.763671875,15162.065294675393,0.009402751922607422,1,0.009402751922607422,1.0,610149888.0,229771520.0,24697.490234375,13569.4248046875,6755.93115234375,15158.216253900062
